node,phi_deg,contour,K1_MPa_sqrt_m,K2_MPa_sqrt_m,K3_MPa_sqrt_m,J_N_per_mm
1,0.0,1,4.829518594261204,0.0,0.0,0.1408233775
1,0.0,2,5.345402373395618,0.0,0.0,0.140565288
1,0.0,3,5.34837453176058,0.0,0.0,0.1407154839
1,0.0,4,5.3493097279444095,0.0,0.0,0.1407613287
1,0.0,5,5.34986244980752,0.0,0.0,0.1407590865
1,0.0,6,5.350203665891607,0.0,0.0,0.1407400077
2,4.771887959,1,4.876200424847877,0.0,0.0,0.1384595626
2,4.771887959,2,5.266790301112642,0.0,0.0,0.1381545726
2,4.771887959,3,5.268781966828569,0.0,0.0,0.1382072188
2,4.771887959,4,5.2692362185276185,0.0,0.0,0.1382040256
2,4.771887959,5,5.269475059034736,0.0,0.0,0.1382113644
2,4.771887959,6,5.2696349785782886,0.0,0.0,0.1382229258
3,9.527283435,1,4.716583501780747,0.0,0.0,0.1293070091
3,9.527283435,2,5.091837795528252,0.0,0.0,0.1290428269
3,9.527283435,3,5.093613553574654,0.0,0.0,0.1291221751
3,9.527283435,4,5.093897921393244,0.0,0.0,0.1291336921
3,9.527283435,5,5.093973917249973,0.0,0.0,0.1291363602
3,9.527283435,6,5.093993453801358,0.0,0.0,0.1291363742
4,14.25003272,1,4.584314275308796,0.0,0.0,0.1218425448
4,14.25003272,2,4.943013779873997,0.0,0.0,0.121595366
4,14.25003272,3,4.9446693776938675,0.0,0.0,0.121669584
4,14.25003272,4,4.944903256587335,0.0,0.0,0.1216803751
4,14.25003272,5,4.944959096086259,0.0,0.0,0.1216830214
4,14.25003272,6,4.944976741595602,0.0,0.0,0.1216838115
5,18.92464439,1,4.481778883150115,0.0,0.0,0.1160387124
5,18.92464439,2,4.823906655049308,0.0,0.0,0.115805318
5,18.92464439,3,4.825506248931817,0.0,0.0,0.1158754326
5,18.92464439,4,4.825732272727578,0.0,0.0,0.1158856333
5,18.92464439,5,4.825788589730427,0.0,0.0,0.1158881311
5,18.92464439,6,4.8258075222867785,0.0,0.0,0.1158888914
6,23.536577886,1,4.404000143762979,0.0,0.0,0.1115268379
6,23.536577886,2,4.729173601158004,0.0,0.0,0.1113042702
6,23.536577886,3,4.730735510177636,0.0,0.0,0.1113711815
6,23.536577886,4,4.730956430057253,0.0,0.0,0.1113809192
6,23.536577886,5,4.731012212635179,0.0,0.0,0.1113833274
6,23.536577886,6,4.73103154996307,0.0,0.0,0.1113840903
7,28.072486893,1,4.347203565694487,0.0,0.0,0.1080382443
7,28.072486893,2,4.6545646118931465,0.0,0.0,0.1078242622
7,28.072486893,3,4.656096697472166,0.0,0.0,0.1078886528
7,28.072486893,4,4.656314031328916,0.0,0.0,0.1078980292
7,28.072486893,5,4.656369624170182,0.0,0.0,0.1079003652
7,28.072486893,6,4.65638938524328,0.0,0.0,0.1079011198
8,32.520409417,1,4.308849745115196,0.0,0.0,0.1053825486
8,32.520409417,2,4.596922763330648,0.0,0.0,0.1051753012
8,32.520409417,3,4.598430739704785,0.0,0.0,0.1052377323
8,32.520409417,4,4.598645101020535,0.0,0.0,0.1052468286
8,32.520409417,5,4.598700523098808,0.0,0.0,0.1052491112
8,32.520409417,6,4.598720673132058,0.0,0.0,0.1052498626
9,36.869897646,1,4.287472359172305,0.0,0.0,0.1034186408
9,36.869897646,2,4.553789226475842,0.0,0.0,0.1032166021
9,36.869897646,3,4.555277685272262,0.0,0.0,0.103277537
9,36.869897646,4,4.55548973812532,0.0,0.0,0.1032864208
9,36.869897646,5,4.5555451032825935,0.0,0.0,0.1032886643
9,36.869897646,6,4.555565642275997,0.0,0.0,0.1032894146
10,41.112090372,1,4.2832108105519096,0.0,0.0,0.102037204
10,41.112090372,2,4.523149434397989,0.0,0.0,0.1018390779
10,41.112090372,3,4.524622356924263,0.0,0.0,0.1018989059
10,41.112090372,4,4.524832635739554,0.0,0.0,0.1019076333
10,41.112090372,5,4.524888029357328,0.0,0.0,0.1019098502
10,41.112090372,6,4.524908941499494,0.0,0.0,0.1019106018
11,45.239729802,1,4.299591057818762,0.0,0.0,0.101150254
11,45.239729802,2,4.503277106046957,0.0,0.0,0.1009549533
11,45.239729802,3,4.50473789491385,0.0,0.0,0.1010140044
11,45.239729802,4,4.504946880357577,0.0,0.0,0.1010226231
11,45.239729802,5,4.505002372005958,0.0,0.0,0.1010248236
11,45.239729802,6,4.505023647810056,0.0,0.0,0.1010255783
12,49.247129475,1,4.343988408427286,0.0,0.0,0.1006849379
12,49.247129475,2,4.492641986802491,0.0,0.0,0.1004915276
12,49.247129475,3,4.494093595577336,0.0,0.0,0.1005500809
12,49.247129475,4,4.494301695583319,0.0,0.0,0.1005586314
12,49.247129475,5,4.494357345345583,0.0,0.0,0.100560824
12,49.247129475,6,4.494378969000223,0.0,0.0,0.1005615833
13,53.130102354,1,4.409157429666561,0.0,0.0,0.1005796373
13,53.130102354,2,4.4899259729280026,0.0,0.0,0.1003873291
13,53.130102354,3,4.49137102630126,0.0,0.0,0.1004456247
13,53.130102354,4,4.491578598206873,0.0,0.0,0.1004541411
13,53.130102354,5,4.491634447192629,0.0,0.0,0.1004563331
13,53.130102354,6,4.491656399724146,0.0,0.0,0.1004570982
14,56.885857349,1,4.453660874690584,0.0,0.0,0.1007815362
14,56.885857349,2,4.494119266947382,0.0,0.0,0.1005896356
14,56.885857349,3,4.495560025947576,0.0,0.0,0.1006478771
14,56.885857349,4,4.495767382818309,0.0,0.0,0.1006563887
14,56.885857349,5,4.495823468974889,0.0,0.0,0.1006585863
14,56.885857349,6,4.495845734571894,0.0,0.0,0.1006593579
15,60.512874295,1,4.4679098448450905,0.0,0.0,0.1012448904
15,60.512874295,2,4.504277109949154,0.0,0.0,0.1010528223
15,60.512874295,3,4.505715607920821,0.0,0.0,0.1011111843
15,60.512874295,4,4.5059230122257175,0.0,0.0,0.101119716
15,60.512874295,5,4.505979370338178,0.0,0.0,0.1011219242
15,60.512874295,6,4.506001933189283,0.0,0.0,0.1011227031
16,64.01076643,1,4.477740679876302,0.0,0.0,0.1019298496
16,64.01076643,2,4.519395893034588,0.0,0.0,0.101737122
16,64.01076643,3,4.520833891366384,0.0,0.0,0.1017957525
16,64.01076643,4,4.521041573951716,0.0,0.0,0.1018043253
16,64.01076643,5,4.521098229318276,0.0,0.0,0.1018065485
16,64.01076643,6,4.521121070449815,0.0,0.0,0.1018073353
17,67.380135146,1,4.493877466548375,0.0,0.0,0.1028016241
17,67.380135146,2,4.5386031722577425,0.0,0.0,0.1026078056
17,67.380135146,3,4.540042214141168,0.0,0.0,0.1026668308
17,67.380135146,4,4.540250374230426,0.0,0.0,0.1026754626
17,67.380135146,5,4.540307348987029,0.0,0.0,0.1026777043
17,67.380135146,6,4.540330449425336,0.0,0.0,0.1026784993
18,70.622426918,1,4.516033003641936,0.0,0.0,0.1038298036
18,70.622426918,2,4.561169229912592,0.0,0.0,0.1036345336
18,70.622426918,3,4.562610687776149,0.0,0.0,0.1036940595
18,70.622426918,4,4.5628195024568825,0.0,0.0,0.1037027654
18,70.622426918,5,4.562876806090363,0.0,0.0,0.1037050286
18,70.622426918,6,4.56290015002405,0.0,0.0,0.1037058322
19,73.739795292,1,4.542416635620525,0.0,0.0,0.1049879027
19,73.739795292,2,4.5864674543562165,0.0,0.0,0.1047908861
19,73.739795292,3,4.587912495080362,0.0,0.0,0.1048510026
19,73.739795292,4,4.588122103492789,0.0,0.0,0.1048597952
19,73.739795292,5,4.588179754976811,0.0,0.0,0.1048620823
19,73.739795292,6,4.588203329756768,0.0,0.0,0.1048628948
20,76.7349707,1,4.571774626909329,0.0,0.0,0.1062529521
20,76.7349707,2,4.613954288006166,0.0,0.0,0.1060539225
20,76.7349707,3,4.615403961467084,0.0,0.0,0.1061147044
20,76.7349707,4,4.61561449010231,0.0,0.0,0.1061235944
20,76.7349707,5,4.61567249576143,0.0,0.0,0.1061259074
20,76.7349707,6,4.61569628241399,0.0,0.0,0.1061267288
21,79.611142228,1,4.603342443125279,0.0,0.0,0.1076050341
21,79.611142228,2,4.643160436208561,0.0,0.0,0.1074037758
