node,phi_deg,contour,K1_MPa_sqrt_m,K2_MPa_sqrt_m,K3_MPa_sqrt_m,J_N_per_mm
1,0.0,1,5.386423021782672,0.0,0.0,0.1909252262
1,0.0,2,6.215735543270858,0.0,0.0,0.1905618863
1,0.0,3,6.219111065962762,0.0,0.0,0.1907587933
1,0.0,4,6.220171203736945,0.0,0.0,0.1908349193
1,0.0,5,6.220830437436205,0.0,0.0,0.1908490948
1,0.0,6,6.221283199702477,0.0,0.0,0.1908287363
2,4.771887999,1,5.601615216500882,0.0,0.0,0.1872249585
2,4.771887999,2,6.115998861709755,0.0,0.0,0.1868190482
2,4.771887999,3,6.118268380952294,0.0,0.0,0.1868946713
2,4.771887999,4,6.118783677259295,0.0,0.0,0.1868820372
2,4.771887999,5,6.119062583824368,0.0,0.0,0.1868829445
2,4.771887999,6,6.119261740909128,0.0,0.0,0.186896397
3,9.527283466,1,5.40814064982813,0.0,0.0,0.1742916034
3,9.527283466,2,5.902974686608025,0.0,0.0,0.1739329034
3,9.527283466,3,5.905015513092457,0.0,0.0,0.1740405165
3,9.527283466,4,5.90535104656359,0.0,0.0,0.1740562132
3,9.527283466,5,5.905447739527605,0.0,0.0,0.1740599893
3,9.527283466,6,5.905476674368195,0.0,0.0,0.1740606744
4,14.250032732,1,5.247911962011697,0.0,0.0,0.1638279191
4,14.250032732,2,5.723230555610453,0.0,0.0,0.1634938715
4,14.250032732,3,5.725136669066562,0.0,0.0,0.163594181
4,14.250032732,4,5.72540952619447,0.0,0.0,0.1636087828
4,14.250032732,5,5.725474596381884,0.0,0.0,0.1636123727
4,14.250032732,6,5.725494218314765,0.0,0.0,0.1636134993
5,18.924644444,1,5.123743282915032,0.0,0.0,0.1557516781
5,18.924644444,2,5.580326481849917,0.0,0.0,0.1554372716
5,18.924644444,3,5.582168461152801,0.0,0.0,0.1555317176
5,18.924644444,4,5.582429965703907,0.0,0.0,0.1555454757
5,18.924644444,5,5.582494656418001,0.0,0.0,0.1555488642
5,18.924644444,6,5.582516235800755,0.0,0.0,0.1555499255
6,23.536577865,1,5.029784139560056,0.0,0.0,0.149536475
6,23.536577865,2,5.467768073559784,0.0,0.0,0.1492373805
6,23.536577865,3,5.469568772490091,0.0,0.0,0.1493272972
6,23.536577865,4,5.469824331959198,0.0,0.0,0.149340397
6,23.536577865,5,5.4698885546561975,0.0,0.0,0.1493436518
6,23.536577865,6,5.469910693762096,0.0,0.0,0.1493447033
