filename,config,fc_number,strut_number,location_id,thickness_mm,scf,thickness_correction_factor,total_cycles_per_year,total_damage_rate_per_year,fatigue_life_years,design_life_years,safety_margin
fsts_l015_125km3_l100_pb_FC001_Strut1_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,001,1,loc02,25.0,2.0,1.0324744944927464,14132800.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut1_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,001,1,loc03,25.0,1.15,1.0324744944927464,14132800.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut1_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,001,1,loc05,18.0,1.15,0.9510699415570292,14132800.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut1_loc06_stress_rainflow,fsts_l015_125km3_l100_pb,001,1,loc06,20.0,1.15,0.9764540896763105,14132800.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut1_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,001,1,loc07,20.0,1.15,0.9764540896763105,14132800.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut1_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,001,1,loc09,50.0,1.15,1.2278260149096119,14132800.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut2_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,001,2,loc02,25.0,2.0,1.0324744944927464,12030400.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut1_loc10_stress_rainflow,fsts_l015_125km3_l100_pb,001,1,loc10,50.0,1.15,1.2278260149096119,14132800.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut2_loc03_stress_rainflow,fsts_l015_125km3_l100_pb,001,2,loc03,25.0,1.15,1.0324744944927464,12030400.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut2_loc05_stress_rainflow,fsts_l015_125km3_l100_pb,001,2,loc05,18.0,1.15,0.9510699415570292,12030400.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut2_loc07_stress_rainflow,fsts_l015_125km3_l100_pb,001,2,loc07,20.0,1.15,0.9764540896763105,12030400.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut2_loc09_stress_rainflow,fsts_l015_125km3_l100_pb,001,2,loc09,50.0,1.15,1.2278260149096119,12030400.0,0.0,inf,inf,inf
fsts_l015_125km3_l100_pb_FC001_Strut3_loc02_stress_rainflow,fsts_l015_125km3_l100_pb,001,3,loc02,25.0,2.0,1.0324744944927464,11386540.0,0.0,inf,inf,inf
