Row,Wind Speed (m/s),Wind Dir (deg),Hs (m),Tp (s),Wave Dir (deg),Occurrence (%)
1,5,180,0.15,1.7,150,7.76
2,3,180,0.09,1,150,6.977
3,7,180,0.25,2.1,150,6.73
4,1.25,180,0.04,0.4,150,6.449
5,1.25,290,0.01,0.2,310,5.171
6,9,180,0.35,2.4,150,5.009
7,3,290,0.03,0.5,310,4.793
8,14,180,0.6,3,150,4.713
9,5,70,0.19,2,70,3.736
10,11,180,0.45,2.7,150,3.641
11,1.25,335,0.02,0.3,45,3.639
12,1.25,45,0.05,0.5,70,2.531
13,5,90,0.18,1.8,90,2.455
14,3,70,0.12,1.2,70,2.334
15,3,335,0.04,0.7,45,1.903
16,3,90,0.11,1.1,90,1.902
17,5,290,0.05,0.9,310,1.899
18,5,45,0.19,2,70,1.835
19,3,45,0.11,1.2,70,1.69
20,1.25,70,0.05,0.5,70,1.673
21,3,200,0.07,1,150,1.575
22,7,70,0.35,2.4,70,1.573
23,18,180,0.8,3.4,150,1.365
24,1.25,90,0.05,0.5,90,1.342
25,1.25,110,0.04,0.4,90,1.23
26,1.25,200,0.03,0.4,150,1.218
27,7,45,0.33,2.4,70,1.196
28,3,110,0.1,1,90,1.161
29,1.25,150,0.04,0.4,150,1.152
30,5,110,0.16,1.7,90,1.075
31,5,200,0.12,1.7,150,1.031
32,1.25,125,0.04,0.4,125,0.917
33,7,90,0.32,2.3,90,0.706
34,9,70,0.5,2.9,70,0.649
35,7,200,0.2,2,150,0.537
36,3,125,0.1,1,125,0.529
37,9,45,0.48,2.9,70,0.5
38,7,290,0.07,1,310,0.482
39,5,335,0.07,1.2,45,0.394
40,11,70,0.65,3.2,70,0.369
41,9,200,0.29,2.3,150,0.349
42,5,125,0.16,1.7,125,0.293
43,22,180,1.01,3.7,150,0.284
44,14,70,0.89,3.7,70,0.283
45,3,150,0.09,1,150,0.276
46,7,110,0.28,2.1,90,0.229
47,11,200,0.37,2.6,150,0.195
48,14,200,0.52,2.9,150,0.191
49,9,290,0.09,1.1,310,0.183
50,9,90,0.45,2.7,90,0.157
51,11,45,0.63,3.3,70,0.157
52,14,90,0.82,3.4,90,0.126
53,11,90,0.6,3,90,0.104
54,11,290,0.12,1.2,310,0.085
55,5,150,0.16,1.7,150,0.073
56,7,335,0.12,1.3,45,0.067
57,7,125,0.27,2,125,0.066
58,14,45,0.87,3.7,70,0.066
59,9,110,0.4,2.4,90,0.058
60,14,110,0.73,3.1,90,0.044
61,18,200,0.7,3.3,150,0.044
62,11,110,0.53,2.7,90,0.043
63,18,90,1.13,3.9,90,0.042
64,26,180,1.21,4,150,0.039
65,18,70,1.22,4.2,70,0.036
66,22,200,0.88,3.6,150,0.027
67,7,150,0.26,2,150,0.025
68,14,290,0.16,1.3,310,0.021
69,9,335,0.17,1.5,45,0.017
70,18,110,0.99,3.5,90,0.013
71,9,125,0.38,2.3,125,0.009
72,9,150,0.37,2.3,150,0.007
73,26,200,1.05,3.9,150,0.007
74,11,335,0.22,1.7,45,0.006
75,22,90,1.43,4.3,90,0.006
76,11,125,0.5,2.6,125,0.004
77,14,125,0.68,3,125,0.004
78,14,335,0.3,1.9,45,0.004
79,18,45,1.18,4.2,70,0.004
80,22,110,1.26,3.9,90,0.003
81,30,180,1.39,4.3,150,0.003
