location ID,config,tension range (kN),stress range (Mpa)
2,fsts_l015_mwl,0,0
2,fsts_l015_mwl,100,1.025811034
2,fsts_l015_mwl,200,2.051622068
2,fsts_l015_mwl,300,3.077433103
2,fsts_l015_mwl,400,4.103244137
2,fsts_l015_mwl,500,5.129055171
2,fsts_l015_mwl,600,6.154866205
2,fsts_l015_mwl,700,7.180677239
2,fsts_l015_mwl,800,8.206488273
2,fsts_l015_mwl,900,9.232299308
2,fsts_l015_mwl,1000,10.25811034
2,fsts_l015_mwl,1100,11.28392138
2,fsts_l015_mwl,1200,12.30973241
2,fsts_l015_mwl,1300,13.33554344
2,fsts_l015_mwl,1400,14.36135448
2,fsts_l015_mwl,1500,15.38716551
2,fsts_l015_mwl,1600,16.41297655
2,fsts_l015_mwl,1700,17.43878758
2,fsts_l015_mwl,1800,18.46459862
2,fsts_l015_mwl,1900,19.49040965
2,fsts_l015_mwl,2000,20.51622068
2,fsts_l015_mwl,2100,21.54203172
2,fsts_l015_mwl,2200,22.56784275
2,fsts_l015_mwl,2300,23.59365379
2,fsts_l015_mwl,2400,24.61946482
2,fsts_l015_mwl,2500,25.64527585
2,fsts_l015_mwl,2600,26.67108689
2,fsts_l015_mwl,2700,27.69689792
2,fsts_l015_mwl,2800,28.72270896
2,fsts_l015_mwl,2900,29.74851999
2,fsts_l015_mwl,3000,30.77433103
2,fsts_l015_mwl,3100,31.80014206
2,fsts_l015_mwl,3200,32.82595309
2,fsts_l015_mwl,3300,33.85176413
2,fsts_l015_mwl,3400,34.87757516
2,fsts_l015_mwl,3500,35.9033862
2,fsts_l015_mwl,3600,36.92919723
2,fsts_l015_mwl,3700,37.95500826
2,fsts_l015_mwl,3800,38.9808193
2,fsts_l015_mwl,3900,40.00663033
2,fsts_l015_mwl,4000,41.03244137
2, fsts_l095_mwl,0,0
2, fsts_l095_mwl,100,0.994357119
2, fsts_l095_mwl,200,1.988714238
2, fsts_l095_mwl,300,2.983071356
2, fsts_l095_mwl,400,3.977428475
2, fsts_l095_mwl,500,4.971785594
2, fsts_l095_mwl,600,5.966142713
2, fsts_l095_mwl,700,6.960499832
