NAME,Atwood Hunter,Atwood Hunter.1,Atwood Hunter.2,Atwood Hunter.3,Atwood Hunter.4,Atwood Hunter.5,Atwood Hunter.6,Atwood Hunter.7,Ocean Worker,Ocean Valiant,Ocean Victory,Ocean Endeavor,Ocean Monarch,Ocean Rover,Ocean Star,Blackford Dolphin,Ensco 5006,Ensco 5001,Noble Amos Runner,Noble Paul Romano,Noble Jim Thompson,Noble Max Smith,Noble Homer Ferrington,Noble Clyde Boudreaux,Noble Lorris Bouzigard,NobleTherald Martin,Noble Driller,Deepwater Nautilus,Transocean Marianas,Gsf Celtic Sea,Jack Bates,"M.G. Hulme, Jr",Transocean Richardson,Henry Goodrich,Jim Cunningham,Transocean Leader,Transocean Rather,Soverign Explorer,Aban Abraham,Hysy 981,Ocean Clipper,Ocean Confidence,Ocean Alliance,Ocean Courage,Ocean Valor,Belford Dolphin,Ensco 7500,Ensco 8500,Ensco 8501,Ensco 8502,Ensco 8503,Ensco 8504,Ensco 8505,Ensco DS-1,Ensco DS-2,Ensco 6001,Ensco 6002,Ensco 6004,Ensco 6003,Ensco DS-3,Ensco DS-4,Ensco DS-5,Ensco DS-6,LA Muralla IV,Jasper Explorer,Maersk Developer,Maersk Discoverer,Maersk Deliverer,Noble Paul Wolff,Noble Roger Eason,Noble Leo Segerius,Noble Muravlenko,Noble Dave Beard,Noble Danny Adkins,Noble Jim Day,Noble Phoenix,Noble Globetrotter I,Noble Bully I,Erik Raude,Leiv Eiriksson,Ocean Rig Corcovado,Ocean Rig Olympia,Ocean Rig Poseiden,Ocean Rig Mykonos,Deepsea Metro I,Deepsea Metro II,Deepsea  Stavanger,Deepsea  Atlantic,Pacific Bora,Pacific Scirocco,Pacific Mistral,Pacific Santa Ana,Louisiana,SSV Victoria,Gold Star,Alpha Star,Lone Star,Saipem 10000,Saipem12000,Scarabeo 5,Scarabeo 8,Scarabeo 9,SC Lancer,West Navigator,West Phoenix,West Eminence,West Sirius,West Taurus,West Hercules,West Aquarius,West Polaris,West Capella,West Orion,West Capricorn,West Pegasus,West Leo,West Gemini,Sevan Driller,Songa Eclipse,Stena Drillmax,Stena Carron,Stena Forth,Stena Icemax,Deepwater Asgard,Deepwater Invictus,Deepwater Champion,Transocean  Barents,Transocean Spitsbergen,Discoverer India,Discoverer Clear Leader,Discoverer Americas,Discoverer Inspiration,Petrobras 10000,Dhirubhai Deepwater KG1,Dhirubhai Deepwater KG2,Discoverer Luanda,Development Driller III,Deepwater Discovery,Deepwater Expedition,Deepwater Frontier,Deepwater Millennium,Deepwater Pathfinder,Discoverer Deep Seas,Discoverer Enterprise,Discoverer Spirit,GSF C.R. Luigs,GSF Jack Ryan,GSF Explorer,GSF Development Driller I,GSF Development Driller II,Deepwater Navigator,Sedco Energy,Sedco Express,Cajun Express,Discoverer 534,Sedco 707,Discoverer Seven Seas,Sedco 702,Sedco 706,Sedco 709,Sedco 710,Platinum Explorer,Titanium Explorer
riser tensioner (Total capacity ) (Kips),1280,1600,1600,3600,1280,3600,1000,960,960,1280,1280,3600,3600,3600,1280,2400,1932,1910,1920,1600,1600,1600,1920,1920,640,640,1600,4800,1600,1920,1500,1440,1200,1600,1080,1440,1200,1440,800,,1920,2500,1280,3600,3600,3200,2000,"2,500/3,000","2,500/3,000","2,500/3,000","2,500/3,000","2,500/3,000","2,500/3,000",2560,2560,1016,1016,1016,1016,3600,3600,3600,3600,,,4200,4200,4200,1920,1280,960,960,2500,2500,2500,1500,3600,3300,200,200,,,,,,,,,3200,3600,3200,3200,,,,,,3200,3200,1920,3500,4800,,2560,3200,3200,4410,4410,"1 3,600","1 3,600",3200,3200,4410,4410,3200,3200,3200,,3500,3600,3600,3600,3600,4000,4000,3500,3200,3200,4800,4800,4800,4800,3200,3200,3200,4800,3000,3200,2400,2560,2560,2560,4800,4800,4800,3000,3000,2000,3000,3000,1920,2400,2000,3200,1400,1600,1600,960,960,1280,960,3200,3200
RISER TENSIONERS No.,12,12,12,6,8,6,12,12,12,8,8,6,6,6,8,6,12,10,12,10,10,10,12,12,8,8,5 dbls,6,8,12,16,6,12,16,6,12,12,16,10,,12,12,8,6,6,8,8,8,8,8,8,8,8,16,16,8,8,8,8,16,16,16,16,,,6,6,6,12,12,12,12,10,10,10,12,8,6,8,8,,,,,16.0,16.0,,,8 dual,9 dual,10 dual,11 dual,,,,,,16,16,16,6,6,,16,Inline,Inline,Inline,Inline,Inline,Inline,16,16,Inline,Inline,Inline,Inline,16,,,6,6,6,6,8,8,14,6,6,6,6,6,6,8,8,8,6,12,8,12,8,16,8,6,6,6,12,12,10,12,12,12,12,10,16,14,16,16,8,8,16,12,16,16
RISER TENSIONERS Manufacturer,W.G.,W.G.,W.G.,NOV,Shaffer,Hydralift,Shaffer,Shaffer,Shaffer/W.G.,Shaffer,Shaffer,Hydralift,Hydralift,Hydralift,Shaffer,National,NOV Hydralift,NOV Hydralift,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Rucker,Control Flo,Hydralift,Westech,Shaffer,W.G.,Shaffer,W.G.,Hydril,Vetco Shaffer,Shaffer,W.G.,Shaffer,HC Gusto,,Shaffer,Shaffer,Shaffer,AKMH,AKMH,Hydralift,Retsco,NOV,NOV,NOV,NOV,NOV,NOV,M-H,M-H,M-H,M-H,M-H,M-H,NOV,NOV,NOV,NOV,,,NOV N-line,NOV N-line,NOV N-line,Shaffer,Shaffer,IHC Gusto,Shaffer,Shaffer,Shaffer,Shaffer,MH,Huisman,Huis./Rexroth,Hydralift,Hydralift,,,,,,,,,NOV,,,,,,,,,Hydralift,Shaffer,Shaffer,NOV,Aker,,M-H,M-H,M-H,M-H,M-H,M-H,M-H,NOV,NOV,M-H,M-H,NOV,NOV,NOV,,,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,Aker MH,Aker MH,NOV,Aker MH,Aker MH,Hydralift,Hydralift,Hydralift,Hydralift,NOV,NOV,NOV,Hydralift,NOV,Shaffer,Shaffer,M-H,M-H,M-H,Hydralift,Hydralift,Hydralift,Shaffer,Shaffer,Shaffer,Hydralift,Hydralift,Shaffer,Retsco,Retsco,Retsco,HSMC,Shaffer,HSMC,CFI/Westech,CFI/Westech,Rucker,Western Gear,AKMH,AKMH
DIVERTER SIZE (In.),49.5,59,,60,49.5,60.5,49.5,49.5,49.5,49.5,49.5,60.5,60.5,60.5,49.5,60.5,60.5,60.5,60,60,60,60,60,60,24.25,24.25,49.5,60.5,21,20,21,21,24,49,24,18.75,24,24,24,,60.5,60.5,49.5,60.5,60.5,60.5,60,60,60,60,60,60,60,60.5,60.5,49.5,49.5,49.5,49.5,60.5,60.5,60.5,60.5,,,60.5,60.5,60.5,60,49.5,49.5,49.5,60,60.5,60.5,49.5,21.7,60,,,,,,,,,,,60.5,75.5,60.5,75.5,,,,,,21,21,21,21,21,,60,60,60,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,,,60.5,60.5,60.5,60.5,78.5,75.5,72,60.5,60.5,60,60,60,60,21.25,21.25,21.25,60,20,21.25,60.5,60.5,60.5,21,60.5,60.5,60.5,21.25,21.25,20,60.5,60.5,21,21,21,21,49.5,21,21,49.5,60,24,24,21,21
CLASS of RISER (API),E,E,E,,E,F,C,F,C,E,E,F,F,F,E,E,H,G,E/F,E/F,E/F,E/F,E/F,Alum,Alum,Alum,F,G,E,F,E,E,E,E,E,,E,D,API,,FT,G,E,LK,LK,F/H,F,F,F,F,F,F,F,F,F,E,E,E,E,H,H,H,H,,,RP16Q,RP16Q,RP16Q,E/F,AAR,AAR,D,Hybrid,,,F,H,Clip,,,,,,,,,,,H,H,H,H -DGD,,,,,,H,H,H,H,16,,,,,,,,,,,,,,,,,,F,F,F,F,H,H,G,,,G,G,G,G,H,H,H,G,,F,F/H,F,F,F,F,F,F,F,F,F,F,F,E,G,E,G,E,E,E,E,E,C,C,H,H
RISER SIZE (O.D.  In.),21,21,21,20,21,21,21,21,19.7,21,21,21,21,21,21,21,21,21,19.75,19.75,21,19.75,19.75,21,21,21,21,21.25,21,21,21,21,21,21,21,21,21,21,18.625,,21,21,21,21,21,21.5,21,21,21,21,21,21,21,21,21,18.625,18.625,18.625,18.625,19.5,19.5,19.5,19.5,,,21,21,21,21,21,21,18.625,22,22,22,21,21,21,21,21,,,,,,,,,21,21.25,21,21,,,,,,21,21,21,21,21,,21,21,21,19.25 (ID),19.25 (ID),19.25 (ID),19.25 (ID),19.25 (ID),19.25 (ID),19.25 (ID),19.25 (ID),18.75 (ID),18.75 (ID),18.75 (ID),,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21.25,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
RISER JOINT LENGTH (ft.),75,75,75,75,50,75,50,65,65,50,50,75,75,75,75,70,75,75,75,75,75,75,75,75,75,75,75,90,75,75,60,60,75,75,60,60/50,75,50,50,,75,75,50,75,75,80,75,75,75,75,75,75,75,70,70,65,65,65,65,75,75,75,75,,,75,75,75,75,75,75,75,75,75,75,75,75,90,,,,,,,,,,,90,90,90,90,,,,,,90,90,63,75,50,,75,75,75,75,75,75,75,90,90,75,75,75,75,90,,,80,80,80,80,75,75,75,75,75,75,75,75,75,90,90,90,75,75,90,80,90,90,90,90,90,90,75,75,75,75,75,80,65,65,65,75,65,75,65,65,65/50,65/50,75,75
FLEX JOINT (Top/Bottom),Bottom,Bottom,Bottom,Bottom,Top,Top/Bottom,Bottom,Top/Bottom,Bottom,Bottom,Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Bottom,Bottom,Top and Bottom,Top and Bottom,Top,Top,Top,Top,Top,Top,Top,Top,Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top,Top,Bottom,Top/Bottom,Top/Bottom,Top,,,Top and Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top and Bottom,Top and Bottom,Top and Bottom,Top and Bottom,Top and Bottom,Top and Bottom,Top and Bottom,Top and Bottom,Top and Bottom,Top and Bottom,,,Top and Bottom,Top and Bottom,Top and Bottom,Top/Bottom,Bottom,Bottom,Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Bottom,Bottom,Top,,,,,,,,,,,Bottom,Bottom,Bottom,Bottom,,,,,,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,,,Top and Bottom,Top and Bottom,Top and Bottom,Top and Bottom,,,,,,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top,Top,Top,Top/Bottom,,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top/Bottom,Top,Top,Bottom,Bottom
RISER MANUFACTURER,Vetco,Vetco,Vetco,Aker,Cameron,S&S,Vetco,Shaffer,Vetco&NOV,Cameron,Cameron,S&S,Shaffer,Shaffer,Shafer,Vetco,Cameron,Cameron,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Noble,Noble,Noble,Oil States,Vetco,Vetco,S&S,Shaffer,Vetco,Vetco,S&S,Shaffer,Cameron,Vetco,Vetco,Cameron,,Shaffer,Shaffer,Vetco,Cameron,Cameron,Vetco,Dril-Quip,Dril-Quip,Dril-Quip,Dril-Quip,Dril-Quip,Dril-Quip,Dril-Quip,Kværner,Kværner,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,,,Aker,Aker,Aker,Shaffer,Noble,Noble,Vetco,Noble,Noble,Noble,Oil States,NOV,Aker,Vetco,Vetco,,,,,,,,,NOV-Shaffer,NOV-Shaffer,NOV-Shaffer,NOV-Shaffer,,,,,,Vetco,Vetco,Cameron,Cameron,Aker,,Dril-Quip,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,Shaffer,Shaffer,Cameron,Cameron,Shaffer,Shaffer,Shaffer,,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,Vetco,Aker,,Vetco,Vetco,Vetco,Vetco,Shaffer,Shaffer,Shaffer,Vetco,Kvaerner,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,S&S,S&S,S&S,Kværner,Kværner,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Vetco,Aker,Aker
RISER STORAGE MAIN DECK OR  in.IN HOLD in. (ft.),5000,5000,5000,7000,6400,6500,3595,4000,4000,5120,5075,8000,8000,6500,5500,6000,6000,6825,8000,6000,7200,6000,7200,10000,4000,4000,5000,,7125,5600,5400,5000,5000,1500,4600,4500,4500,3000,Hold,,7500,7500,5000,10000,10000,10000,8000,8500,8500,8500,8500,8500,8500,7350,7070,5590,5590,5590,5590,10050,10050,10050,10050,,,9600,9600,9600,9600,7500,6000,5000,10000,12000,12000,5000,10000,9720,,,,,,,,,,,10000,12000,10000,10000,,,,,,10000,12000,6500,10000,10000,,,,,,,,,,,,,,,,,,10000,10000,10000,10000,10000,10000,10000,6500,,10000,10000,10000,10000,10000,10000,12000,10000,7500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,8000,7500,7500,7840,8500,8500,8500,7600,6560,6500,6500,6500,4500,4500,,
