case_id,lis_file,vessel,lng_load_percent,dof,status,period_s,frequency_rad_s,critical_percent,critical_ratio
fst_pair_l015,FST2L015_FST1L015_MWL.LIS,FST1,15,heave,ok,1.0,0.18,20.1,0.201
fst_pair_l015,FST2L015_FST1L015_MWL.LIS,FST1,15,roll,ok,1.0,0.18,0.2,0.002
fst_pair_l015,FST2L015_FST1L015_MWL.LIS,FST1,15,pitch,ok,1.0,0.18,5.2,0.052000000000000005
fst_pair_l015,FST2L015_FST1L015_HWL.LIS,FST1,15,heave,ok,1.0,0.18,19.5,0.195
fst_pair_l015,FST2L015_FST1L015_HWL.LIS,FST1,15,roll,ok,1.0,0.18,0.2,0.002
fst_pair_l015,FST2L015_FST1L015_HWL.LIS,FST1,15,pitch,ok,1.0,0.18,4.3,0.043
fst_pair_l015,FST2L015_FST1L015_LWL.LIS,FST1,15,heave,ok,1.0,0.18,19.7,0.19699999999999998
fst_pair_l015,FST2L015_FST1L015_LWL.LIS,FST1,15,roll,ok,1.0,0.18,0.3,0.003
fst_pair_l015,FST2L015_FST1L015_LWL.LIS,FST1,15,pitch,ok,1.0,0.18,7.9,0.079
fst_pair_l095,FST2L095_FST1L095_MWL.LIS,FST2,95,heave,ok,5.0,0.38,31.3,0.313
fst_pair_l095,FST2L095_FST1L095_MWL.LIS,FST2,95,roll,ok,11.0,0.68,7.0,0.07
fst_pair_l095,FST2L095_FST1L095_MWL.LIS,FST2,95,pitch,ok,8.0,0.53,23.5,0.235
fst_pair_l095,FST2L095_FST1L095_HWL.LIS,FST2,95,heave,ok,5.0,0.38,30.4,0.304
fst_pair_l095,FST2L095_FST1L095_HWL.LIS,FST2,95,roll,ok,11.0,0.68,7.5,0.075
fst_pair_l095,FST2L095_FST1L095_HWL.LIS,FST2,95,pitch,ok,8.0,0.53,22.3,0.223
fst_pair_l095,FST2L095_FST1L095_LWL.LIS,FST2,95,heave,ok,4.0,0.33,32.7,0.327
fst_pair_l095,FST2L095_FST1L095_LWL.LIS,FST2,95,roll,ok,11.0,0.68,6.1,0.061
fst_pair_l095,FST2L095_FST1L095_LWL.LIS,FST2,95,pitch,ok,8.0,0.53,24.4,0.244
lngc_125km3,FSTS_L015_125KM3_L100_PB_HWL.LIS,LNGC,100,heave,ok,11.0,0.68,47.1,0.47100000000000003
lngc_125km3,FSTS_L015_125KM3_L100_PB_HWL.LIS,LNGC,100,roll,ok,11.0,0.68,34.3,0.34299999999999997
