case_id,lis_file,status,frequency_count,min_heave_pct,max_heave_pct,min_roll_pct,max_roll_pct,min_pitch_pct,max_pitch_pct
fst_pair_l015,FST2L015_FST1L015_HWL.LIS,ok,1,19.5,19.5,0.2,0.2,4.3,4.3
fst_pair_l015,FST2L015_FST1L015_LWL.LIS,ok,1,19.7,19.7,0.3,0.3,7.9,7.9
fst_pair_l015,FST2L015_FST1L015_MWL.LIS,ok,1,20.1,20.1,0.2,0.2,5.2,5.2
fst_pair_l095,FST2L095_FST1L095_HWL.LIS,ok,19,5.7,30.4,0.0,16.2,2.9,23.4
fst_pair_l095,FST2L095_FST1L095_LWL.LIS,ok,19,6.5,32.7,0.1,15.0,3.3,29.8
fst_pair_l095,FST2L095_FST1L095_MWL.LIS,ok,19,6.0,31.3,0.1,15.8,3.0,25.6
lngc_125km3,FSTS_L015_125KM3_L100_PB_HWL.LIS,ok,15,0.0,238.4,0.2,41.5,3.8,64.9
lngc_125km3,FSTS_L015_125KM3_L100_PB_LWL.LIS,ok,15,0.0,120.9,0.2,44.5,5.1,61.4
lngc_125km3,FSTS_L015_125KM3_L100_PB_MWL.LIS,ok,15,0.0,68.8,0.2,41.8,4.2,64.8
lngc_125km3,FSTS_L015_125KM3_L100_SB_HWL.LIS,ok,15,19.4,35.9,0.2,14.3,3.9,27.6
lngc_125km3,FSTS_L015_125KM3_L100_SB_LWL.LIS,ok,15,21.3,39.3,0.3,3.4,6.2,30.9
lngc_125km3,FSTS_L015_125KM3_L100_SB_MWL.LIS,ok,15,20.7,37.2,0.2,3.2,4.5,28.7
lngc_125km3,FSTS_L095_125KM3_L000_PB_HWL.LIS,ok,19,0.0,49.1,0.0,54.2,2.5,70.0
lngc_125km3,FSTS_L095_125KM3_L000_PB_LWL.LIS,ok,19,0.0,156.4,0.0,33.7,3.0,45.3
lngc_125km3,FSTS_L095_125KM3_L000_PB_MWL.LIS,ok,19,0.0,93.5,0.0,47.8,2.7,38.4
lngc_125km3,FSTS_L095_125KM3_L000_SB_HWL.LIS,ok,19,5.9,30.3,0.0,16.2,3.2,25.6
lngc_125km3,FSTS_L095_125KM3_L000_SB_LWL.LIS,ok,19,6.8,32.6,0.1,15.1,4.0,31.2
lngc_125km3,FSTS_L095_125KM3_L000_SB_MWL.LIS,ok,19,6.3,31.2,0.1,15.9,3.6,27.5
lngc_180km3,FSTS_L015_180KM3_L100_PB_HWL.LIS,ok,23,0.0,36.0,0.2,53.2,3.7,66.5
lngc_180km3,FSTS_L015_180KM3_L100_PB_LWL.LIS,ok,23,0.0,184.6,0.2,51.2,5.0,80.9
lngc_180km3,FSTS_L015_180KM3_L100_PB_MWL.LIS,ok,23,0.0,71.0,0.2,51.1,4.2,72.0
lngc_180km3,FSTS_L015_180KM3_L100_SB_HWL.LIS,ok,23,15.1,35.9,0.2,14.5,3.9,27.6
lngc_180km3,FSTS_L015_180KM3_L100_SB_LWL.LIS,ok,23,16.0,39.2,0.3,3.4,6.3,30.9
lngc_180km3,FSTS_L015_180KM3_L100_SB_MWL.LIS,ok,23,15.4,37.2,0.2,3.2,4.5,28.7
lngc_180km3,FSTS_L095_180KM3_L000_PB_HWL.LIS,ok,19,0.0,112.6,0.0,53.0,2.8,39.6
lngc_180km3,FSTS_L095_180KM3_L000_PB_LWL.LIS,ok,19,0.0,60.3,0.0,56.0,3.3,91.1
lngc_180km3,FSTS_L095_180KM3_L000_PB_MWL.LIS,ok,19,4.5,162.0,0.0,51.1,3.0,55.9
lngc_180km3,FSTS_L095_180KM3_L000_SB_HWL.LIS,ok,19,5.9,30.3,0.0,16.2,3.2,25.6
lngc_180km3,FSTS_L095_180KM3_L000_SB_LWL.LIS,ok,19,6.9,32.6,0.1,15.1,4.0,31.2
lngc_180km3,FSTS_L095_180KM3_L000_SB_MWL.LIS,ok,19,6.3,31.2,0.1,15.9,3.6,27.5
