Hs,Tp,occurrence_pct
0.5,5.0,5.2
0.5,6.0,3.1
1.0,6.0,8.5
1.0,7.0,9.2
1.0,8.0,4.3
1.5,7.0,10.8
1.5,8.0,11.5
1.5,9.0,6.2
2.0,7.5,7.3
2.0,8.0,8.9
2.0,9.0,6.8
2.0,10.0,3.2
2.5,8.0,4.8
2.5,9.0,3.9
2.5,10.0,2.1
3.0,9.0,2.3
3.0,10.0,1.8
3.0,11.0,1.2
3.5,10.0,1.1
3.5,11.0,0.9
3.5,12.0,0.6
4.0,11.0,0.7
4.0,12.0,0.5
4.0,13.0,0.3
4.5,12.0,0.4
4.5,13.0,0.3
4.5,14.0,0.2
5.0,13.0,0.3
5.0,14.0,0.2
5.0,15.0,0.1
5.5,13.0,0.2
5.5,14.0,0.1
6.0,14.0,0.2
6.0,15.0,0.1
6.5,15.0,0.1
7.0,15.0,0.1
7.5,16.0,0.05
8.0,16.0,0.03
8.5,17.0,0.02
