timestamp,agent_name,task_type,success,duration_ms,tokens_used,cost_usd,error_type
2025-12-08 00:16:41,perf-analyzer,analysis,True,2835.91,2259,0.058684,
2025-12-08 00:39:55,project-board-sync,optimization,True,2303.0,4942,0.148179,
2025-12-08 00:41:59,planner,architecture,True,913.37,2147,0.067932,
2025-12-08 00:55:27,raft-manager,architecture,False,7021.26,1145,0.027441,timeout
2025-12-08 01:09:07,coder,testing,True,532.8,2274,0.057183,
2025-12-08 01:16:55,pr-manager,architecture,True,5467.38,974,0.010811,
2025-12-08 01:22:37,coder,architecture,True,408.11,1618,0.040687,
2025-12-08 01:27:15,reviewer,optimization,True,4982.89,1987,0.031413,
2025-12-08 01:31:44,researcher,refactoring,True,3608.6,1898,0.033344,
2025-12-08 01:32:38,coder,documentation,True,680.11,2491,0.06264,
2025-12-08 01:43:22,researcher,refactoring,True,4139.45,2410,0.042339,
2025-12-08 02:37:50,api-docs,deployment,True,698.06,828,0.037172,
2025-12-08 02:39:19,tester,optimization,True,836.07,2813,0.054888,
2025-12-08 02:46:18,ml-developer,documentation,True,1035.3,2830,0.074862,
2025-12-08 03:12:42,smart-agent,code_generation,True,687.16,4615,0.138459,
2025-12-08 03:22:11,mobile-dev,optimization,True,2828.83,3222,0.099537,
2025-12-08 03:24:34,coder,architecture,True,487.49,1188,0.029874,
2025-12-08 03:29:21,reviewer,analysis,True,3394.43,3129,0.049467,
2025-12-08 03:46:19,hierarchical-coordinator,optimization,False,3781.33,4483,0.145715,resource_limit
2025-12-08 03:51:15,planner,debugging,True,840.91,1698,0.053725,
2025-12-08 03:51:18,planner,testing,True,381.27,1483,0.046923,
2025-12-08 03:53:42,mobile-dev,architecture,True,2431.62,2740,0.084647,
2025-12-08 03:56:44,pseudocode,research,True,2036.58,642,0.025012,
2025-12-08 04:00:48,planner,architecture,True,72.35,2275,0.071982,
2025-12-08 04:05:29,coder,debugging,True,706.12,1480,0.037217,
2025-12-08 04:11:24,tester,planning,True,763.45,3584,0.069932,
2025-12-08 04:12:09,github-modes,code_review,True,4308.33,2770,0.134934,
2025-12-08 04:13:23,code-analyzer,analysis,True,1956.91,841,0.014463,
2025-12-08 04:13:49,mesh-coordinator,deployment,True,4105.33,1306,0.030053,
2025-12-08 04:43:44,planner,refactoring,True,1002.03,2296,0.072646,
2025-12-08 04:56:03,researcher,analysis,True,5496.5,3230,0.056744,
2025-12-08 05:05:21,researcher,refactoring,True,3950.43,2252,0.039563,
2025-12-08 05:19:26,tester,testing,True,1577.8,1824,0.03559,
2025-12-08 05:22:34,release-manager,code_generation,True,2549.78,2321,0.038542,
2025-12-08 05:25:59,planner,testing,True,862.25,1904,0.060243,
2025-12-08 05:40:10,quorum-manager,code_generation,False,703.73,2447,0.118186,dependency_error
2025-12-08 05:41:00,researcher,deployment,True,4768.36,2103,0.036945,
2025-12-08 05:43:58,adaptive-coordinator,testing,True,2401.68,2115,0.047356,
2025-12-08 05:56:26,reviewer,code_review,True,3353.19,2953,0.046685,
2025-12-08 05:57:28,tester,documentation,True,1711.98,2483,0.048449,
2025-12-08 06:05:09,system-architect,optimization,True,4211.53,482,0.01997,
2025-12-08 06:06:14,planner,debugging,True,619.44,1523,0.048188,
2025-12-08 06:08:01,code-review-swarm,architecture,True,3636.8,1406,0.016059,
2025-12-08 06:22:49,planner,code_generation,False,617.95,1673,0.052934,resource_limit
2025-12-08 06:27:22,coder,planning,True,468.53,1785,0.044887,
2025-12-08 06:32:46,researcher,testing,True,3754.1,2605,0.045764,
2025-12-08 06:33:19,quorum-manager,code_generation,True,1199.66,3589,0.173343,
2025-12-08 06:43:34,byzantine-coordinator,code_generation,True,1790.05,1096,0.012876,
2025-12-08 06:43:45,planner,testing,True,973.09,697,0.022053,
2025-12-08 06:51:57,adaptive-coordinator,testing,True,3983.75,970,0.021719,
2025-12-08 06:53:12,coder,code_review,True,953.11,1340,0.033696,
2025-12-08 07:03:11,reviewer,documentation,True,1642.68,1986,0.031397,
2025-12-08 07:14:50,crdt-synchronizer,planning,True,4677.77,2216,0.041194,
2025-12-08 07:21:18,researcher,documentation,True,4840.18,3099,0.054443,
2025-12-08 07:25:43,coder,deployment,True,464.02,1973,0.049614,
2025-12-08 07:37:51,reviewer,planning,True,3889.75,3147,0.049752,
2025-12-08 08:10:11,pseudocode,code_generation,True,3432.62,212,0.008259,
2025-12-08 08:28:58,pr-manager,refactoring,True,3316.92,734,0.008147,
2025-12-08 08:29:51,crdt-synchronizer,refactoring,True,3162.36,3047,0.056642,
2025-12-08 08:35:15,planner,research,True,850.23,1828,0.057839,
2025-12-08 08:47:19,task-orchestrator,deployment,True,2927.53,537,0.008941,
2025-12-08 08:57:02,smart-agent,documentation,True,551.46,2117,0.063514,
2025-12-08 08:58:02,planner,deployment,True,656.21,1805,0.057111,
2025-12-08 09:01:23,performance-benchmarker,testing,True,3014.98,720,0.014511,
2025-12-08 09:06:29,tester,deployment,True,1514.05,2779,0.054225,
2025-12-08 09:06:51,tester,analysis,True,1532.93,2383,0.046498,
2025-12-08 09:08:22,coder,research,True,561.81,1321,0.033219,
