time_s,original_kN,scaled_kN
0.0,-6.594035,-1.9782104999999999
0.1,-6.740077,-2.0220231
0.2,-7.051237,-2.1153711
0.3,-7.499746,-2.2499238
0.4,-8.060368,-2.4181104
0.5,-8.70248,-2.610744
0.6,-9.368651,-2.8105952999999997
0.7,-10.001181,-3.0003543
0.8,-10.566049,-3.1698147
0.9,-11.029895,-3.3089684999999998
1.0,-11.335225,-3.4005674999999997
1.1,-11.403897,-3.4211691
1.2,-11.165002,-3.3495006
1.3,-10.590862,-3.1772585999999996
1.4,-9.711042,-2.9133126000000003
1.5,-8.594342,-2.5783025999999998
1.6,-7.323072,-2.1969216
1.7,-5.988809,-1.7966426999999998
1.8,-4.690691,-1.4072073
1.9,-3.509535,-1.0528605
2.0,-2.499718,-0.7499154
2.1,-1.697553,-0.5092659
2.2,-1.111802,-0.33354059999999996
2.3,-0.753513,-0.22605389999999997
2.4,-0.677272,-0.2031816
2.5,-0.946241,-0.28387229999999997
2.6,-1.575828,-0.47274839999999996
2.7,-2.51879,-0.755637
2.8,-3.711536,-1.1134608
2.9,-5.122149,-1.5366447
3.0,-6.70961,-2.012883
3.1,-8.408416,-2.5225248000000002
3.2,-10.158245,-3.0474735
3.3,-11.852992,-3.5558976
3.4,-13.327446,-3.9982338
3.5,-14.429342,-4.3288025999999995
3.6,-15.050214,-4.5150642
3.7,-15.144187,-4.5432561
3.8,-14.735799,-4.4207396999999995
3.9,-13.869445,-4.1608335
4.0,-12.589985,-3.7769955
4.1,-10.975339,-3.2926017
4.2,-9.122233,-2.7366699
4.3,-7.120305,-2.1360915
4.4,-5.083064,-1.5249192
4.5,-3.150789,-0.9452366999999999
4.6,-1.468018,-0.4404054
4.7,-0.190948,-0.0572844
4.8,0.537525,0.1612575
4.9,0.617659,0.18529769999999998
5.0,0.014788,0.0044364
5.1,-1.193056,-0.3579168
5.2,-2.833565,-0.8500695
5.3,-4.715836,-1.4147508
5.4,-6.69435,-2.008305
5.5,-8.700512,-2.6101536
5.6,-10.69231,-3.2076930000000003
5.7,-12.603743,-3.7811228999999997
5.8,-14.349163,-4.3047489
5.9,-15.831073,-4.7493219
6.0,-16.996143,-5.0988429
6.1,-17.857508,-5.357252399999999
6.2,-18.399612,-5.5198836
6.3,-18.578636,-5.5735908
6.4,-18.431068,-5.5293204
6.5,-18.038157,-5.4114471
6.6,-17.437197,-5.2311591
6.7,-16.651678,-4.9955034
6.8,-15.702337,-4.7107011
6.9,-14.585523,-4.3756569
7.0,-13.320623,-3.9961868999999997
7.1,-11.991356,-3.5974068
7.2,-10.72824,-3.2184719999999998
7.3,-9.626821,-2.8880462999999996
7.4,-8.673436,-2.6020308
7.5,-7.809527,-2.3428581
7.6,-7.023244,-2.1069732
7.7,-6.344591,-1.9033773
7.8,-5.820955,-1.7462864999999999
7.9,-5.506094,-1.6518282
8.0,-5.461297,-1.6383891
8.1,-5.743824,-1.7231471999999999
8.2,-6.344757,-1.9034271
8.3,-7.168394,-2.1505182
8.4,-8.103874,-2.4311621999999997
8.5,-9.079222,-2.7237666
8.6,-10.035061,-3.0105183
8.7,-10.894516,-3.2683547999999996
8.8,-11.595221,-3.4785663000000002
8.9,-12.123563,-3.6370689
9.0,-12.499949,-3.7499847
9.1,-12.764892,-3.8294675999999996
9.2,-12.973466,-3.8920398
9.3,-13.167256,-3.9501768
9.4,-13.357996,-4.0073988
9.5,-13.540085,-4.0620255
9.6,-13.707957,-4.1123871
9.7,-13.856397,-4.1569191
9.8,-13.955415,-4.1866245
9.9,-13.954096,-4.186228799999999
10.0,-13.818496,-4.145548799999999
10.1,-13.546119,-4.063835699999999
10.2,-13.181918,-3.9545753999999995
10.3,-12.809621,-3.8428863
10.4,-12.488132,-3.7464396
