time_s,original_kN,scaled_kN
0.0,-22.001244,-6.6003732
0.1,-23.381189,-7.0143567
0.2,-23.930864,-7.1792592
0.3,-23.57164,-7.071491999999999
0.4,-22.312639,-6.6937917
0.5,-20.289038,-6.0867114
0.6,-17.612408,-5.283722399999999
0.7,-14.310857,-4.2932571
0.8,-10.500083,-3.1500249
0.9,-6.497774,-1.9493321999999997
1.0,-2.763201,-0.8289603
1.1,0.265264,0.0795792
1.2,2.352864,0.7058591999999999
1.3,3.471923,1.0415769
1.4,3.673856,1.1021568
1.5,3.089589,0.9268767
1.6,1.929916,0.5789748
1.7,0.351962,0.10558859999999999
1.8,-1.561927,-0.4685781
1.9,-3.721537,-1.1164611
2.0,-6.041687,-1.8125060999999998
2.1,-8.449166,-2.5347497999999997
2.2,-10.833613,-3.2500839
2.3,-13.049551,-3.9148652999999998
2.4,-14.945937,-4.4837811
2.5,-16.384968,-4.9154904
2.6,-17.264469,-5.179340699999999
2.7,-17.504248,-5.2512744
2.8,-17.035835,-5.110750499999999
2.9,-15.86883,-4.760649
3.0,-14.100086,-4.2300258
3.1,-11.892694,-3.5678082
3.2,-9.557396,-2.8672188000000003
3.3,-7.475835,-2.2427505
3.4,-5.909091,-1.7727273
3.5,-4.975651,-1.4926953
3.6,-4.640141,-1.3920423
3.7,-4.785629,-1.4356887
3.8,-5.32131,-1.5963930000000002
3.9,-6.0596,-1.8178799999999997
4.0,-6.80813,-2.042439
4.1,-7.607722,-2.2823165999999997
4.2,-8.55761,-2.567283
4.3,-9.658618,-2.8975854
4.4,-10.888449,-3.2665347
4.5,-12.159939,-3.6479817
4.6,-13.325456,-3.9976368
4.7,-14.274241,-4.2822723
4.8,-14.938168,-4.4814504
4.9,-15.322127,-4.5966381
5.0,-15.520749,-4.6562247
5.1,-15.614432,-4.6843296
5.2,-15.614123,-4.684236899999999
5.3,-15.474144,-4.6422432
5.4,-15.142254,-4.5426762
5.5,-14.673273,-4.4019819
5.6,-14.189561,-4.2568683
5.7,-13.751638,-4.1254914
5.8,-13.319528,-3.9958584
5.9,-12.753903,-3.8261708999999997
6.0,-12.064802,-3.6194406
6.1,-11.523371,-3.4570112999999996
6.2,-11.242558,-3.3727674000000003
6.3,-11.174049,-3.3522146999999998
6.4,-11.47445,-3.4423349999999995
6.5,-12.249372,-3.6748115999999995
6.6,-13.327449,-3.9982347
6.7,-14.54145,-4.362435
6.8,-15.812497,-4.7437491
6.9,-17.073814,-5.122144199999999
7.0,-18.313885,-5.494165499999999
7.1,-19.562212,-5.8686636
7.2,-20.83757,-6.251271
7.3,-22.085773,-6.6257319
7.4,-23.121552,-6.9364656
7.5,-23.720442,-7.116132599999999
7.6,-23.725658,-7.1176974
7.7,-23.026482,-6.9079446
7.8,-21.546583,-6.463974899999999
7.9,-19.275122,-5.782536599999999
8.0,-16.335239,-4.9005717
8.1,-13.05038,-3.915114
8.2,-9.814932,-2.9444796
8.3,-6.905203,-2.0715609
8.4,-4.539665,-1.3618995
8.5,-3.023167,-0.9069501
8.6,-2.637008,-0.7911023999999999
8.7,-3.412142,-1.0236425999999998
8.8,-5.145944,-1.5437832
8.9,-7.549097,-2.2647291
9.0,-10.287433,-3.0862298999999997
9.1,-13.048544,-3.9145632
9.2,-15.618543,-4.6855629
9.3,-17.85725,-5.357175
9.4,-19.693691,-5.9081073
9.5,-21.150969,-6.3452907
9.6,-22.320259,-6.6960777
9.7,-23.29265,-6.987794999999999
9.8,-24.082155,-7.2246464999999995
9.9,-24.628008,-7.3884024
10.0,-24.844477,-7.4533431
10.1,-24.624159,-7.3872477
10.2,-23.884649,-7.165394699999999
10.3,-22.629646,-6.7888938
10.4,-20.903036,-6.2709108
10.5,-18.773699,-5.6321097
10.6,-16.383364,-4.9150092
10.7,-13.928198,-4.1784593999999995
10.8,-11.609879,-3.4829636999999996
10.9,-9.56887,-2.870661
11.0,-7.902554,-2.3707662
11.1,-6.83017,-2.049051
11.2,-6.654961,-1.9964883
11.3,-7.473586,-2.2420758
11.4,-9.044338,-2.7133013999999998
11.5,-10.945868,-3.2837604000000002
11.6,-12.839157,-3.8517471
11.7,-14.564784,-4.3694352
11.8,-16.056623,-4.816986899999999
11.9,-17.285572,-5.185671599999999
12.0,-18.22238,-5.4667140000000005
12.1,-18.840536,-5.6521608
12.2,-19.217171,-5.7651513
12.3,-19.50552,-5.851656
12.4,-19.81464,-5.944392
12.5,-20.226753,-6.068025899999999
12.6,-20.781506,-6.2344517999999995
12.7,-21.400042,-6.4200126
12.8,-21.975243,-6.5925728999999995
12.9,-22.430021,-6.7290063
13.0,-22.679567,-6.803870099999999
13.1,-22.763836,-6.8291508
13.2,-22.806366,-6.8419098
13.3,-22.675709,-6.8027127
13.4,-22.088287,-6.6264861
13.5,-20.990881,-6.2972643
13.6,-19.422136,-5.826640799999999
13.7,-17.298315,-5.1894944999999995
13.8,-14.640347,-4.3921041
13.9,-11.685034,-3.5055102
14.0,-8.730471,-2.6191413
14.1,-6.10567,-1.8317009999999998
14.2,-4.146493,-1.2439479
14.3,-3.074074,-0.9222222
14.4,-2.986312,-0.8958936
14.5,-3.905484,-1.1716452
14.6,-5.751709,-1.7255127
14.7,-8.33417,-2.500251
14.8,-11.382928,-3.4148783999999996
14.9,-14.56051,-4.368153
15.0,-17.520275,-5.256082500000001
15.1,-20.011621,-6.0034863000000005
15.2,-21.892694,-6.567808199999999
15.3,-23.079311,-6.9237933
15.4,-23.531502,-7.0594506
15.5,-23.25642,-6.976926
15.6,-22.299786,-6.6899358
15.7,-20.72611,-6.217833
15.8,-18.625765,-5.5877295
15.9,-16.109224,-4.8327672
16.0,-13.245208,-3.9735623999999996
16.1,-10.096031,-3.0288093
16.2,-6.800833,-2.0402499
16.3,-3.526203,-1.0578609
16.4,-0.423777,-0.1271331
16.5,2.347148,0.7041443999999999
16.6,4.641339,1.3924017
16.7,6.340701,1.9022103
16.8,7.338188,2.2014563999999996
16.9,7.544906,2.2634718
17.0,6.903432,2.0710295999999997
17.1,5.400676,1.6202028
17.2,2.996658,0.8989974
17.3,-0.210341,-0.0631023
17.4,-3.662054,-1.0986162
17.5,-7.082975,-2.1248925
17.6,-10.229902,-3.0689705999999997
17.7,-12.903186,-3.8709558
17.8,-15.01311,-4.503933
17.9,-16.579313,-4.9737938999999995
18.0,-17.664616,-5.2993847999999995
18.1,-18.281822,-5.484546599999999
18.2,-18.38747,-5.516241
18.3,-17.933428,-5.3800284
18.4,-16.890572,-5.067171599999999
18.5,-15.290374,-4.5871122
18.6,-13.285528,-3.9856583999999997
18.7,-11.132614,-3.3397842
18.8,-9.11468,-2.734404
18.9,-7.462986,-2.2388958
19.0,-6.297833,-1.8893498999999998
19.1,-5.631207,-1.6893620999999999
19.2,-5.411245,-1.6233735
19.3,-5.561246,-1.6683738
19.4,-5.985773,-1.7957319
19.5,-6.514171,-1.9542513
19.6,-6.910805,-2.0732415
19.7,-7.034132,-2.1102396
19.8,-6.903737,-2.0711210999999996
19.9,-6.573905,-1.9721715
20.0,-6.059522,-1.8178566
20.1,-5.401262,-1.6203786
20.2,-4.703328,-1.4109984
20.3,-4.08193,-1.2245789999999999
20.4,-3.61682,-1.085046
20.5,-3.373449,-1.0120346999999998
20.6,-3.461416,-1.0384247999999998
20.7,-4.015952,-1.2047856000000001
20.8,-5.073342,-1.5220026
20.9,-6.524159,-1.9572477
21.0,-8.228137,-2.4684411
21.1,-10.060965,-3.0182895
21.2,-11.862572,-3.5587716
21.3,-13.492581,-4.0477742999999995
21.4,-14.855844,-4.4567532
21.5,-15.825533,-4.7476598999999995
21.6,-16.323288,-4.8969864
21.7,-16.419903,-4.9259709
21.8,-16.269676,-4.8809028
21.9,-16.03903,-4.811709
22.0,-15.586205,-4.6758615
22.1,-14.983218,-4.4949654
22.2,-14.275515,-4.2826545
22.3,-13.490922,-4.0472766
22.4,-12.689292,-3.8067876
22.5,-11.928926,-3.5786778
22.6,-11.220411,-3.3661233
22.7,-10.539093,-3.1617279
22.8,-9.876561,-2.9629683
22.9,-9.215482,-2.7646446
23.0,-8.479184,-2.5437552
23.1,-7.570667,-2.2712001
23.2,-6.457205,-1.9371615
23.3,-5.236829,-1.5710487
23.4,-4.103632,-1.2310896
23.5,-3.235776,-0.9707328
23.6,-2.777828,-0.8333484
23.7,-2.808252,-0.8424756
23.8,-3.267327,-0.9801981
23.9,-4.074033,-1.2222099
24.0,-5.205623,-1.5616869
24.1,-6.56727,-1.9701809999999997
24.2,-7.972618,-2.3917854
24.3,-9.265177,-2.7795530999999998
24.4,-10.373297,-3.1119891
24.5,-11.300651,-3.3901953
24.6,-12.101797,-3.6305390999999996
24.7,-12.84656,-3.853968
24.8,-13.55909,-4.067727
24.9,-14.198321,-4.2594962999999995
25.0,-14.760674,-4.428202199999999
25.1,-15.323322,-4.5969966
25.2,-15.904466,-4.7713398
25.3,-16.448715,-4.9346144999999995
25.4,-17.003225,-5.1009675
25.5,-17.658054,-5.2974162
25.6,-18.307163,-5.492148899999999
25.7,-18.693739,-5.6081217
25.8,-18.626785,-5.5880355
25.9,-18.021376,-5.4064128
26.0,-16.87591,-5.062773
26.1,-15.327608,-4.5982823999999995
26.2,-13.587242,-4.0761726
26.3,-11.776107,-3.5328321
26.4,-9.97234,-2.991702
26.5,-8.324133,-2.4972399
26.6,-6.946953,-2.0840859
26.7,-5.838136,-1.7514408000000001
26.8,-4.994232,-1.4982696
26.9,-4.501161,-1.3503482999999998
27.0,-4.457546,-1.3372638
27.1,-4.879549,-1.4638647
27.2,-5.728422,-1.7185266
27.3,-6.986918,-2.0960754
27.4,-8.657135,-2.5971405
27.5,-10.691891,-3.2075673
27.6,-12.943055,-3.8829164999999994
27.7,-15.227765,-4.5683295
27.8,-17.460693,-5.2382079
27.9,-19.59729,-5.879187
28.0,-21.480473,-6.4441419
28.1,-22.857208,-6.8571624
28.2,-23.436813,-7.0310439
28.3,-23.040117,-6.9120351
28.4,-21.81279,-6.543837
28.5,-20.057732,-6.0173196
28.6,-17.963453,-5.3890359000000005
28.7,-15.588126,-4.6764378
28.8,-12.886518,-3.8659554
28.9,-9.962345,-2.9887034999999997
29.0,-7.235827,-2.1707481
29.1,-5.037744,-1.5113231999999999
29.2,-3.417639,-1.0252917
29.3,-2.394783,-0.7184349
29.4,-1.969302,-0.5907906
29.5,-2.08461,-0.625383
29.6,-2.735616,-0.8206847999999999
29.7,-3.918133,-1.1754399
29.8,-5.570039,-1.6710117
29.9,-7.629056,-2.2887168
30.0,-10.000989,-3.0002967000000003
30.1,-12.505909,-3.7517727
30.2,-14.935873,-4.4807619
30.3,-17.122852,-5.1368556000000005
30.4,-18.925201,-5.677560300000001
30.5,-20.16675,-6.050025
30.6,-20.662991,-6.1988973000000005
30.7,-20.307297,-6.0921891
30.8,-19.105511,-5.7316533
30.9,-17.23193,-5.169579
31.0,-14.970779,-4.4912336999999996
31.1,-12.544333,-3.7632999
31.2,-10.155595,-3.0466785
31.3,-8.021254,-2.4063762
31.4,-6.223536,-1.8670608
31.5,-4.682617,-1.4047850999999998
31.6,-3.237763,-0.9713289
31.7,-1.822851,-0.5468552999999999
31.8,-0.633789,-0.19013670000000002
31.9,0.027917,0.0083751
32.0,-0.020324,-0.0060972
32.1,-0.839123,-0.2517369
32.2,-2.406668,-0.7220003999999999
32.3,-4.643383,-1.3930149
32.4,-7.426567,-2.2279701
32.5,-10.555076,-3.1665227999999996
32.6,-13.78357,-4.135071
32.7,-16.908451,-5.072535299999999
32.8,-19.72521,-5.917563
32.9,-21.971722,-6.591516599999999
33.0,-23.397411,-7.0192233
33.1,-23.835091,-7.150527299999999
33.2,-23.257311,-6.977193300000001
33.3,-21.759554,-6.5278662
33.4,-19.443991,-5.8331973
33.5,-16.427868,-4.9283604
33.6,-12.87205,-3.8616149999999996
33.7,-8.914178,-2.6742534
33.8,-4.72917,-1.4187509999999999
33.9,-0.60728,-0.182184
34.0,3.094121,0.9282362999999999
34.1,6.00804,1.802412
34.2,7.855845,2.3567535
34.3,8.546766,2.5640297999999997
34.4,8.164978,2.4494933999999997
34.5,6.865534,2.0596602
34.6,4.67892,1.403676
34.7,2.176804,0.6530412
34.8,-0.524427,-0.1573281
34.9,-3.400922,-1.0202765999999999
35.0,-6.409786,-1.9229358
35.1,-9.498108,-2.8494324
35.2,-12.594359,-3.7783077
35.3,-15.576089,-4.6728267
35.4,-18.246912,-5.4740736
35.5,-20.36499,-6.109496999999999
35.6,-21.691179,-6.5073537
35.7,-22.059364,-6.617809199999999
35.8,-21.498783,-6.4496348999999995
35.9,-20.269392,-6.0808176
36.0,-18.316858,-5.495057399999999
36.1,-15.83832,-4.7514959999999995
36.2,-13.066786,-3.9200358
36.3,-10.247268,-3.0741804
36.4,-7.621403,-2.2864209
36.5,-5.373154,-1.6119462
36.6,-3.572823,-1.0718469
36.7,-2.153188,-0.6459564
36.8,-1.012064,-0.30361920000000003
36.9,-0.153325,-0.0459975
37.0,0.358886,0.10766579999999999
37.1,0.56016,0.168048
37.2,0.498575,0.1495725
37.3,0.049852,0.0149556
37.4,-0.725561,-0.2176683
37.5,-1.886018,-0.5658054
37.6,-3.432865,-1.0298595
37.7,-5.334303,-1.6002909
37.8,-7.50575,-2.251725
37.9,-9.79015,-2.937045
38.0,-12.041896,-3.6125687999999996
38.1,-14.136777,-4.2410331
38.2,-15.91663,-4.774989
38.3,-17.265955,-5.1797865000000005
38.4,-18.187645,-5.4562935
38.5,-18.729399,-5.6188197
38.6,-19.14958,-5.744874
38.7,-19.089838,-5.7269514
38.8,-18.341131,-5.5023393
38.9,-16.80385,-5.041155
39.0,-14.55533,-4.366599
39.1,-11.843685,-3.5531055
39.2,-9.012985,-2.7038955000000002
39.3,-6.378944,-1.9136832
39.4,-4.128469,-1.2385407
39.5,-2.372779,-0.7118337
39.6,-1.193102,-0.35793060000000004
39.7,-0.619731,-0.1859193
39.8,-0.663915,-0.1991745
39.9,-1.338714,-0.4016142
40.0,-2.620126,-0.7860378
40.1,-4.46277,-1.3388309999999999
40.2,-6.837553,-2.0512658999999998
40.3,-9.678518,-2.9035554
40.4,-12.799186,-3.8397558
40.5,-15.898382,-4.7695146
40.6,-18.687164,-5.6061492
40.7,-20.974089,-6.2922267
40.8,-22.592337,-6.7777011
40.9,-23.424223,-7.0272669
41.0,-23.523214,-7.0569641999999995
41.1,-23.027306,-6.9081918
41.2,-22.051105,-6.6153315
41.3,-20.673767,-6.202130100000001
41.4,-18.853918,-5.6561753999999995
41.5,-16.498121,-4.9494363
41.6,-13.656418,-4.0969254
41.7,-10.481057,-3.1443171
41.8,-7.10114,-2.1303419999999997
41.9,-3.654524,-1.0963572
42.0,-0.375938,-0.11278139999999999
42.1,2.395827,0.7187481
42.2,4.325501,1.2976503
42.3,5.166341,1.5499023
42.4,4.730307,1.4190920999999999
42.5,2.893484,0.8680452
42.6,-0.331673,-0.09950189999999999
42.7,-4.788656,-1.4365967999999998
42.8,-10.174903,-3.0524709
42.9,-16.038458,-4.8115374
43.0,-21.897955,-6.569386499999999
43.1,-27.307501,-8.1922503
43.2,-31.79467,-9.538401
43.3,-34.957203,-10.4871609
43.4,-36.621517,-10.986455099999999
43.5,-36.77504,-11.032511999999999
43.6,-35.440617,-10.632185100000001
43.7,-32.708656,-9.8125968
43.8,-28.829462,-8.6488386
43.9,-24.213844,-7.2641532
44.0,-19.338198,-5.8014594
44.1,-14.688126,-4.4064378
44.2,-10.778916,-3.2336748
44.3,-8.053334,-2.4160001999999996
44.4,-6.661336,-1.9984008
44.5,-6.464523,-1.9393569
44.6,-7.220659,-2.1661977
44.7,-8.625371,-2.5876113
44.8,-10.345614,-3.1036841999999996
44.9,-12.15689,-3.647067
45.0,-13.948047,-4.1844141
45.1,-15.625577,-4.6876731
45.2,-17.082321,-5.1246963
45.3,-18.210398,-5.4631194
45.4,-18.984074,-5.6952222
45.5,-19.518139,-5.8554417
45.6,-19.939066,-5.9817198
45.7,-20.284939,-6.0854817
45.8,-20.593756,-6.178126799999999
45.9,-20.917023,-6.2751069
46.0,-21.246267,-6.3738801
46.1,-21.595028,-6.4785084
46.2,-22.03783,-6.611349
46.3,-22.547058,-6.7641174
46.4,-22.948833,-6.8846499
46.5,-23.016272,-6.9048816
46.6,-22.52895,-6.758684999999999
46.7,-21.397991,-6.4193973
46.8,-19.703081,-5.9109243000000005
46.9,-17.615717,-5.2847151
47.0,-15.412463,-4.6237389
47.1,-13.30412,-3.991236
47.2,-11.237108,-3.3711323999999996
47.3,-9.139058,-2.7417174
47.4,-7.137406,-2.1412218
47.5,-5.437535,-1.6312604999999998
47.6,-4.226584,-1.2679752
47.7,-3.646685,-1.0940055
47.8,-3.783563,-1.1350689
47.9,-4.681736,-1.4045208
48.0,-6.297351,-1.8892053
48.1,-8.465988,-2.5397963999999997
48.2,-10.938219,-3.2814657
48.3,-13.413407,-4.0240221
48.4,-15.59489,-4.6784669999999995
48.5,-17.274738,-5.1824214
48.6,-18.391117,-5.5173351
48.7,-19.013161,-5.7039482999999995
48.8,-19.231176,-5.7693528
48.9,-19.05093,-5.715279
49.0,-18.394934,-5.5184802
49.1,-17.155933,-5.1467799
49.2,-15.28111,-4.584333
49.3,-12.819839,-3.8459516999999996
49.4,-9.855438,-2.9566313999999996
49.5,-6.516782,-1.9550345999999998
49.6,-3.053975,-0.9161925
49.7,0.238608,0.07158239999999999
49.8,3.092821,0.9278462999999999
49.9,5.261045,1.5783135
