stress_range_mpa,cycles_annual,stress_corrected_mpa,cycles_to_failure,damage_per_bin,damage_rate_per_year
4.438106913,14178060.0,5.10382294995,inf,0.0,0.0
13.31432074,0.0,15.311468850999999,inf,0.0,0.0
22.19053457,0.0,25.5191147555,inf,0.0,0.0
31.06674839,0.0,35.7267606485,inf,0.0,0.0
39.94296222,0.0,45.934406552999995,inf,0.0,0.0
48.81917605,0.0,56.1420524575,inf,0.0,0.0
57.69538987,0.0,66.34969835049999,6590124.728741572,0.0,0.0
66.5716037,0.0,76.55734425499999,4289927.118973566,0.0,0.0
75.44781753,0.0,86.76499015949999,2946978.2260567374,0.0,0.0
84.32403135,0.0,96.9726360525,2110876.808317944,0.0,0.0
93.20024518,0.0,107.18028195699999,1563384.518576371,0.0,0.0
102.076459,0.0,117.38792785,1189981.4275805494,0.0,0.0
110.9526728,0.0,127.59557371999999,926624.2585334402,0.0,0.0
119.8288867,0.0,137.80321970499998,735584.2103356491,0.0,0.0
128.7051005,0.0,148.01086557499997,593648.9409994669,0.0,0.0
137.5813143,0.0,158.218511445,486002.6192724375,0.0,0.0
146.4575281,0.0,168.42615731499998,402885.71773934196,0.0,0.0
155.333742,0.0,178.63380329999998,337691.05579509895,0.0,0.0
164.2099558,0.0,188.84144916999998,285837.04864020634,0.0,0.0
173.0861696,0.0,199.04909504,244078.6936993999,0.0,0.0
181.9623834,0.0,209.25674090999996,210073.91125600834,0.0,0.0
190.83859720000004,0.0,219.46438678000004,182103.51344191894,0.0,0.0
199.71481100000003,0.0,229.67203265,158886.1898302825,0.0,0.0
208.59102480000007,0.0,239.87967852000006,139453.72463627456,0.0,0.0
217.4672386000001,0.0,250.08732439000008,123065.25390918364,0.0,0.0
226.3434524000001,0.0,260.29497026000007,109147.34198067061,0.0,0.0
235.2196662000001,0.0,270.5026161300001,97251.4496174604,0.0,0.0
244.0958800000001,0.0,280.7102620000001,87023.31520995416,0.0,0.0
252.97209380000012,0.0,290.91790787000014,78180.62276208044,0.0,0.0
261.84830760000017,0.0,301.12555374000016,70496.51655762331,0.0,0.0
270.7245214000002,0.0,311.3331996100002,63787.29531021313,0.0,0.0
279.6007352000002,0.0,321.5408454800002,57903.130528877206,0.0,0.0
288.4769490000002,0.0,331.7484913500002,52720.99802182663,0.0,0.0
297.35316280000023,0.0,341.95613722000024,48139.24613064569,0.0,0.0
306.22937660000025,0.0,352.16378309000027,44073.386379394185,0.0,0.0
315.10559040000027,0.0,362.3714289600003,40452.80555251496,0.0,0.0
323.9818042000003,0.0,372.5790748300003,37218.1783572298,0.0,0.0
332.8580180000003,0.0,382.78672070000033,34319.41710644627,0.0,0.0
341.7342318000003,0.0,392.99436657000035,31714.036210913007,0.0,0.0
350.61044560000033,0.0,403.2020124400004,29365.839406387004,0.0,0.0
359.48665940000035,0.0,413.4096583100004,27243.859801210474,0.0,0.0
368.3628732000003,0.0,423.6173041800003,25321.49926121237,0.0,0.0
377.2390870000004,0.0,433.8249500500004,23575.825930320494,0.0,0.0
386.11530080000034,0.0,444.03259592000035,21986.99793437768,0.0,0.0
394.9915146000004,0.0,454.2402417900004,20537.78833118263,0.0,0.0
403.8677284000004,0.0,464.4478876600004,19213.191727460176,0.0,0.0
412.7439422000005,0.0,474.6555335300005,18000.097101672905,0.0,0.0
421.6201560000004,0.0,484.86317940000043,16887.01455666202,0.0,0.0
430.4963698000005,0.0,495.0708252700005,15863.846204040397,0.0,0.0
439.3725836000005,0.0,505.27847114000053,14921.693320924078,0.0,0.0
TOTAL,14178060.0,-,-,0.0,0.0
