,OD,ID,t,Pd,Pa,Pt,Pb
0,12.75,10.75,1.0,4925.318045757597,5540.9828014772975,8229.055404497434,8208.863409595995
1,12.75,10.55,1.1,5619.150805200472,6321.544655850532,9134.786248675598,9365.251342000787
2,12.75,10.35,1.2,6325.6895010876915,7116.400688723654,10057.852702862281,10542.815835146153
3,12.75,10.15,1.3,7045.4081875799175,7926.084211027407,10998.931341847841,11742.346979299862
4,12.75,9.95,1.4,7778.807954175122,8751.158948447013,11958.739138128085,12964.679923625205
5,12.75,9.75,1.5,8526.419021380816,9592.221399053418,12938.036743478144,14210.698368968027
6,12.75,9.55,1.6,9288.803043466289,10449.903423899576,13937.632110655544,15481.33840577715
7,12.75,9.35,1.7,10066.555643345173,11324.87509876332,14958.384498433807,16777.59273890862
8,12.75,9.15,1.8,10860.309208247325,12217.847859278241,16001.208909708763,18100.515347078875
9,12.75,8.95,1.9,11670.73597905366,13129.577976435368,17067.08102011714,19451.2266317561
10,12.75,8.75,2.0,12498.551471106026,14060.870404994279,18157.042663695764,20830.919118510043
