 Variables = "X", "Y", "Z"
Zone i=   31 j=   41 f=point
-0.52565E+00   0.00000E+00  -0.33144E-01
-0.52511E+00   0.00000E+00  -0.33699E-01
-0.52454E+00   0.00000E+00  -0.34269E-01
-0.52393E+00   0.00000E+00  -0.34836E-01
-0.52327E+00   0.00000E+00  -0.35407E-01
-0.52257E+00   0.00000E+00  -0.35984E-01
-0.52182E+00   0.00000E+00  -0.36549E-01
-0.52102E+00   0.00000E+00  -0.37118E-01
-0.52018E+00   0.00000E+00  -0.37688E-01
-0.51928E+00   0.00000E+00  -0.38245E-01
-0.51833E+00   0.00000E+00  -0.38796E-01
-0.51732E+00   0.00000E+00  -0.39341E-01
-0.51625E+00   0.00000E+00  -0.39875E-01
-0.51513E+00   0.00000E+00  -0.40397E-01
-0.51394E+00   0.00000E+00  -0.40903E-01
-0.51270E+00   0.00000E+00  -0.41390E-01
-0.51144E+00   0.00000E+00  -0.41842E-01
-0.51021E+00   0.00000E+00  -0.42244E-01
-0.50902E+00   0.00000E+00  -0.42598E-01
-0.50788E+00   0.00000E+00  -0.42913E-01
-0.50677E+00   0.00000E+00  -0.43195E-01
-0.50569E+00   0.00000E+00  -0.43449E-01
-0.50466E+00   0.00000E+00  -0.43678E-01
-0.50366E+00   0.00000E+00  -0.43882E-01
-0.50270E+00   0.00000E+00  -0.44068E-01
-0.50177E+00   0.00000E+00  -0.44237E-01
-0.50088E+00   0.00000E+00  -0.44390E-01
-0.50002E+00   0.00000E+00  -0.44535E-01
-0.49920E+00   0.00000E+00  -0.44669E-01
-0.49840E+00   0.00000E+00  -0.44795E-01
-0.49764E+00   0.00000E+00  -0.44914E-01
-0.52608E+00   0.00000E+00  -0.32650E-01
-0.52559E+00   0.42495E-03  -0.33098E-01
-0.52500E+00   0.64212E-03  -0.33629E-01
-0.52437E+00   0.65316E-03  -0.34202E-01
-0.52370E+00   0.67317E-03  -0.34782E-01
-0.52299E+00   0.69587E-03  -0.35373E-01
-0.52224E+00   0.72354E-03  -0.35967E-01
-0.52144E+00   0.75490E-03  -0.36572E-01
-0.52059E+00   0.78049E-03  -0.37163E-01
-0.51969E+00   0.80977E-03  -0.37762E-01
-0.51875E+00   0.84420E-03  -0.38385E-01
-0.51774E+00   0.86835E-03  -0.38970E-01
-0.51666E+00   0.88604E-03  -0.39524E-01
-0.51552E+00   0.90075E-03  -0.40057E-01
-0.51431E+00   0.91397E-03  -0.40582E-01
-0.51304E+00   0.92467E-03  -0.41083E-01
-0.51175E+00   0.93337E-03  -0.41548E-01
-0.51051E+00   0.94279E-03  -0.41969E-01
