,OD,ID,t,Pd,Pa,Pt,Pb
0,14.0,12.0,1.0,4836.715922325229,5441.305412615883,6920.211460535059,8061.193203875382
1,14.0,11.8,1.1,5428.5884268037225,6107.161980154188,7674.72524485262,9047.647378006204
2,14.0,11.6,1.2,6030.378826289932,6784.176179576174,8442.137323585881,10050.631377149886
3,14.0,11.4,1.3,6642.425178152729,7472.728325421821,9222.896366414781,11070.708630254549
4,14.0,11.2,1.4,7265.083124212886,8173.218514739498,10017.474868612468,12108.471873688144
5,14.0,11.0,1.5,7898.727131862029,8886.068023344784,10826.370868429518,13164.545219770049
6,14.0,10.8,1.6,8543.751846649975,9611.720827481224,11650.109822061737,14239.586411083294
7,14.0,10.6,1.7,9200.57356857385,10350.645264645582,12489.246653877844,15334.289280956416
8,14.0,10.4,1.8,9869.63186589837,11103.335849135667,13344.368001940788,16449.38644316395
9,14.0,10.2,1.9,10551.391342174551,11870.315259946372,14216.094681580169,17585.652236957587
10,14.0,10.0,2.0,11246.343574246577,12652.136521027402,15105.084392928133,18743.90595707763
