contractor,record_id,rig_descriptor,year_built,upgrade_year,build_location,classification,max_water_depth_ft,contract_expiration,area_of_operation,spec_notes
ABAN OFFSHORE,16,ABAN VIII Baker Marine Pacific Class 375,2008,,Singapore,ABS,375.0,Oct-16,Middle East,"–– –– 120 245' 224' 16' S61 N Y Y 2,495 –– –– –– 70' x 30' 4 –– 1.5"" IWRC 6x36 3,500' –– 6 50 50 22.6 –– –– Y 1,600 Loadmaster 35' x 35' 3,000 National 1.625"" 49.5"" 227 N Rogers OilTools National TDS 85A NOV VARCO NOV –– –– –– –– –– –– 3 LEWCO 2215 7,500 1,000 3,000 –– 10,560 3 2 1 1 1 –– 15 3"" 2 Hydril 2 Hydril 132 13-5/8"" Flange 49.5"" 14"" PLC CAD Y"
ABAN OFFSHORE,16,Deep Driller 1 Baker Marine Pacific Class 375,2006,,Singapore,ABS,375.0,Sep-16,Mexico,"12,900 –– 120 240' 224' 20' S61 N N Y 2,500 3,750 –– 70' 70' x 30' 4 40 1.5"" EIPS 2,500' –– 6 21 41 50 –– –– N 1,600 National 35' x 35' 3,450 National 1.63"" 49.5"" 250 N Hydralift-MPT National HPS-E-DC-2S-SG –– NOV-CYBERBASE –– –– 20,000' –– –– –– 3 Mission Magnum or equivalent centrifugal 7,500 1,970 2,082 11,650 4 4 1 1 1 –– –– 15 3"" 2 Hydril 1 Hydril 192 18-3/4"" Flange 49.5"" 14"" Hydraulic Hydril Y"
ABAN OFFSHORE,13,Deep Driller 2 KFELS Super ‘B’ class,2006,,Singapore,ABS,350.0,Sep-15,Middle East,"12,575 –– 120 246' 218' 16' S61 N Y Y 2,500 3,800 –– 70' 70' x 30' 4 40 1.5"" EIPS 2,500' –– 5 50 50 50 –– –– Y 2,000 National 36' x 36' 4,600 National 2.00"" 49.5"" 250 N Hydralift-MPT NOV-HPS-1000-2E-AC-KT NOV BR6-SD BRIDGE RACKER NOV-CYBERBASE –– –– 20,000' –– –– –– 3 National 14-P-220 7,500 1,950 2,950 15,700 4 –– 1 1 1 –– –– 15 3"" 2 Cameron 1 Cameron 197 18-3/4"" Flange 49.5"" 16"" Hydraulic Cameron Y"
ABAN OFFSHORE,13,Deep Driller 3 KFELS Super ‘B’ class,2006,,Singapore,ABS,350.0,Oct-15,South East Asia,"12,575 –– 120 246' 218' 16' S61 N Y Y 2,500 3,800 –– 70' 70' x 30' 4 40 1.5"" EIPS 2,500' –– 5 50 50 50 –– –– Y 2,000 National 36' x 36' 4,600 National 2.00"" 49.5"" 250 N Hydralift-MPT NOV-HPS-1000-2E-AC-KT NOV BR6-SD BRIDGE RACKER NOV-CYBERBASE –– –– 20,000' –– –– –– 3 National 14-P-221 7,501 1,950 2,950 15,700 4 5 1 1 1 –– –– 15 3"" 2 Cameron 1 Cameron 197 18-3/4"" Flange 49.5"" 16"" Hydraulic Cameron Y"
ABAN OFFSHORE,16,Deep Driller 4 Baker Marine Pacific Class 375,2007,,Singapore,ABS,375.0,Oct-15,Middle East,"12,900 –– 120 240' 224' 20' S61 N N Y 2,500 3,750 –– 70' 70' x 30' 4 40 1.5"" EIPS 2,500' –– 6 21 41 50 –– –– Y 1,600 National 35' x 35' 3,450 National 1.63"" 49.5"" 227 N Hydralift-MPT National HPS-E-DC-2S-SG NOV 6T BRIDGE RACKER NOV-CYBERBASE –– –– 20,000' –– –– –– 3 Mission Magnum or equivalent centrifugal 7,500 1,970 2,082 11,650 4 4 1 1 1 –– –– 15 3"" 4 Hydril 1 Hydril 192 18-3/4"" Flange 49.5"" 14"" Hydraulic Hydril Y"
ABAN OFFSHORE,13,Deep Driller 6 KFELS Super ‘B’ class,2008,,Singapore,ABS,350.0,Apr-16,Middle East,"12,575 –– 120 246' 218' 16' S61 N Y Y 2,500 3,800 –– 70' 70' x 30' 4 40 1.5"" EIPS 2,500' –– 5 50 50 50 –– –– Y 2,000 National 36' x 36' 4,600 National 2.00"" 49.5"" 250 N Hydralift-MPT NOV-HPS-1000-2E-AC-KT NOV BR6-SD BRIDGE RACKER NOV-CYBERBASE –– –– 20,000' –– –– –– 3 National 14-P-223 7,503 1,950 2,950 15,700 4 5 1 1 1 –– –– 15 3"" 2 Cameron 1 Cameron 197 18-3/4"" Flange 49.5"" 16"" Hydraulic Cameron Y 350'"
ABAN OFFSHORE,16,Deep Driller 7 Baker Marine Pacific Class 375,2008,,Singapore,ABS,375.0,Jan-16,Mexico,"12,900 –– 120 240' 224' 20' S61 N N Y 2,500 3,750 –– 70' 70' x 30' 4 40 1.5"" EIPS 2,500' –– 6 21 41 50 –– –– Y 1,600 National 35' x 35' 3,450 National 1.63"" 49.5"" 227 N Hydralift-MPT National HPS-E-DC-2S-SG NOV 6T BRIDGE RACKER NOV-CYBERBASE –– –– 20,000' –– –– –– 3 Mission Magnum or equivalent centrifugal 7,500 1,970 2,082 11,650 4 4 1 1 1 –– –– 15 3"" 2 Hydril 1 Hydril 192 18-3/4"" Flange 49.5"" 14"" Hydraulic Hydril Y 375'"
ABAN OFFSHORE,13,Deep Driller 8 KFELS Super ‘B’ class,2008,,Singapore,ABS,350.0,Nov-15,South East Asia,"12,575 –– 120 246' 218' 16' S61 N Y Y 2,500 3,800 –– 70' 70' x 30' 4 40 1.5"" EIPS 2,500' –– 5 50 50 50 –– –– Y 2,000 National 36' x 36' 4,600 National 2.00"" 49.5"" 250 N Hydralift-MPT NOV-HPS-1000-2E-AC-KT NOV BR-6 BRIDGE RACKER NOV-CYBERBASE –– –– 20,000' –– –– –– 3 National 14-P-224 7,504 1,950 2,950 15,700 4 5 1 1 1 –– –– 15 3"" 2 Cameron 1 Cameron 197 18-3/4"" Flange 49.5"" 16"" Hydraulic Cameron Y 350'"
"ATWOOD OCEANICS, INC.",5,Atwood Aurora LeTourneau Super 116E,2008,,USA,ABS,350.0,Sep-16,Cameroon,"10,750 est. 3-4 110 243' 206' 16.5' S61 N & S92 N Y 2,425 –– –– –– –– 4 –– 1.5"" EIPS 2,500' –– 5 50 @ 25' 41 @ 25' 41 @ 25' –– –– Y 1,500 Loadmaster 35' x 35' 4,500 Lewco 1.75"" 49.5"" 200 Y ST-80 Varco TDS-8SA Atwood System Omron –– 5,000' –– –– –– –– 3 Lewco 2215 7,500 5,056 1,068 682 12,200 5 linear 5 1 1 1 –– 15K 3 1/16"" 2 Cameron 1 Shaffer 212 Flanged 49.5"" 14"" Electro-pneumatic CAD –– 350'"
"ATWOOD OCEANICS, INC.",12,Atwood Beacon KFELS enhanced ‘B’ class,2003,,Singapore,ABS,400.0,Jan-16,Italy,"9,275 est. 3-4 112 234' 208' 15' S61 N & S92 N Y 2,800 –– –– –– –– 4 50 1.5"" EIPS 2,500' –– 5 36.5 @ 45' 27.7 @ 40' 27.7 @ 40' –– –– Y 1,500 WCI 36' x 36' 3,300 NOI Ensco 1.63"" 49.5"" 250 Y Varco ST-80 Varco TDS-8SA –– NOI Cyber Base 15,000' –– –– –– –– 5,000' 3 Lewco 2200 7,500 24,112 647 838 11,100 5 linear 5 1 1 1 –– 2K & 15K 3"" 2 & 4 Cameron 1 & 1 Shaffer 60 & 147 Flanged 49.5"" 14"" Electro-pneumatic S & S –– 400'"
"ATWOOD OCEANICS, INC.",17,Atwood Mako Baker Marine Pacific Class 400,2012,,Singapore,ABS,400.0,Jul-15,Vietnam,"–– est. 3-4 150 237' 224' 15' –– N Y 2,500 3,750 –– –– –– 4 –– 1.5"" EIPS 3,000' –– 6 50 50 50 –– –– Y 1,500 Loadmaster 35' x 35' –– NOV –– 49.5"" –– Y –– Varco TDS-8SA –– NOV Cyber Base –– –– –– –– –– –– 3 National 14-P-220 7,500 –– –– –– 11,650 4 –– 1 1 –– –– 15K –– 2 Hydril 1 Hydril –– Flanged –– –– Electro-pneumatic CAD –– 400'"
"ATWOOD OCEANICS, INC.",17,Atwood Manta Baker Marine Pacific Class 400,2012,,Singapore,ABS,400.0,Dec-15,Thailand,"–– est. 3-4 150 237' 224' 15' –– N Y –– –– –– –– –– 4 –– 1.5"" EIPS 3,000' –– 6 50 50 50 –– –– Y 1,500 Loadmaster 35' x 35' –– NOV –– 49.5"" –– Y –– Varco TDS-8SA –– NOV Cyber Base –– –– –– –– –– –– 3 National 14-P-220 7,500 –– –– –– 11,650 4 –– 1 1 –– –– 15K –– 2 Hydril 1 Hydril –– –– –– –– Electro-pneumatic CAD –– 400'"
