drilling_company,rig_name,conventional_mooring,dynamically_positioned,vessel_type,vessel_design,construction_date,upgrade_date,classification,max_water_depth_equipped_ft,max_water_depth_rating_ft,max_drilling_depth_ft,current_contract,area_of_operation,total_vessel_power_hp,max_vessel_speed,quarters_capacity,length_ft,transit_draft_ft,operating_draft_ft,width_ft,max_variable_load_tons,moonpool_size,dp_rating,thrusters
ATWOOD,ATWOOD EAGLE,Yes,No,SS,Korkut New Era,1982,2002,ABS,5000.0,5000.0,25000.0,3Q/16,Australia,7800.0,,120.0,325.0,200.0,24.0,55.0,4500.0,20x40,NA,NA
ATWOOD,ATWOOD OSPREY,Yes,No,SS,F&G ExD Millennium,2011,-,ABS,8200.0,8200.0,32000.0,2Q/17,Australia,,,200.0,354.0,244.0,27.4,55.7,7000.0,-,NA,NA
OCEAN,OCEAN AMERICA,Yes,No,SS,Odyssey,1988,2004,ABS,5500.0,5500.0,30000.0,2Q/15,Australia,18120.0,,123.0,401.0,259.0,27.0,80.0,7835.0,21x44,-,NA
OCEAN,OCEAN APEX,Yes,No,SS,Enhanced Victory/Crucifix Form,2014,-,ABS,5000.0,6000.0,30000.0,1Q/15,Vietnam,12000.0,4.5,140.0,328.0,320.0,46.0,74.0,7000.0,41x81,NA,NA
OCEAN,OCEAN ENDEAVOR,Yes,No,SS,Victory,1975,2007,ABS,8000.0,10000.0,35000.0,4Q/15,Italy,12940.0,4.0,140.0,324.0,327.0,42.0,74.5,6000.0,91x25,-,-
OCEAN,OCEAN ONYX,Yes,No,SS,Victory,2013,-,ABS,6000.0,,30000.0,1Q/15,GoM,10750.0,4.0,140.0,327.0,315.0,42.0,74.5,5600.0,41x81,-,NA
OCEAN,OCEAN ROVER,Yes,No,SS,Victory,1973,2002,ABS,8000.0,8000.0,35000.0,1Q/16,SEAsia,12940.0,4.0,130.0,324.0,327.0,42.0,74.5,5500.0,91x25,-,-
OCEAN,OCEAN STAR,Yes,No,SS,Victory,1973,1996,ABS,5500.0,5500.0,30000.0,2Q/14,Brazil,10750.0,3.5,116.0,336.0,315.0,32.0,74.0,5600.0,20x20,-,-
OCEAN,OCEAN VICTORY,Yes,No,SS,Victory,1973,1997,ABS,5500.0,5500.0,25000.0,2Q/17,GoM,9075.0,4.0,110.0,336.0,315.0,32.0,74.0,5700.0,20x17,-,-
OCEAN,OCEAN VALIANT,Yes,No,SS,Odyssey,1988,1999,ABS,5500.0,5500.0,30000.0,available,W.,,18120.0,12.0,140.0,401.0,259.0,27.0,80.0,"7,050",21x44,-
BLACKFORD,BLACKFORD DOLPHIN,Yes,No,SS,Deepwater Enhanced Aker H-3,1974,2008,DNV,6000.0,7000.0,30000.0,3Q/16,India,19300.0,,130.0,355.0,276.0,22.0,70.0,4500.0,32x20,-,-
ENSCO,ENSCO 5001,Yes,No,SS,Sonat,1974,1999,ABS,5000.0,5000.0,25000.0,1Q/15,Eq.,,13000.0,,140.0,378.5,264.0,33.0,75.0,"4,100",22x94,NA
ENSCO,ENSCO 5006,Yes,No,SS,Bingo,8000,1999,1999,,5000.0,7500.0,"25,000",1Q/18,,12220.0,,120.0,390.0,234.0,30.0,78.0,"8,322",21.4x100,NA
NOBLE,NOBLE AMOS RUNNER,Yes,No,SS,EVA-4000™,1982,1999,ABS,8000.0,8000.0,32500.0,4Q/15,GoM,12500.0,3.5,122.0,348.6,328.25,15.75,79.0,4000.0,25x45,-,-
NOBLE,NOBLE CLYDE BOUDREAUX,Yes,No,SS,Modified Enhanced Pacesetter,1987,2007,ABS,7500.0,10000.0,35000.0,3Q/15,Australia,12900.0,4.0,200.0,318.0,248.0,29.0,66.0,5555.0,90x20,-,-
NOBLE,NOBLE DRILLER,Yes,No,SS,Aker H-3 Semi (Enhanced),1976,2009,DNV,5000.0,5000.0,30000.0,3Q/14,GoM,13500.0,4.0,112.0,355.0,241.0,22.0,70.0,3719.0,63x18x31,NA,NA
NOBLE,NOBLE HOMER FERRINGTON,Yes,No,SS,Enhanced Pacesetter,1984,1999,ABS,7200.0,7200.0,25000.0,3Q/14,Med,10000.0,3.5,150.0,338.9,225.6,19.0,55.0,4000.0,79x20,-,-
NOBLE,NOBLE JIM THOMPSON,Yes,No,SS,EVA-4000™,1982,1999,ABS,6000.0,6000.0,30000.0,4Q/14,GoM,10000.0,3.5,136.0,348.6,328.25,15.9,,4000.0,25x45,-,-
DEEPWATER,DEEPWATER NAUTILUS,Yes,No,SS,RBS-8M,1999,-,ABS,8000.0,8000.0,30000.0,3Q/17,GoM,25200.0,4.5,150.0,392.0,308.0,28.9,75.5,9701.0,21x93,-,-
GSF,GSF CELTIC SEA,Yes,No,SS,F&G L907 Enhanced Pacesetter,1982,1998,ABS,5750.0,5750.0,28000.0,3Q/14,Angola,19000.0,5.0,140.0,320.0,285.0,25.0,68.6,5600.0,76.5x22,-,"4x2,400,"
HENRY,HENRY GOODRICH,Yes,No,SS,Sonat/Mitsui SES-5000,1985,2007,DNV,5000.0,5000.0,30000.0,3Q/14,Canada,22528.0,,145.0,320.0,251.0,43.0,93.0,5512.0,23x26,-,"2x6,904"
JACK,JACK BATES,Yes,No,SS,F&G L1020 Trendsetter,1986,1997,ABS,5400.0,5400.0,30000.0,2Q/14,Australia,20000.0,7.0,118.0,370.0,255.0,29.0,80.0,6736.0,28x38,-,"2x7,000"
