filename,config,fc_number,strut_number,metadata_id,data_points
fsts_l015_FC001_Strut1_tension.csv,fsts_l015,1,1,1,1000
fsts_l015_FC001_Strut2_tension.csv,fsts_l015,1,2,1,1000
fsts_l015_FC001_Strut3_tension.csv,fsts_l015,1,3,1,1000
fsts_l015_FC001_Strut4_tension.csv,fsts_l015,1,4,1,1000
fsts_l015_FC001_Strut5_tension.csv,fsts_l015,1,5,1,1000
fsts_l015_FC001_Strut6_tension.csv,fsts_l015,1,6,1,1000
fsts_l015_FC001_Strut7_tension.csv,fsts_l015,1,7,1,1000
fsts_l015_FC001_Strut8_tension.csv,fsts_l015,1,8,1,1000
fsts_l015_FC002_Strut1_tension.csv,fsts_l015,2,1,2,1000
fsts_l015_FC002_Strut2_tension.csv,fsts_l015,2,2,2,1000
fsts_l015_FC002_Strut3_tension.csv,fsts_l015,2,3,2,1000
fsts_l015_FC002_Strut4_tension.csv,fsts_l015,2,4,2,1000
fsts_l015_FC002_Strut5_tension.csv,fsts_l015,2,5,2,1000
fsts_l015_FC002_Strut6_tension.csv,fsts_l015,2,6,2,1000
fsts_l015_FC002_Strut7_tension.csv,fsts_l015,2,7,2,1000
fsts_l015_FC002_Strut8_tension.csv,fsts_l015,2,8,2,1000
fsts_l015_FC003_Strut1_tension.csv,fsts_l015,3,1,3,1000
fsts_l015_FC003_Strut2_tension.csv,fsts_l015,3,2,3,1000
fsts_l015_FC003_Strut3_tension.csv,fsts_l015,3,3,3,1000
fsts_l015_FC003_Strut4_tension.csv,fsts_l015,3,4,3,1000
fsts_l015_FC003_Strut5_tension.csv,fsts_l015,3,5,3,1000
fsts_l015_FC003_Strut6_tension.csv,fsts_l015,3,6,3,1000
fsts_l015_FC003_Strut7_tension.csv,fsts_l015,3,7,3,1000
fsts_l015_FC003_Strut8_tension.csv,fsts_l015,3,8,3,1000
fsts_l015_FC004_Strut1_tension.csv,fsts_l015,4,1,4,1000
fsts_l015_FC004_Strut2_tension.csv,fsts_l015,4,2,4,1000
fsts_l015_FC004_Strut3_tension.csv,fsts_l015,4,3,4,1000
fsts_l015_FC004_Strut4_tension.csv,fsts_l015,4,4,4,1000
fsts_l015_FC004_Strut5_tension.csv,fsts_l015,4,5,4,1000
fsts_l015_FC004_Strut6_tension.csv,fsts_l015,4,6,4,1000
fsts_l015_FC004_Strut7_tension.csv,fsts_l015,4,7,4,1000
fsts_l015_FC004_Strut8_tension.csv,fsts_l015,4,8,4,1000
fsts_l015_FC005_Strut1_tension.csv,fsts_l015,5,1,1,1000
fsts_l015_FC005_Strut2_tension.csv,fsts_l015,5,2,1,1000
fsts_l015_FC005_Strut3_tension.csv,fsts_l015,5,3,1,1000
fsts_l015_FC005_Strut4_tension.csv,fsts_l015,5,4,1,1000
fsts_l015_FC005_Strut5_tension.csv,fsts_l015,5,5,1,1000
fsts_l015_FC005_Strut6_tension.csv,fsts_l015,5,6,1,1000
fsts_l015_FC005_Strut7_tension.csv,fsts_l015,5,7,1,1000
