domain,method,grade,D_in,t_in,d_in,L_in,safe_pressure_psi,verdict,acceptable,governing,allowable_pressure_psi,length_mm,width_mm,thickness_mm,sigma_x_mpa,metal_loss_mm,utilization
pipe_corroded_strength,b31g,X52,20.0,0.5,0.1,2.0,2017.3279,ACCEPTABLE,True,b31g,,,,,,,
pipe_corroded_strength,b31g,X52,20.0,0.5,0.1,4.0,1955.9259,ACCEPTABLE,True,b31g,,,,,,,
pipe_corroded_strength,b31g,X52,20.0,0.5,0.1,8.0,1884.798,ACCEPTABLE,True,b31g,,,,,,,
pipe_corroded_strength,b31g,X52,20.0,0.5,0.1,16.0,1646.0432,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X52,20.0,0.5,0.2,2.0,1964.9432,ACCEPTABLE,True,b31g,,,,,,,
pipe_corroded_strength,b31g,X52,20.0,0.5,0.2,4.0,1832.5004,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X52,20.0,0.5,0.2,8.0,1691.1702,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X52,20.0,0.5,0.2,16.0,1234.5324,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X52,20.0,0.5,0.3,2.0,1893.9057,ACCEPTABLE,True,b31g,,,,,,,
pipe_corroded_strength,b31g,X52,20.0,0.5,0.3,4.0,1679.4222,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X52,20.0,0.5,0.3,8.0,1472.6449,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X52,20.0,0.5,0.3,16.0,823.0216,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.1,2.0,2521.6599,ACCEPTABLE,True,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.1,4.0,2444.9074,ACCEPTABLE,True,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.1,8.0,2355.9975,ACCEPTABLE,True,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.1,16.0,2057.554,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.2,2.0,2456.179,ACCEPTABLE,True,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.2,4.0,2290.6255,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.2,8.0,2113.9628,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.2,16.0,1543.1655,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.3,2.0,2367.3821,ACCEPTABLE,True,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.3,4.0,2099.2777,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.3,8.0,1840.8062,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,b31g,X65,20.0,0.5,0.3,16.0,1028.777,UNACCEPTABLE,False,b31g,,,,,,,
pipe_corroded_strength,modified_b31g,X52,20.0,0.5,0.1,2.0,2182.9398,ACCEPTABLE,True,modified_b31g,,,,,,,
pipe_corroded_strength,modified_b31g,X52,20.0,0.5,0.1,4.0,2104.3308,ACCEPTABLE,True,modified_b31g,,,,,,,
pipe_corroded_strength,modified_b31g,X52,20.0,0.5,0.1,8.0,2005.4443,ACCEPTABLE,True,modified_b31g,,,,,,,
pipe_corroded_strength,modified_b31g,X52,20.0,0.5,0.1,16.0,1936.5016,ACCEPTABLE,True,modified_b31g,,,,,,,
pipe_corroded_strength,modified_b31g,X52,20.0,0.5,0.2,2.0,2115.0097,ACCEPTABLE,True,modified_b31g,,,,,,,
pipe_corroded_strength,modified_b31g,X52,20.0,0.5,0.2,4.0,1938.5408,ACCEPTABLE,True,modified_b31g,,,,,,,
