Frequency,A11,A22,A33,A44,A55,A66,A12,A21,A13,A31,A14,A41,A15,A51,A16,A61,A23,A32,A24,A42,A25,A52,A26,A62,A34,A43,A35,A53,A36,A63,A45,A54,A46,A64,A56,A65
2.0943951023931953,139389.8962526137,392388.9460097578,516339.37751568214,3949018.1325470465,20326787.550313644,19745090.66273523,0,0,0,0,0,0,207846.0969082653,207846.0969082653,0,0,0,0,-199999.9999999999,-199999.9999999999,0,0,103923.04845413264,103923.04845413264,0,0,-179999.9999999999,-179999.9999999999,0,0,0,0,0,0,0,0
1.5707963267948966,143339.07177890057,407132.5346412288,540034.4306734034,4020103.29202021,20800688.61346807,20100516.46010105,0,0,0,0,0,0,240000.0,240000.0,0,0,0,0,2.4492935982947064e-11,2.4492935982947064e-11,0,0,120000.0,120000.0,0,0,2.2043642384652357e-11,2.2043642384652357e-11,0,0,0,0,0,0,0,0
1.2566370614359172,146588.23655134934,419262.7497917042,559529.419308096,4078588.2579242876,21190588.38616192,20392941.28962144,0,0,0,0,0,0,228253.56391083685,228253.56391083685,0,0,0,0,123606.79774997898,123606.79774997898,0,0,114126.78195541842,114126.78195541842,0,0,111246.11797498108,111246.11797498108,0,0,0,0,0,0,0,0
1.0471975511965976,149308.35862173128,429417.8721877968,575850.1517303878,4127550.455191164,21517003.034607757,20637752.27595582,0,0,0,0,0,0,207846.09690826526,207846.09690826526,0,0,0,0,200000.00000000006,200000.00000000006,0,0,103923.04845413263,103923.04845413263,0,0,180000.00000000003,180000.00000000003,0,0,0,0,0,0,0,0
0.8975979010256552,151618.92198951627,438043.9754275274,589713.5319370977,4169140.5958112925,21794270.63874195,20845702.979056463,0,0,0,0,0,0,187639.55579232716,187639.55579232716,0,0,0,0,249395.92074349345,249395.92074349345,0,0,93819.77789616358,93819.77789616358,0,0,224456.3286691441,224456.3286691441,0,0,0,0,0,0,0,0
0.7853981633974483,153605.94921069345,445462.2103865889,601635.6952641606,4204907.085792482,22032713.905283213,21024535.42896241,0,0,0,0,0,0,169705.62748477142,169705.62748477142,0,0,0,0,282842.71247461904,282842.71247461904,0,0,84852.81374238571,84852.81374238571,0,0,254558.44122715713,254558.44122715713,0,0,0,0,0,0,0,0
0.6981317007977318,155332.94854092516,451909.6745527873,611997.691245551,4235993.073736654,22239953.824911024,21179965.368683267,0,0,0,0,0,0,154269.02632476942,154269.02632476942,0,0,0,0,306417.7772475912,306417.7772475912,0,0,77134.51316238471,77134.51316238471,0,0,275775.9995228321,275775.9995228321,0,0,0,0,0,0,0,0
0.6283185307179586,156847.82729429775,457565.2218987116,621086.9637657865,4263260.89129736,22421739.27531573,21316304.4564868,0,0,0,0,0,0,141068.46055019356,141068.46055019356,0,0,0,0,323606.79774997896,323606.79774997896,0,0,70534.23027509678,70534.23027509678,0,0,291246.1179749811,291246.1179749811,0,0,0,0,0,0,0,0
0.5711986642890533,158187.4051726929,462566.3126447202,629124.4310361575,4287373.293108473,22582488.620723147,21436866.465542365,0,0,0,0,0,0,129753.79618934341,129753.79618934341,0,0,0,0,336501.4131324725,336501.4131324725,0,0,64876.898094671706,64876.898094671706,0,0,302851.2718192252,302851.2718192252,0,0,0,0,0,0,0,0
0.5235987755982988,159380.44645411242,467020.33342868625,636282.6787246744,4308848.0361740235,22725653.57449349,21544240.180870116,0,0,0,0,0,0,119999.99999999999,119999.99999999999,0,0,0,0,346410.16151377547,346410.16151377547,0,0,59999.99999999999,59999.99999999999,0,0,311769.14536239795,311769.14536239795,0,0,0,0,0,0,0,0
