Ref. No.,Folder,File Name,DD Type,DD Content Tittle,Usage DD category,Doc number,Received by,DD logged in Date,DD Status,Doc Title,Contents,Included in the Model,Check QA,Check QA Date,Note
1,ORCAFLEX_INPUT,DLR,PDF,Design Load Report,General Info,1141.1.071.6.8100,My Vang,2019-10-28,Reviewed,"SALMS for E.P.M.I,  Design Load Report","Field description and environmental conditions, load analysis, load cases.",,,,
2,ORCAFLEX_INPUT,08090 - A,PDF,Weight and Buoyancy Summary,CAD-infos,,My Vang,2019-10-28,Reviewed,"SALMS, Weight and Buoyancy Summary (Buoy, Riser and Base)",Lists of Weight and Buoyancy Summary,,,,
3,ORCAFLEX_INPUT,1141.0.070.6.8119,PDF,Design Loads and Fatigue Analysis Procedures,General Info,,My Vang,2019-10-28,Reviewed,"SALMS for E.P.M.I, Design Loads and Fatigue Analysis Procedures.",,,,,"Mentioned doc: Supplement G of the ""Design/Construction Spes"" No. 2137"
4,ORCAFLEX_INPUT,1141.0.071.6.8034,PDF,Buoy Body Structural Calculation,General Info,,My Vang,2019-10-28,Reviewed,"Tremgganu SALMS, Buoy Body Structural Calculation",Calculations are in accordance with ABS Rules for Building and Classing Single Point Moorings,,,,
5,ORCAFLEX_INPUT,1141.0.071.6.8040,PDF,Riser Unijoint Calculations,General Info,,My Vang,2019-10-28,Reviewed,"SALM Mooring System, Riser Unijoint Calculations",Calculations on individual components of the universal unijoint,,,,
6,ORCAFLEX_INPUT,1141.0.071.6.8041,PDF,Riser Chain Swivel Calculations,General Info,,My Vang,2019-10-28,Reviewed,"SALM Mooring System, Riser Chain Siwvel Calculations",Calculations on individual components of Riser Chain Swivel,,,,
7,ORCAFLEX_INPUT,1141.0.071.6.8058,PDF,Hose Arm Calculations,General Info,,My Vang,2019-10-28,Reviewed,"SALM Mooring System, Hose Arm Calculations",,,,,
8,ORCAFLEX_INPUT,1141.0.071.6.8086,PDF,Calculation of Plem Stability,General Info,,My Vang,2019-10-28,Reviewed,"SALM Mooring System, Calculation of PLEM Stability",,,,,
9,ORCAFLEX_INPUT,1141.0.071.6.8718,PDF,Addendum to Design Load Report,General Info,,My Vang,2019-10-28,Reviewed,"SALM Mooring System, Addendum to Design Report",,,,,
10,ORCAFLEX_INPUT,1141.5.012.6.8056,PDF,Central Load Carrying Shaft Calculation,General Info,,My Vang,2019-10-28,Reviewed,"SALM Mooring System, Central Load Carrying Shaft Calculation",,,,,
11,ORCAFLEX_INPUT,Design Mooring Loads,PDF,Section 5,General Info,,My Vang,2019-10-28,Reviewed,5.0 Design Mooring Loads,Max foundation loads at the base,,,,
