attribute,value,units,source,notes
project_id,SEA_CALM_01,-,"HYBN-01DD-3.15.6-84011NA-DP03-2002-0, Section 1",Identifier assigned for South East Asia project -1 sample dataset
project_name,South East Asia project -1 (Hengyi PMB CALM Buoy),-,Project title block,User-requested example project name
operator,Hengyi Industries Sdn Bhd,-,Title block,Project owner
design_location,"Pulau Muara Besar, Brunei",-,"HYBN-01DD-3.15.6-84011SP-SP02-1001-0, Section 1",SPM located north of PMB island near Muara Port
coordinate_system,Timbalai 1948 / BRSO Projection,-,"HYBN-01DD-3.15.6-84011SP-SP02-1001-0, Section 3.1",Basis for easting/northing coordinates
utm_easting,604639.55,m,Table 3-1,Design PLEM/SPM easting referenced to chart datum
utm_northing,563038.42,m,Table 3-1,Design PLEM/SPM northing referenced to chart datum
chart_datum_water_depth,32.8,m,Table 3-1,Nominal seabed depth at SPM/PLEM location
design_life,25,years,"HYBN-01DD-3.15.6-84011NA-DP03-2002-0, Section 3.4",Mooring system design life
spm_configuration,6-leg CALM buoy with 60° spacing,-,Table 5-2 / Table 4.4,Studless R3 chain system
design_documents,HYBN-01DD-3.15.6-84011SP-SP02-1001-0; HYBN-01DD-3.15.6-84011NA-DP03-2001-0; HYBN-01DD-3.15.6-84011NA-DP03-2002-0,-,Document references,"Design basis, motion, and mooring analysis reports"
latest_revision_date,2017-06-12,-,Document title blocks,Latest revision date across motion/mooring analyses
supporting_document_register,document_register.csv,-,SALM_OrcaFlex_DataMaster_20200525_VA_Comments.xlsx,Doc tracker converted from Data Info sheet
data_request_log,data_requests.csv,-,SALM-TQ001..TQ005,Summaries of outstanding technical queries impacting data completeness
basis_of_design_template,../Ref/BOD_template_0.1.docx,-,BOD_template_0.1.docx,Template outlines required sections; awaiting project-specific values
