stress range (Mpa),Cycles_Annual
5.14445179,11386540.0
15.43335537,0.0
25.72225895,0.0
36.01116253,0.0
46.30006611,0.0
56.58896969,0.0
66.87787327,0.0
77.16677685,0.0
87.45568043,0.0
97.74458401,0.0
108.0334876,0.0
118.3223912,0.0
128.6112947,0.0
138.9001983,0.0
149.1891019,0.0
159.4780055,0.0
169.7669091,0.0
180.0558126,0.0
190.3447162,0.0
200.6336198,0.0
210.92252340000002,0.0
221.21142700000004,0.0
231.50033060000007,0.0
241.7892342000001,0.0
252.07813780000012,0.0
262.3670414000002,0.0
272.6559450000002,0.0
282.9448486000002,0.0
293.23375220000025,0.0
303.5226558000003,0.0
313.8115594000003,0.0
324.10046300000033,0.0
334.38936660000036,0.0
344.6782702000004,0.0
354.9671738000004,0.0
365.25607740000044,0.0
375.54498100000046,0.0
385.8338846000005,0.0
396.1227882000005,0.0
406.41169180000054,0.0
416.70059540000057,0.0
426.9894990000006,0.0
437.2784026000006,0.0
447.56730620000064,0.0
457.85620980000067,0.0
468.1451134000007,0.0
478.4340170000007,0.0
488.72292060000075,0.0
499.0118242000008,0.0
509.3007278000008,0.0
