stress range (Mpa),Cycles_Annual
4.438106913,14331360.0
13.31432074,0.0
22.19053457,0.0
31.06674839,0.0
39.94296222,0.0
48.81917605,0.0
57.69538987,0.0
66.5716037,0.0
75.44781753,0.0
84.32403135,0.0
93.20024518,0.0
102.076459,0.0
110.9526728,0.0
119.8288867,0.0
128.7051005,0.0
137.5813143,0.0
146.4575281,0.0
155.333742,0.0
164.2099558,0.0
173.0861696,0.0
181.96238340000002,0.0
190.83859720000004,0.0
199.71481100000005,0.0
208.59102480000007,0.0
217.4672386000001,0.0
226.3434524000001,0.0
235.21966620000012,0.0
244.09588000000014,0.0
252.97209380000015,0.0
261.84830760000017,0.0
270.7245214000002,0.0
279.6007352000002,0.0
288.4769490000002,0.0
297.35316280000023,0.0
306.22937660000025,0.0
315.10559040000027,0.0
323.9818042000003,0.0
332.8580180000003,0.0
341.7342318000003,0.0
350.61044560000033,0.0
359.48665940000035,0.0
368.3628732000003,0.0
377.2390870000004,0.0
386.11530080000034,0.0
394.9915146000004,0.0
403.8677284000004,0.0
412.74394220000045,0.0
421.6201560000004,0.0
430.4963698000005,0.0
439.3725836000005,0.0
