stress range (Mpa),Cycles_Annual
3.027209921,15443880.0
9.081629763,0.0
15.1360496,0.0
21.19046945,0.0
27.24488929,0.0
33.29930913,0.0
39.35372897,0.0
45.40814881,0.0
51.46256865,0.0
57.5169885,0.0
63.57140834,0.0
69.62582818,0.0
75.68024802,0.0
81.73466786,0.0
87.78908771,0.0
93.84350755,0.0
99.89792739,0.0
105.9523472,0.0
112.0067671,0.0
118.0611869,0.0
124.1156067,0.0
130.1700265,0.0
136.2244463,0.0
142.27886610000002,0.0
148.33328590000002,0.0
154.38770570000003,0.0
160.44212550000003,0.0
166.49654530000004,0.0
172.55096510000004,0.0
178.60538490000005,0.0
184.65980470000005,0.0
190.71422450000006,0.0
196.76864430000006,0.0
202.82306410000007,0.0
208.87748390000007,0.0
214.93190370000008,0.0
220.98632350000008,0.0
227.0407433000001,0.0
233.0951631000001,0.0
239.1495829000001,0.0
245.2040027000001,0.0
251.2584225000001,0.0
257.3128423000001,0.0
263.3672621000001,0.0
269.4216819000001,0.0
275.47610170000013,0.0
281.53052150000013,0.0
287.58494130000014,0.0
293.63936110000014,0.0
299.69378090000015,0.0
