stress range (Mpa),Cycles_Annual
2.836507658,13450980.0
8.509522975,0.0
14.18253829,0.0
19.85555361,0.0
25.52856892,0.0
31.20158424,0.0
36.87459956,0.0
42.54761487,0.0
48.22063019,0.0
53.89364551,0.0
59.56666082,0.0
65.23967614,0.0
70.91269146,0.0
76.58570677,0.0
82.25872209,0.0
87.93173741,0.0
93.60475272,0.0
99.27776804,0.0
104.9507834,0.0
110.6237987,0.0
116.2968139,0.0
121.96982910000001,0.0
127.64284430000002,0.0
133.31585950000004,0.0
138.98887470000005,0.0
144.66188990000006,0.0
150.33490510000007,0.0
156.00792030000008,0.0
161.6809355000001,0.0
167.3539507000001,0.0
173.0269659000001,0.0
178.69998110000012,0.0
184.37299630000012,0.0
190.04601150000013,0.0
195.71902670000014,0.0
201.39204190000015,0.0
207.06505710000016,0.0
212.73807230000017,0.0
218.41108750000018,0.0
224.0841027000002,0.0
229.7571179000002,0.0
235.4301331000002,0.0
241.1031483000002,0.0
246.77616350000022,0.0
252.44917870000023,0.0
258.12219390000024,0.0
263.79520910000025,0.0
269.46822430000026,0.0
275.14123950000027,0.0
280.8142547000003,0.0
