stress range (Mpa),Cycles_Annual
1.064300421,12166180.0
3.192901263,0.0
5.321502105,0.0
7.450102947,0.0
9.578703789,0.0
11.70730463,0.0
13.83590547,0.0
15.96450632,0.0
18.09310716,0.0
20.221708,0.0
22.35030884,0.0
24.47890968,0.0
26.60751053,0.0
28.73611137,0.0
30.86471221,0.0
32.99331305,0.0
35.12191389,0.0
37.25051474,0.0
39.37911558,0.0
41.50771642,0.0
43.636317260000006,0.0
45.76491810000001,0.0
47.893518940000014,0.0
50.02211978000002,0.0
52.15072062000002,0.0
54.27932146000003,0.0
56.40792230000003,0.0
58.536523140000035,0.0
60.66512398000004,0.0
62.793724820000044,0.0
64.92232566000004,0.0
67.05092650000006,0.0
69.17952734000005,0.0
71.30812818000007,0.0
73.43672902000006,0.0
75.56532986000008,0.0
77.69393070000007,0.0
79.82253154000009,0.0
81.95113238000008,0.0
84.0797332200001,0.0
86.20833406000008,0.0
88.3369349000001,0.0
90.46553574000009,0.0
92.59413658000011,0.0
94.7227374200001,0.0
96.85133826000012,0.0
98.97993910000011,0.0
101.10853994000013,0.0
103.23714078000012,0.0
105.36574162000014,0.0
