condition_id,wind_speed,wave_hs,occurrence,annual_damage,cycles
73.0,26.0,1.05,7.000000000000001e-05,1.0597418608019595e-10,202
41.0,9.0,0.29,0.0034899999999999996,1.7949158149903244e-12,51
40.0,11.0,0.65,0.00369,1.2194730180460268e-10,70
50.0,9.0,0.45,0.00157,3.3673590085200065e-12,59
20.0,1.25,0.05,0.016730000000000002,2.0973986422729182e-18,1
49.0,9.0,0.09,0.00183,4.978958765169781e-13,45
68.0,14.0,0.16,0.00021,8.251919545615451e-13,79
57.0,7.0,0.27,0.00066,6.717557958639773e-14,43
2.0,3.0,0.09,0.06977,3.5662579989575717e-12,20
23.0,18.0,0.8,0.01365,5.935883850016273e-08,151
