condition_id,wind_speed,wave_hs,occurrence,annual_damage,cycles
2.0,3.0,0.09,0.06977,1.237861207848766e-11,20
3.0,7.0,0.25,0.0673,2.7613527715799848e-09,57
62.0,11.0,0.53,0.00043,1.5278247090823033e-11,105
16.0,3.0,0.11,0.01902,3.2003022566659235e-12,27
46.0,7.0,0.28,0.00229,2.6545258251660456e-12,58
63.0,18.0,1.13,0.00042,1.1964678510217116e-09,173
41.0,9.0,0.29,0.0034899999999999996,7.856153948857971e-11,69
59.0,9.0,0.4,0.00058,6.509814052684315e-13,72
48.0,14.0,0.52,0.00191,1.1029021001142287e-09,136
56.0,7.0,0.12,0.00067,2.6932670122993337e-14,44
