# Rainflow Counting Results
# Total Cycles: 83
# Full Cycles: 46
# Half Cycles: 37
# Max Range: 12.477999
# Min Range: 0.310123
# Mean Range: 5.563438
Range,Counts
0.310123,0.5
0.343234,0.5
0.42568,0.5
0.625098,0.5
0.733809,0.5
0.8273,0.5
0.9587,0.5
1.172591,0.5
1.185899,0.5
1.263189,0.5
1.351128,0.5
1.38571,0.5
1.425615,0.5
2.713938,0.5
3.809526,0.5
4.199829,0.5
4.258572,0.5
4.392185,0.5
4.503562,0.5
4.742661,0.5
4.795319,0.5
4.814474,1.0
5.02425,0.5
5.03193,1.0
5.039574,1.0
5.045625,1.0
5.056401,1.0
5.112893,0.5
5.141446,1.0
5.213078,1.0
5.262118,1.0
5.265652,1.0
5.285836,1.0
5.299975,1.0
5.338479,1.0
5.369319,1.0
5.386956,1.0
5.409826,1.0
5.427546,1.0
5.437141,1.0
5.466514,1.0
5.519707,1.0
5.560099,1.0
5.563806,1.0
5.583366,1.0
5.588352,1.0
5.637758,1.0
5.661084,1.0
5.79003,0.5
5.803494,1.0
5.848579,1.0
5.861395,1.0
5.894736,1.0
5.945647,1.0
5.953954,0.5
6.012526,1.0
6.034634,1.0
6.044449,1.0
6.18784,1.0
6.373346,1.0
6.55143,1.0
6.614809,1.0
6.722535,0.5
7.043651,1.0
7.062983,1.0
7.082512,1.0
7.153389,0.5
7.645288,1.0
7.663373,1.0
7.668819,1.0
7.795036,1.0
8.218671,0.5
8.227574,0.5
8.442642,1.0
9.091765,0.5
9.328084,1.0
9.741183,0.5
10.401123,0.5
10.402216,0.5
11.210569,0.5
12.195688,0.5
12.306547,0.5
12.477999,0.5
