# Rainflow Counting Results
# Total Cycles: 356
# Full Cycles: 221
# Half Cycles: 135
# Max Range: 65.725288
# Min Range: 0.115280
# Mean Range: 14.260880
Range,Counts
0.11528,0.5
0.125473,0.5
0.256005,0.5
0.288618,0.5
0.311684,0.5
0.438928,0.5
0.461313,0.5
0.544841,0.5
0.860479,1.0
0.893472,0.5
1.150496,0.5
1.173319,0.5
1.395692,1.0
1.437669,0.5
1.503883,0.5
1.518283,0.5
1.52499,0.5
1.577091,0.5
1.602479,0.5
1.647152,0.5
1.649585,0.5
1.847304,1.0
2.070814,0.5
2.081719,0.5
2.226766,1.0
2.436096,0.5
2.4531,0.5
2.464233,0.5
2.659471,0.5
2.683664,0.5
3.146411,1.0
3.233256,1.0
3.511047,0.5
3.522454,0.5
3.59946,0.5
3.867144,0.5
4.091245,0.5
4.428511,1.0
4.656816,0.5
4.849975,1.0
4.941948,0.5
4.959001,0.5
4.992923,0.5
5.046555,1.0
5.054258,0.5
5.071813,1.0
5.091697,1.0
5.169042,1.0
5.476325,1.0
5.492423,0.5
5.551118,0.5
5.566841,1.0
5.576321,1.0
5.587761,1.0
5.848277,1.0
5.910408,0.5
5.941146,1.0
5.968523,1.0
5.995769,1.0
6.06022,1.0
6.118763,0.5
6.122084,1.0
6.134897,1.0
6.204122,1.0
6.246591,1.0
6.268569,1.0
6.281556,0.5
6.29169,1.0
6.364928,1.0
6.463026,1.0
6.544903,1.0
6.608885,1.0
6.615733,0.5
6.617674,1.0
6.644639,0.5
6.669806,1.0
6.673313,0.5
6.713808,0.5
6.761275,0.5
6.798342,0.5
6.803137,1.0
6.834178,1.0
6.858506,1.0
6.866293,1.0
6.910392,0.5
6.910523,0.5
6.933755,1.0
6.98777,1.0
7.060445,1.0
7.071224,0.5
7.088988,1.0
7.145498,0.5
7.294589,1.0
7.317059,0.5
7.342813,0.5
7.364063,1.0
7.364923,1.0
7.426671,1.0
7.45952,0.5
7.480772,1.0
7.556852,1.0
7.575962,1.0
7.67723,0.5
7.717153,0.5
7.726929,1.0
7.791992,1.0
7.834238,0.5
7.902962,1.0
7.904293,1.0
7.933954,1.0
7.949086,0.5
7.950752,1.0
7.995498,1.0
8.032418,1.0
8.057535,0.5
8.070545,0.5
8.152467,1.0
8.17548,1.0
8.237605,1.0
8.239197,1.0
8.282477,1.0
8.356465,1.0
8.409456,0.5
8.526229,1.0
8.548362,0.5
8.69213,1.0
8.722772,1.0
8.802943,1.0
8.808694,0.5
8.968832,1.0
9.10534,0.5
9.12521,1.0
9.178642,1.0
9.188256,1.0
9.221356,1.0
9.302072,1.0
9.315371,1.0
9.327026,0.5
9.33892,1.0
9.345526,1.0
9.367752,1.0
9.377878,1.0
9.416855,1.0
9.471587,1.0
9.526744,1.0
9.555467,1.0
9.631702,1.0
9.782499,1.0
9.803349,1.0
9.919059,1.0
10.140098,1.0
10.151739,1.0
10.164332,0.5
10.266133,0.5
10.273941,1.0
10.305025,1.0
10.380262,1.0
10.388704,0.5
10.549119,1.0
10.596079,1.0
10.661339,0.5
10.746912,0.5
10.841636,1.0
10.914512,1.0
11.147507,1.0
11.188684,0.5
11.219189,1.0
11.359545,1.0
11.419524,1.0
11.455309,0.5
11.462929,1.0
11.534836,0.5
11.543232,0.5
11.613189,0.5
11.647874,1.0
11.665817,1.0
11.683323,1.0
11.698555,0.5
11.72571,1.0
11.820247,1.0
11.856857,1.0
11.945333,1.0
11.948611,1.0
11.960057,0.5
12.082718,1.0
12.110814,1.0
12.138484,1.0
12.146856,0.5
12.184426,1.0
12.196675,1.0
12.249452,1.0
12.354533,1.0
12.369533,1.0
12.464636,1.0
12.768775,0.5
12.871314,0.5
12.890929,1.0
12.903338,1.0
12.916019,1.0
12.955092,1.0
13.032922,1.0
13.076163,0.5
13.237389,1.0
13.249967,1.0
13.254849,1.0
13.429282,1.0
13.509022,1.0
13.55963,0.5
13.596219,1.0
13.665504,1.0
13.680634,0.5
13.843187,0.5
14.076478,1.0
14.085895,0.5
14.092824,0.5
14.127894,0.5
14.168228,1.0
14.342001,1.0
14.352967,0.5
14.480106,1.0
14.613193,1.0
14.662944,0.5
14.666781,1.0
14.686432,0.5
14.687137,1.0
14.959205,1.0
15.367531,1.0
15.387305,0.5
15.422735,0.5
15.457714,1.0
15.507405,0.5
15.609461,1.0
15.636533,0.5
15.740419,1.0
15.758945,0.5
15.76641,1.0
15.824937,0.5
15.86953,1.0
15.870548,0.5
15.931192,1.0
16.124584,1.0
16.187755,1.0
16.329578,1.0
16.338342,0.5
16.342954,1.0
16.406028,1.0
16.635216,1.0
16.67485,1.0
16.750193,0.5
16.780165,1.0
16.808252,0.5
16.949882,1.0
16.964881,1.0
17.033421,1.0
17.055718,1.0
17.269375,1.0
17.498616,0.5
17.594015,1.0
17.644484,1.0
17.771062,0.5
17.780379,1.0
17.866427,1.0
17.921842,1.0
18.244222,0.5
18.536802,1.0
18.737531,1.0
18.873306,0.5
19.037057,1.0
19.128226,0.5
19.130822,0.5
19.139542,1.0
19.2261,1.0
19.397082,1.0
19.408517,1.0
19.454084,1.0
19.568522,1.0
19.578472,0.5
19.580099,1.0
19.590975,1.0
19.624394,1.0
20.019897,1.0
20.078207,1.0
20.146805,1.0
20.174004,1.0
20.24158,0.5
20.735218,0.5
20.796273,0.5
21.099391,1.0
21.199175,1.0
21.303241,0.5
21.401559,0.5
21.412326,1.0
21.495218,1.0
21.527529,1.0
21.550348,1.0
21.688735,1.0
21.744069,1.0
22.390737,1.0
22.581756,1.0
22.619392,1.0
23.075297,1.0
23.294345,1.0
23.299582,1.0
23.372792,1.0
23.737878,1.0
24.279638,1.0
24.603922,0.5
24.610748,1.0
25.077866,0.5
25.141888,0.5
25.190787,1.0
25.595407,1.0
25.598826,1.0
25.832957,1.0
26.303336,0.5
26.480135,1.0
26.513366,1.0
26.529808,1.0
27.463991,1.0
27.547133,1.0
28.214448,1.0
28.438995,0.5
28.65322,1.0
28.960563,1.0
29.265501,0.5
29.404875,1.0
29.428583,1.0
29.814946,1.0
30.165833,1.0
30.699682,0.5
30.99281,0.5
31.685335,0.5
31.820679,1.0
31.848718,0.5
32.268757,1.0
32.978295,1.0
34.234346,0.5
34.325525,1.0
