# Rainflow Counting Results
# Total Cycles: 67
# Full Cycles: 43
# Half Cycles: 24
# Max Range: 13.493652
# Min Range: 0.237070
# Mean Range: 5.442457
Range,Counts
0.23707,0.5
0.597648,0.5
0.872285,0.5
1.530243,1.0
1.677026,0.5
1.787261,0.5
1.789447,0.5
2.518703,0.5
3.298592,0.5
3.976105,0.5
4.260269,0.5
4.37684,0.5
4.387475,0.5
4.435368,0.5
4.602692,1.0
4.929087,0.5
4.985072,0.5
5.015819,1.0
5.035271,1.0
5.057256,1.0
5.075957,1.0
5.077409,1.0
5.086873,1.0
5.131815,0.5
5.133129,1.0
5.138983,1.0
5.213531,1.0
5.215695,0.5
5.215946,1.0
5.232281,1.0
5.252493,1.0
5.259064,1.0
5.283543,1.0
5.378333,1.0
5.402965,1.0
5.406365,1.0
5.438639,1.0
5.442983,1.0
5.479975,1.0
5.581751,1.0
5.668386,0.5
5.669043,1.0
5.706171,1.0
5.725118,1.0
5.739814,1.0
5.842042,1.0
5.847948,1.0
5.902375,1.0
5.909585,0.5
5.992354,1.0
6.154442,1.0
6.235731,1.0
6.242314,0.5
6.437,1.0
6.480165,1.0
6.559884,1.0
6.60514,1.0
6.991297,1.0
7.178029,1.0
7.180927,1.0
7.271963,1.0
7.539504,1.0
7.806238,1.0
9.225427,0.5
11.862011,0.5
12.560811,0.5
13.493652,0.5
