# Rainflow Counting Results
# Total Cycles: 290
# Full Cycles: 168
# Half Cycles: 122
# Max Range: 36.629199
# Min Range: 0.041880
# Mean Range: 7.811326
Range,Counts
0.04188,0.5
0.104017,0.5
0.350066,0.5
0.350439,0.5
0.577257,0.5
0.589494,1.0
0.615723,0.5
0.626551,1.0
0.708275,0.5
0.815641,0.5
0.824711,0.5
0.898253,0.5
0.919211,0.5
1.048321,1.0
1.063811,0.5
1.124199,0.5
1.417545,0.5
1.537321,1.0
1.639843,0.5
1.659934,0.5
1.697283,0.5
1.823665,0.5
1.870335,0.5
1.874445,1.0
1.910096,0.5
1.998198,1.0
2.064534,1.0
2.089405,0.5
2.106858,0.5
2.253382,0.5
2.270639,0.5
2.280394,0.5
2.311554,0.5
2.396387,0.5
2.416309,1.0
2.455393,1.0
2.460598,0.5
2.476645,0.5
2.511448,1.0
2.583145,0.5
2.584742,0.5
2.692989,1.0
2.760271,0.5
2.833764,1.0
2.843068,0.5
2.90445,0.5
2.987524,0.5
3.033482,1.0
3.108585,0.5
3.210517,0.5
3.221822,1.0
3.28366,0.5
3.316067,0.5
3.420932,1.0
3.4578,0.5
3.500059,0.5
3.621908,0.5
3.772873,0.5
3.783269,0.5
3.870459,0.5
3.905756,0.5
4.05084,0.5
4.127044,0.5
4.310044,0.5
4.343811,0.5
4.400154,0.5
4.416643,0.5
4.616164,0.5
4.730766,0.5
4.801192,0.5
4.859674,0.5
5.000634,1.0
5.012063,1.0
5.025731,1.0
5.028661,1.0
5.035737,0.5
5.113369,1.0
5.157269,1.0
5.158521,1.0
5.162009,1.0
5.202564,1.0
5.216886,1.0
5.252608,1.0
5.285522,1.0
5.28693,0.5
5.287212,1.0
5.288432,1.0
5.303991,0.5
5.314926,0.5
5.3445,1.0
5.348059,1.0
5.348154,0.5
5.423204,0.5
5.424314,1.0
5.451645,1.0
5.479538,1.0
5.491661,1.0
5.522203,1.0
5.54619,1.0
5.571675,1.0
5.577041,1.0
5.57945,1.0
5.582091,1.0
5.679615,0.5
5.75703,1.0
5.810019,0.5
5.831732,1.0
5.852243,0.5
5.85516,1.0
5.866118,0.5
5.915682,1.0
5.93556,1.0
5.940974,1.0
5.941425,1.0
5.967658,1.0
5.984529,1.0
6.05457,1.0
6.056363,1.0
6.058783,1.0
6.076839,1.0
6.079488,1.0
6.148689,1.0
6.157809,1.0
6.223493,1.0
6.262612,1.0
6.280603,1.0
6.281455,1.0
6.290208,0.5
6.310024,1.0
6.312522,1.0
6.316901,1.0
6.34653,1.0
6.37022,1.0
6.429751,0.5
6.435522,0.5
6.453842,1.0
6.467636,1.0
6.478351,0.5
6.485804,1.0
6.569467,1.0
6.679029,0.5
6.680842,1.0
6.694548,1.0
6.752617,1.0
6.780631,1.0
6.863776,1.0
6.870948,0.5
6.907263,1.0
6.908089,1.0
6.948307,1.0
6.965581,0.5
6.96805,1.0
6.99039,1.0
6.996978,1.0
7.000238,0.5
7.103759,1.0
7.113632,1.0
7.114297,0.5
7.124599,1.0
7.138362,1.0
7.15058,0.5
7.157002,1.0
7.171213,0.5
7.227599,0.5
7.337272,1.0
7.377987,0.5
7.386941,1.0
7.415962,1.0
7.46895,0.5
7.484182,0.5
7.564805,1.0
7.57276,1.0
7.582881,1.0
7.617107,1.0
7.657573,1.0
7.70962,1.0
7.763385,0.5
7.777272,1.0
7.793056,1.0
7.923352,1.0
7.93681,1.0
8.032153,1.0
8.055854,1.0
8.055997,1.0
8.146926,1.0
8.153238,1.0
8.165352,1.0
8.247868,1.0
8.315233,1.0
8.336451,1.0
8.342871,0.5
8.397302,0.5
8.398304,1.0
8.459945,1.0
8.529337,1.0
8.608804,1.0
8.612021,1.0
8.709266,1.0
8.886923,0.5
8.913121,1.0
8.965233,1.0
9.017007,0.5
9.072279,0.5
9.148321,1.0
9.212469,1.0
9.23766,1.0
9.368582,0.5
9.454049,1.0
9.491102,0.5
9.544245,1.0
9.571026,1.0
9.619119,1.0
9.620138,1.0
9.629223,1.0
9.655611,1.0
9.668556,1.0
9.720115,0.5
9.795692,1.0
9.82819,1.0
9.853304,1.0
9.893741,1.0
9.942938,1.0
9.947105,0.5
9.971995,1.0
10.147563,1.0
10.178635,0.5
10.213571,1.0
10.308879,1.0
10.637727,1.0
10.727751,1.0
10.728643,1.0
10.866033,1.0
10.908623,1.0
10.913614,0.5
10.971427,0.5
11.041776,1.0
11.103924,1.0
11.262666,1.0
11.417671,1.0
11.456122,1.0
11.537394,0.5
11.625095,1.0
11.642004,0.5
11.75034,1.0
11.811807,1.0
11.887115,1.0
11.919099,1.0
12.086215,1.0
12.109939,1.0
12.451425,1.0
12.587587,1.0
12.701082,0.5
12.707498,1.0
12.994839,1.0
13.066169,1.0
13.090027,1.0
13.093586,0.5
13.192846,0.5
13.402266,0.5
13.629754,1.0
13.634747,1.0
13.677535,0.5
13.841144,1.0
14.17043,0.5
14.475973,0.5
14.485411,1.0
14.636415,0.5
14.796189,1.0
14.83386,1.0
14.962571,0.5
15.953515,0.5
16.439876,1.0
16.504831,0.5
16.681224,0.5
17.233706,0.5
17.60452,0.5
17.765011,1.0
17.859123,1.0
18.39449,0.5
20.989797,0.5
20.99096,0.5
21.135953,0.5
23.057928,0.5
24.004699,0.5
25.03899,0.5
28.119071,0.5
28.560151,0.5
29.458273,0.5
31.263647,0.5
36.629199,0.5
