Row,Wind Speed (m/s),Wind Dir (°),Hs (m),Tp (s),Wave Dir (°),Occurrence (%),Occurrence (hrs)
1,5,180,0.15,1.7,150,7.76,680.2
2,3,180,0.09,1,150,6.977,611.6
3,7,180,0.25,2.1,150,6.73,589.9
4,1.25,180,0.04,0.4,150,6.449,565.3
5,1.25,290,0.01,0.2,310,5.171,453.3
6,9,180,0.35,2.4,150,5.009,439.1
7,3,290,0.03,0.5,310,4.793,420.2
8,14,180,0.6,3,150,4.713,413.1
9,5,70,0.19,2,70,3.736,327.5
10,11,180,0.45,2.7,150,3.641,319.2
11,1.25,335,0.02,0.3,45,3.639,319
12,1.25,45,0.05,0.5,70,2.531,221.9
13,5,90,0.18,1.8,90,2.455,215.2
14,3,70,0.12,1.2,70,2.334,204.6
15,3,335,0.04,0.7,45,1.903,166.8
16,3,90,0.11,1.1,90,1.902,166.7
17,5,290,0.05,0.9,310,1.899,166.5
18,5,45,0.19,2,70,1.835,160.8
19,3,45,0.11,1.2,70,1.69,148.1
20,1.25,70,0.05,0.5,70,1.673,146.6
21,3,200,0.07,1,150,1.575,138
22,7,70,0.35,2.4,70,1.573,137.9
23,18,180,0.8,3.4,150,1.365,119.6
24,1.25,90,0.05,0.5,90,1.342,117.7
25,1.25,110,0.04,0.4,90,1.23,107.8
26,1.25,200,0.03,0.4,150,1.218,106.8
27,7,45,0.33,2.4,70,1.196,104.8
28,3,110,0.1,1,90,1.161,101.8
29,1.25,150,0.04,0.4,150,1.152,101
30,5,110,0.16,1.7,90,1.075,94.3
31,5,200,0.12,1.7,150,1.031,90.4
32,1.25,125,0.04,0.4,125,0.917,80.4
33,7,90,0.32,2.3,90,0.706,61.9
34,9,70,0.5,2.9,70,0.649,56.9
35,7,200,0.2,2,150,0.537,47.1
36,3,125,0.1,1,125,0.529,46.4
37,9,45,0.48,2.9,70,0.5,43.9
38,7,290,0.07,1,310,0.482,42.2
39,5,335,0.07,1.2,45,0.394,34.6
40,11,70,0.65,3.2,70,0.369,32.4
41,9,200,0.29,2.3,150,0.349,30.6
42,5,125,0.16,1.7,125,0.293,25.7
43,22,180,1.01,3.7,150,0.284,24.9
44,14,70,0.89,3.7,70,0.283,24.8
45,3,150,0.09,1,150,0.276,24.2
46,7,110,0.28,2.1,90,0.229,20
47,11,200,0.37,2.6,150,0.195,17.1
48,14,200,0.52,2.9,150,0.191,16.7
49,9,290,0.09,1.1,310,0.183,16
50,9,90,0.45,2.7,90,0.157,13.7
51,11,45,0.63,3.3,70,0.157,13.7
52,14,90,0.82,3.4,90,0.126,11.1
53,11,90,0.6,3,90,0.104,9.1
54,11,290,0.12,1.2,310,0.085,7.5
55,5,150,0.16,1.7,150,0.073,6.4
56,7,335,0.12,1.3,45,0.067,5.9
57,7,125,0.27,2,125,0.066,5.8
58,14,45,0.87,3.7,70,0.066,5.8
59,9,110,0.4,2.4,90,0.058,5.1
60,14,110,0.73,3.1,90,0.044,3.9
61,18,200,0.7,3.3,150,0.044,3.9
62,11,110,0.53,2.7,90,0.043,3.7
63,18,90,1.13,3.9,90,0.042,3.7
64,26,180,1.21,4,150,0.039,3.4
65,18,70,1.22,4.2,70,0.036,3.2
66,22,200,0.88,3.6,150,0.027,2.3
67,7,150,0.26,2,150,0.025,2.2
68,14,290,0.16,1.3,310,0.021,1.9
69,9,335,0.17,1.5,45,0.017,1.5
70,18,110,0.99,3.5,90,0.013,1.1
71,9,125,0.38,2.3,125,0.009,0.8
72,9,150,0.37,2.3,150,0.007,0.6
73,26,200,1.05,3.9,150,0.007,0.6
74,11,335,0.22,1.7,45,0.006,0.5
75,22,90,1.43,4.3,90,0.006,0.5
76,11,125,0.5,2.6,125,0.004,0.4
77,14,125,0.68,3,125,0.004,0.4
78,14,335,0.3,1.9,45,0.004,0.4
79,18,45,1.18,4.2,70,0.004,0.4
80,22,110,1.26,3.9,90,0.003,0.3
81,30,180,1.39,4.3,150,0.003,0.3
