Load Case ,FST1 ,FST2 ,LNGC-Partner (Small) ,LNCG-Excalibur (Large) ,Mooring Status ,Water Level ,Wind Dir [deg],Vw [m/s],Wave Dir [deg],Hs [m],Tp [s]
F001,Light,Light,-,-,Intact,MWL,-,-,45,0.5,2.5
F002,Light,Light,-,-,Intact,MWL,-,-,45,0.5,3.5
F003,Light,Light,-,-,Intact,MWL,-,-,45,0.5,4.5
F004,Light,Light,-,-,Intact,MWL,-,-,70,0.5,2.5
F005,Light,Light,-,-,Intact,MWL,-,-,70,0.5,3.5
F006,Light,Light,-,-,Intact,MWL,-,-,70,0.5,4.5
F007,Light,Light,-,-,Intact,MWL,-,-,90,0.5,2.5
F008,Light,Light,-,-,Intact,MWL,-,-,90,0.5,3.5
F009,Light,Light,-,-,Intact,MWL,-,-,90,0.5,4.5
F010,Light,Light,-,-,Intact,MWL,-,-,125,0.5,2.5
F011,Light,Light,-,-,Intact,MWL,-,-,125,0.5,3.5
F012,Light,Light,-,-,Intact,MWL,-,-,125,0.5,4.5
F013,Light,Light,-,-,Intact,MWL,-,-,150,0.5,2.5
F014,Light,Light,-,-,Intact,MWL,-,-,150,0.5,3.5
F015,Light,Light,-,-,Intact,MWL,-,-,150,0.5,4.5
F016,Light,Light,-,-,Intact,MWL,-,-,310,0.5,2.5
F017,Light,Light,-,-,Intact,MWL,-,-,310,0.5,3.5
F018,Light,Light,-,-,Intact,MWL,-,-,310,0.5,4.5
F019,Full,Full,-,-,Intact,MWL,-,-,45,0.5,2.5
F020,Full,Full,-,-,Intact,MWL,-,-,45,0.5,3.5
F021,Full,Full,-,-,Intact,MWL,-,-,45,0.5,4.5
F022,Full,Full,-,-,Intact,MWL,-,-,70,0.5,2.5
F023,Full,Full,-,-,Intact,MWL,-,-,70,0.5,3.5
F024,Full,Full,-,-,Intact,MWL,-,-,70,0.5,4.5
F025,Full,Full,-,-,Intact,MWL,-,-,90,0.5,2.5
F026,Full,Full,-,-,Intact,MWL,-,-,90,0.5,3.5
F027,Full,Full,-,-,Intact,MWL,-,-,90,0.5,4.5
F028,Full,Full,-,-,Intact,MWL,-,-,125,0.5,2.5
F029,Full,Full,-,-,Intact,MWL,-,-,125,0.5,3.5
F030,Full,Full,-,-,Intact,MWL,-,-,125,0.5,4.5
F031,Full,Full,-,-,Intact,MWL,-,-,150,0.5,2.5
F032,Full,Full,-,-,Intact,MWL,-,-,150,0.5,3.5
F033,Full,Full,-,-,Intact,MWL,-,-,150,0.5,4.5
F034,Full,Full,-,-,Intact,MWL,-,-,310,0.5,2.5
F035,Full,Full,-,-,Intact,MWL,-,-,310,0.5,3.5
F036,Full,Full,-,-,Intact,MWL,-,-,310,0.5,4.5
F037,Light,Light,-,-,Intact,MWL,0,10,-,-,-
F038,Light,Light,-,-,Intact,MWL,23,10,-,-,-
F039,Light,Light,-,-,Intact,MWL,45,10,-,-,-
F040,Light,Light,-,-,Intact,MWL,70,10,-,-,-
F041,Light,Light,-,-,Intact,MWL,90,10,-,-,-
F042,Light,Light,-,-,Intact,MWL,110,10,-,-,-
F043,Light,Light,-,-,Intact,MWL,125,10,-,-,-
F044,Light,Light,-,-,Intact,MWL,150,10,-,-,-
F045,Light,Light,-,-,Intact,MWL,180,10,-,-,-
F046,Light,Light,-,-,Intact,MWL,200,10,-,-,-
F047,Light,Light,-,-,Intact,MWL,222,10,-,-,-
F048,Light,Light,-,-,Intact,MWL,245,10,-,-,-
F049,Light,Light,-,-,Intact,MWL,270,10,-,-,-
F050,Light,Light,-,-,Intact,MWL,290,10,-,-,-
F051,Light,Light,-,-,Intact,MWL,310,10,-,-,-
F052,Light,Light,-,-,Intact,MWL,335,10,-,-,-
F053,Full,Full,-,-,Intact,MWL,0,10,-,-,-
F054,Full,Full,-,-,Intact,MWL,23,10,-,-,-
F055,Full,Full,-,-,Intact,MWL,45,10,-,-,-
F056,Full,Full,-,-,Intact,MWL,70,10,-,-,-
F057,Full,Full,-,-,Intact,MWL,90,10,-,-,-
F058,Full,Full,-,-,Intact,MWL,110,10,-,-,-
F059,Full,Full,-,-,Intact,MWL,125,10,-,-,-
F060,Full,Full,-,-,Intact,MWL,150,10,-,-,-
F061,Full,Full,-,-,Intact,MWL,180,10,-,-,-
F062,Full,Full,-,-,Intact,MWL,200,10,-,-,-
F063,Full,Full,-,-,Intact,MWL,222,10,-,-,-
F064,Full,Full,-,-,Intact,MWL,245,10,-,-,-
F065,Full,Full,-,-,Intact,MWL,270,10,-,-,-
F066,Full,Full,-,-,Intact,MWL,290,10,-,-,-
F067,Full,Full,-,-,Intact,MWL,310,10,-,-,-
F068,Full,Full,-,-,Intact,MWL,335,10,-,-,-
F069,Light,Light,Full,-,Intact,MWL,-,-,45,0.5,2.5
F070,Light,Light,Full,-,Intact,MWL,-,-,45,0.5,3.5
F071,Light,Light,Full,-,Intact,MWL,-,-,45,0.5,4.5
F072,Light,Light,Full,-,Intact,MWL,-,-,70,0.5,2.5
F073,Light,Light,Full,-,Intact,MWL,-,-,70,0.5,3.5
F074,Light,Light,Full,-,Intact,MWL,-,-,70,0.5,4.5
F075,Light,Light,Full,-,Intact,MWL,-,-,90,0.5,2.5
F076,Light,Light,Full,-,Intact,MWL,-,-,90,0.5,3.5
F077,Light,Light,Full,-,Intact,MWL,-,-,90,0.5,4.5
F078,Light,Light,Full,-,Intact,MWL,-,-,125,0.5,2.5
F079,Light,Light,Full,-,Intact,MWL,-,-,125,0.5,3.5
F080,Light,Light,Full,-,Intact,MWL,-,-,125,0.5,4.5
