Lookup Index,Check Flag Status,Curve Type,References Used,Reference,# of Slopes,In air (or) Corrosion Protected in seawater (or) Free Corrosion in seawater,Log a1,Log s1,Log a1~,m1,Transfer Cycles 1,Transfer Stress 1 (Mpa),Log a2~,m2,Transfer Cycles 2,Transfer Stress 2 (Mpa),Log a3~,m3,Transfer Cycles 3,CAFL (Mpa),Log a4~,m4,Cycles at Fatigue/Endurance Limit,S0 (Mpa),Thickness Correction (mm),Thickness Coefficient,Special Notes*
1,verified,DNV'05/'08/10/11/12/12 B1,"[4],[9],[11],[12],[13]",[13],2.0,Seawater CP,-,-,14.917,4.0,1000000,169.5118251531402,17.146,5,-,-,-,-,-,-,-,-,10000000,106.97,25,0.0,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
2,verified,DNV'05/'08/10/11/12 B2,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,14.685,4.0,1000000,148.3200967181877,16.856,5,-,-,-,-,-,-,-,-,10000000,93.59,25,0.0,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
3,verified,DNV'05/'08/10/11/12 C,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,12.192,3.0,1000000,115.8777356155128,16.32,5,-,-,-,-,-,-,-,-,10000000,73.1,25,0.15,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
4,verified,DNV'05/'08/10/11/12 C1,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,12.049,3.0,1000000,103.8006325345066,16.081,5,-,-,-,-,-,-,-,-,10000000,65.5,25,0.15,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
5,verified,DNV'05/'08/10/11/12 C2,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,11.901,3.0,1000000,92.68298233793504,15.835,5,-,-,-,-,-,-,-,-,10000000,58.48,25,0.15,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
6,verified,DNV'05/'08/10/11/12 D,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,11.764,3.0,1000000,83.40651974086639,15.606,5,-,-,-,-,-,-,-,-,10000000,52.63,25,0.2,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
7,verified,DNV'05/'08/10/11/12 E,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,11.61,3.0,1000000,74.13102413009182,15.35,5,-,-,-,-,-,-,-,-,10000000,46.78,25,0.2,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
8,verified,DNV'05/'08/10/11/12 F,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,11.455,3.0,1000000,65.79607697293413,15.091,5,-,-,-,-,-,-,-,-,10000000,41.52,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
9,verified,DNV'05/'08/10/11/12 F1,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,11.299,3.0,1000000,58.39827246189308,14.832,5,-,-,-,-,-,-,-,-,10000000,36.84,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
10,verified,DNV'05/'08/10/11/12 F3,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,11.146,3.0,1000000,51.90390101970831,14.576,5,-,-,-,-,-,-,-,-,10000000,32.75,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
11,verified,DNV'05/'08/10/11/12 G,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,10.998,3.0,1000000,46.344691973628855,14.33,5,-,-,-,-,-,-,-,-,10000000,29.24,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
12,verified,DNV'05/'08/10/11/12 W1,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,10.861,3.0,1000000,41.706140312672304,14.101,5,-,-,-,-,-,-,-,-,10000000,26.32,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
13,verified,DNV'05/'08/10/11/12 W2,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,10.707,3.0,1000000,37.06807217825763,13.845,5,-,-,-,-,-,-,-,-,10000000,23.39,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
14,verified,DNV'05/'08/10/11/12 W3,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,10.57,3.0,1000000,33.37336513051492,13.617,5,-,-,-,-,-,-,-,-,10000000,21.05,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
15,verified,DNV'05/'08/10/11/12 T,"[4],[9],[11],[12],[13]",[12],2.0,Seawater CP,-,-,11.764,3.0,1000000,83.40651974086639,15.606,5,-,-,-,-,-,-,-,-,10000000,52.63,25,0.25,"e=0.30 for SCF>10, e=0.25 for SCF<=10 (0.25 is used as default by spreadsheet)"
