,OD,ID,t,Pd,Pa,Pt,Pb
0,14.0,12.0,1.0,4459.083527024019,5016.468967902022,7434.494599718886,7431.805878373365
1,14.0,11.8,1.1,5082.811950182991,5718.163443955865,8245.080907220054,8471.353250304985
2,14.0,11.6,1.2,5716.789408240298,6431.388084270336,9069.5240600974,9527.982347067164
3,14.0,11.4,1.3,6361.3583582087995,7156.5281529849,9908.306071412464,10602.263930348
4,14.0,11.2,1.4,7016.878713225574,7893.988552378772,10761.934550445194,11694.797855375957
5,14.0,11.0,1.5,7683.729049480686,8644.195180665773,11630.94454770749,12806.21508246781
6,14.0,10.8,1.6,8362.30791929343,9407.596409205109,12515.900569251275,13937.17986548905
7,14.0,10.6,1.7,9053.035281739294,10184.664691956707,13417.398779261133,15088.392136232156
8,14.0,10.4,1.8,9756.354063686631,10975.89832164746,14336.069412454002,16260.590106144386
9,14.0,10.2,1.9,10472.73186577333,11781.823348994998,15272.579420734699,17454.55310962222
10,14.0,10.0,2.0,11202.662829778537,12602.995683500856,16227.635381945322,18671.104716297563
