Time (s),Scaled Tension (kN)
0.000000,528.899145
0.100000,505.036947
0.200000,507.612387
0.300000,510.311369
0.400000,561.311228
0.500000,508.726688
0.600000,499.659078
0.700000,589.914540
0.800000,494.692931
0.900000,582.583360
1.000000,514.856007
1.100000,538.230836
1.200000,505.692765
1.300000,561.883864
1.400000,553.079060
1.500000,639.201704
1.600000,534.084721
1.700000,555.626014
1.800000,711.846682
1.900000,670.373127
2.000000,495.881072
2.100000,607.525982
2.200000,504.093641
2.300000,574.396241
2.400000,451.647987
2.500000,611.908186
2.600000,547.014793
2.700000,634.233721
2.800000,545.127669
2.900000,624.857741
3.000000,620.722289
3.100000,725.138564
3.200000,744.069207
3.300000,700.033807
3.400000,672.986028
3.500000,804.540126
3.600000,629.496039
3.700000,661.344952
3.800000,720.618634
3.900000,824.976083
4.000000,702.347043
4.100000,699.477101
4.200000,631.982524
4.300000,711.346278
4.400000,728.311874
4.500000,697.123345
4.600000,663.975590
4.700000,638.263330
4.800000,607.258427
4.900000,694.711225
5.000000,633.245129
5.100000,610.081387
5.200000,669.001098
5.300000,666.802439
5.400000,647.183349
5.500000,715.430151
5.600000,703.587281
5.700000,683.554046
5.800000,681.159683
5.900000,653.882602
6.000000,679.599547
6.100000,671.938844
6.200000,581.673683
6.300000,675.519202
6.400000,587.616371
6.500000,612.396182
6.600000,648.531373
6.700000,651.226775
6.800000,615.377402
6.900000,581.254909
7.000000,648.912968
7.100000,614.257379
7.200000,534.890284
7.300000,573.892489
7.400000,519.335725
7.500000,622.506066
7.600000,580.168717
7.700000,624.326801
7.800000,580.012154
7.900000,610.551648
8.000000,521.872646
8.100000,627.358432
8.200000,505.265553
8.300000,564.951468
8.400000,457.939042
8.500000,506.353837
8.600000,424.646121
8.700000,505.205777
8.800000,506.853582
8.900000,452.902169
9.000000,448.723037
9.100000,532.888669
9.200000,479.449984
9.300000,503.305379
9.400000,535.165551
9.500000,654.229960
9.600000,562.469762
9.700000,565.174379
9.800000,548.571102
9.900000,523.760558
10.000000,394.148868
10.100000,495.498700
10.200000,495.719755
10.300000,430.639785
10.400000,427.019593
10.500000,393.348238
10.600000,507.080538
10.700000,547.973362
10.800000,584.081923
10.900000,540.863304
11.000000,503.684657
11.100000,447.651586
11.200000,477.272675
11.300000,494.142489
11.400000,530.928606
11.500000,592.289930
11.600000,569.726893
11.700000,631.546124
11.800000,595.853124
11.900000,632.679893
12.000000,636.440139
12.100000,531.322806
12.200000,641.386911
12.300000,608.227856
12.400000,600.272630
12.500000,653.566557
12.600000,663.174500
12.700000,555.622671
12.800000,621.404623
12.900000,659.880625
13.000000,646.306385
13.100000,713.088635
13.200000,683.884766
13.300000,774.199907
13.400000,590.395449
13.500000,685.248527
13.600000,658.331097
13.700000,757.278931
13.800000,623.173836
13.900000,741.647125
