Time (s),Scaled Tension (kN)
0.000000,682.438084
0.100000,679.044985
0.200000,799.366722
0.300000,742.756668
0.400000,797.126264
0.500000,649.905651
0.600000,713.009200
0.700000,625.871683
0.800000,643.317550
0.900000,797.634565
1.000000,682.149897
1.100000,838.562704
1.200000,666.533753
1.300000,674.311040
1.400000,695.216568
1.500000,699.836017
1.600000,706.129994
1.700000,676.395257
1.800000,603.483430
1.900000,616.904632
2.000000,610.391645
2.100000,559.548795
2.200000,573.560905
2.300000,619.604001
2.400000,503.621478
2.500000,644.239172
2.600000,572.178325
2.700000,565.346209
2.800000,627.137831
2.900000,681.017129
3.000000,636.899788
3.100000,592.849694
3.200000,658.973691
3.300000,534.363727
3.400000,536.347730
3.500000,546.126082
3.600000,619.372135
3.700000,500.970067
3.800000,552.980037
3.900000,546.037840
4.000000,458.307216
4.100000,448.036627
4.200000,530.596491
4.300000,441.060635
4.400000,506.722020
4.500000,462.558654
4.600000,484.200479
4.700000,518.896931
4.800000,506.439790
4.900000,494.950979
5.000000,555.898361
5.100000,524.293898
5.200000,495.751774
5.300000,503.751175
5.400000,545.941385
5.500000,574.931869
5.600000,612.770323
5.700000,465.549245
5.800000,675.404218
5.900000,461.620062
6.000000,608.534920
6.100000,489.991389
6.200000,494.566396
6.300000,487.634675
6.400000,543.601746
6.500000,594.716295
6.600000,613.094238
6.700000,549.315095
6.800000,541.769378
6.900000,558.162385
7.000000,591.706205
7.100000,636.051179
7.200000,617.621646
7.300000,693.812565
7.400000,772.596114
7.500000,615.126903
7.600000,600.143818
7.700000,696.087442
7.800000,585.715295
7.900000,670.481329
8.000000,601.741994
8.100000,732.652277
8.200000,663.279213
8.300000,622.689086
8.400000,586.720811
8.500000,644.888729
8.600000,711.146546
8.700000,645.555960
8.800000,665.533859
8.900000,654.129444
9.000000,715.857033
9.100000,715.166188
9.200000,690.472888
9.300000,728.472630
9.400000,744.232397
9.500000,728.056165
9.600000,763.687806
9.700000,781.974746
9.800000,721.527530
9.900000,692.491579
10.000000,614.692654
10.100000,643.553957
10.200000,753.191727
10.300000,636.768472
10.400000,660.502808
10.500000,837.386968
10.600000,782.118618
10.700000,719.569921
10.800000,774.463977
10.900000,594.045340
11.000000,707.544006
11.100000,694.570877
11.200000,694.492938
11.300000,672.106780
11.400000,553.224216
11.500000,693.992768
11.600000,693.231693
11.700000,728.749012
11.800000,590.855051
11.900000,621.630191
12.000000,461.489965
12.100000,590.820028
12.200000,650.073364
12.300000,569.508841
12.400000,692.142747
12.500000,568.678300
12.600000,603.110329
12.700000,527.287873
12.800000,603.710671
12.900000,469.756217
13.000000,624.555619
13.100000,613.287017
13.200000,650.559682
13.300000,538.396004
13.400000,594.853422
13.500000,629.924067
13.600000,569.799344
13.700000,514.864713
13.800000,416.984991
13.900000,559.636840
14.000000,511.450017
14.100000,454.530775
14.200000,503.580753
14.300000,498.432449
14.400000,421.518207
14.500000,387.582670
14.600000,429.655810
14.700000,640.119232
14.800000,590.140212
14.900000,537.953564
15.000000,545.310069
15.100000,535.615032
15.200000,588.712879
15.300000,543.449201
15.400000,562.597934
15.500000,532.979828
15.600000,635.862090
15.700000,592.384242
15.800000,576.700596
15.900000,506.543923
16.000000,563.597891
16.100000,500.561925
16.200000,468.013143
16.300000,653.081037
16.400000,500.252668
16.500000,550.359005
16.600000,569.295353
16.700000,599.646966
16.800000,588.246938
16.900000,682.896470
17.000000,558.673985
17.100000,741.956840
17.200000,685.989849
17.300000,747.736080
17.400000,614.222788
17.500000,622.096467
17.600000,729.230922
17.700000,564.621861
17.800000,558.450567
17.900000,642.141952
18.000000,644.118401
18.100000,686.642474
18.200000,629.089266
18.300000,603.390399
18.400000,670.139939
18.500000,689.131221
18.600000,726.257031
18.700000,699.429544
18.800000,615.907668
18.900000,675.105316
19.000000,783.251226
19.100000,709.075322
19.200000,729.512461
19.300000,815.136254
19.400000,684.554081
19.500000,717.304283
19.600000,746.328588
19.700000,698.860087
19.800000,748.518902
19.900000,716.925365
20.000000,643.535742
20.100000,712.887635
20.200000,596.797439
20.300000,705.462259
20.400000,762.024288
20.500000,686.852539
20.600000,645.291188
20.700000,702.605913
20.800000,713.547567
20.900000,739.625355
21.000000,723.647196
21.100000,791.619656
21.200000,784.436023
21.300000,715.582854
21.400000,739.858726
21.500000,696.375752
21.600000,658.141983
21.700000,630.589889
21.800000,684.263308
21.900000,714.863144
22.000000,657.193043
22.100000,672.099476
22.200000,628.593651
22.300000,595.787674
22.400000,534.607436
22.500000,669.500019
22.600000,687.624948
22.700000,578.458416
22.800000,569.355660
22.900000,626.107728
23.000000,626.353270
23.100000,582.116544
23.200000,528.446323
23.300000,596.816802
23.400000,623.359865
23.500000,609.468525
23.600000,615.444761
23.700000,533.523340
23.800000,570.861473
23.900000,570.325449
24.000000,492.902008
24.100000,509.806548
24.200000,419.757716
24.300000,497.177822
24.400000,541.053676
24.500000,498.952561
24.600000,591.569103
24.700000,480.574809
24.800000,548.089762
24.900000,562.454944
25.000000,667.345564
25.100000,563.078020
25.200000,510.013225
25.300000,602.320160
25.400000,635.819882
25.500000,529.186448
25.600000,603.622834
25.700000,619.852246
25.800000,563.680655
25.900000,507.449982
26.000000,477.799742
26.100000,540.140449
26.200000,572.742941
26.300000,562.437192
26.400000,564.710217
26.500000,568.033238
26.600000,602.883482
26.700000,651.159737
26.800000,634.839912
26.900000,554.447861
27.000000,613.479132
27.100000,685.157637
27.200000,578.371113
27.300000,563.079730
27.400000,736.735034
27.500000,626.878458
27.600000,659.072515
27.700000,556.140657
27.800000,686.022065
27.900000,661.255191
28.000000,567.588322
28.100000,696.249951
28.200000,665.464775
28.300000,644.292105
28.400000,618.139764
28.500000,543.165127
28.600000,712.305882
28.700000,741.158526
28.800000,729.814558
28.900000,795.104672
29.000000,648.964225
29.100000,725.107573
29.200000,692.957637
29.300000,717.169409
29.400000,707.792021
29.500000,761.542623
29.600000,702.393343
29.700000,680.296902
29.800000,756.049274
29.900000,827.759841
30.000000,659.635902
30.100000,671.918433
30.200000,769.604791
30.300000,607.893795
30.400000,679.933921
30.500000,637.576865
30.600000,638.324356
30.700000,701.110298
30.800000,607.624716
30.900000,703.853931
31.000000,715.143825
31.100000,680.009439
31.200000,719.757159
31.300000,674.556452
31.400000,726.830040
31.500000,644.084015
31.600000,740.781354
31.700000,682.289002
31.800000,662.802844
31.900000,695.806817
32.000000,569.513602
32.100000,585.452369
32.200000,730.179253
32.300000,584.060311
32.400000,436.894832
32.500000,565.587850
32.600000,587.310175
32.700000,432.756917
32.800000,661.425250
32.900000,575.252824
33.000000,603.680959
33.100000,571.871592
33.200000,557.473424
33.300000,509.594319
33.400000,496.393193
33.500000,603.216450
33.600000,522.253879
33.700000,525.045208
33.800000,477.853678
33.900000,574.814011
34.000000,602.665763
34.100000,547.810138
34.200000,534.971790
34.300000,536.771027
34.400000,427.991262
34.500000,502.776387
34.600000,470.374639
34.700000,442.929219
34.800000,551.428000
34.900000,471.468331
35.000000,596.522527
35.100000,577.912146
35.200000,572.097093
35.300000,581.445109
35.400000,535.650920
35.500000,635.566563
35.600000,532.328394
