Time (s),Scaled Tension (kN)
0.000000,2771.976846
0.100000,2182.425112
0.200000,2397.897016
0.300000,2492.634686
0.400000,2551.120716
0.500000,2569.085031
0.600000,2682.071689
0.700000,2601.999966
0.800000,2611.187836
0.900000,2589.846619
1.000000,2642.393141
1.100000,2854.043146
1.200000,2574.926369
1.300000,3028.048105
1.400000,2748.986568
1.500000,2605.426958
1.600000,2799.384610
1.700000,2635.107799
1.800000,2817.029520
1.900000,2704.936157
2.000000,2515.271713
2.100000,2762.025896
2.200000,2684.134460
2.300000,2896.821653
2.400000,2741.788889
2.500000,2677.361769
2.600000,2336.515537
2.700000,3012.966558
2.800000,2219.841250
2.900000,2734.840977
3.000000,2641.113399
3.100000,2269.772908
3.200000,2506.159884
3.300000,2549.820790
3.400000,2842.994664
3.500000,2355.519772
3.600000,2454.947140
3.700000,1885.754179
3.800000,2713.399293
3.900000,2132.557609
4.000000,2263.386152
4.100000,2150.841760
4.200000,2211.028019
4.300000,2236.423043
4.400000,2365.646745
4.500000,2192.078542
4.600000,2246.659738
4.700000,2142.233960
4.800000,2258.524041
4.900000,1947.659736
5.000000,2291.279913
5.100000,2358.704724
5.200000,2291.291726
5.300000,2023.121485
5.400000,1971.318066
5.500000,2074.122018
5.600000,1712.358597
5.700000,2245.327399
5.800000,1935.087593
5.900000,1988.778609
6.000000,1792.022348
6.100000,1690.861255
6.200000,1739.526492
6.300000,1923.588653
6.400000,1962.865137
6.500000,1939.201851
6.600000,2023.179427
6.700000,1824.274628
6.800000,1949.828642
6.900000,2198.062476
7.000000,2111.944204
7.100000,2171.734286
7.200000,2107.337054
7.300000,1760.242570
7.400000,1848.840754
7.500000,2131.019580
7.600000,2090.065477
7.700000,2246.553719
7.800000,2454.203285
7.900000,2239.218912
8.000000,2366.205560
8.100000,2071.870642
8.200000,1892.150110
8.300000,2044.834295
8.400000,1944.681267
8.500000,2432.933394
8.600000,2388.938624
8.700000,2301.423006
8.800000,2476.204130
8.900000,1996.986810
9.000000,2458.976726
9.100000,2151.804743
9.200000,2466.435890
9.300000,2368.177197
9.400000,2696.198987
9.500000,2601.287177
9.600000,2877.360925
9.700000,2392.045339
9.800000,2689.208799
9.900000,2574.239038
10.000000,2221.302826
10.100000,2285.305607
10.200000,2510.963182
10.300000,2700.629722
10.400000,2663.476663
10.500000,2243.596371
10.600000,2485.300701
10.700000,3065.221256
10.800000,2653.205269
10.900000,2576.868059
11.000000,2871.703103
11.100000,2908.855377
11.200000,2708.578956
11.300000,2865.042402
11.400000,2829.600259
11.500000,2885.331356
11.600000,2866.536526
11.700000,2825.851022
11.800000,2478.461738
11.900000,2531.278788
12.000000,2844.964504
12.100000,2547.527745
12.200000,2598.402438
12.300000,2497.444833
12.400000,2738.024268
12.500000,2298.584806
12.600000,2546.068151
12.700000,2659.835443
12.800000,2701.643089
12.900000,2467.646102
13.000000,2922.776180
13.100000,2647.743553
13.200000,2334.657023
13.300000,2583.684400
13.400000,2405.257782
13.500000,2568.271104
13.600000,2396.331799
13.700000,2357.778911
13.800000,2179.989268
13.900000,2477.928173
14.000000,2008.624050
14.100000,2020.243994
14.200000,2220.770120
14.300000,2439.575470
14.400000,1994.242257
14.500000,2232.598399
14.600000,2292.200081
14.700000,2260.482010
14.800000,1968.772284
14.900000,1821.165508
15.000000,1657.650772
15.100000,2024.294923
15.200000,2258.886507
