pipe_size,od_mm,od_m,wt_mm,wt_m,grade,code,internal_pressure_mpa,external_pressure_mpa,water_depth_m,is_safe,governing_check,max_utilisation,check_pressure_containment,check_collapse,check_propagation_buckling,check_combined_loading
"6""",168.3,0.1683,14.3,0.0143,X65,DNV-ST-F101,10,5.026,500.0,True,propagation_buckling,0.2389,0.0882,0.0098,0.2389,0.0074
"6""",168.3,0.1683,14.3,0.0143,X65,DNV-ST-F101,15,5.026,500.0,True,propagation_buckling,0.2389,0.1769,0.0098,0.2389,0.0148
"6""",168.3,0.1683,14.3,0.0143,X65,DNV-ST-F101,20,5.026,500.0,True,pressure_containment,0.2656,0.2656,0.0098,0.2389,0.0222
"6""",168.3,0.1683,14.3,0.0143,X65,DNV-ST-F101,25,5.026,500.0,True,pressure_containment,0.3543,0.3543,0.0098,0.2389,0.0297
"6""",168.3,0.1683,14.3,0.0143,X65,API RP 1111,10,5.026,500.0,True,propagation,0.217,,0.0855,,
"6""",168.3,0.1683,14.3,0.0143,X65,API RP 1111,15,5.026,500.0,True,propagation,0.217,,0.0855,,
"6""",168.3,0.1683,14.3,0.0143,X65,API RP 1111,20,5.026,500.0,True,burst,0.2535,,0.0855,,
"6""",168.3,0.1683,14.3,0.0143,X65,API RP 1111,25,5.026,500.0,True,burst,0.3381,,0.0855,,
"6""",168.3,0.1683,14.3,0.0143,X65,PD 8010-2,10,5.026,500.0,True,propagation,0.2582,,0.0093,,
"6""",168.3,0.1683,14.3,0.0143,X65,PD 8010-2,15,5.026,500.0,True,propagation,0.2582,,0.0093,,
"6""",168.3,0.1683,14.3,0.0143,X65,PD 8010-2,20,5.026,500.0,True,hoop_stress,0.2937,,0.0093,,
"6""",168.3,0.1683,14.3,0.0143,X65,PD 8010-2,25,5.026,500.0,True,hoop_stress,0.3918,,0.0093,,
"8""",219.1,0.2191,15.1,0.0151,X65,DNV-ST-F101,10,5.026,500.0,True,propagation_buckling,0.3993,0.1098,0.0181,0.3993,0.0137
"8""",219.1,0.2191,15.1,0.0151,X65,DNV-ST-F101,15,5.026,500.0,True,propagation_buckling,0.3993,0.2202,0.0181,0.3993,0.0274
"8""",219.1,0.2191,15.1,0.0151,X65,DNV-ST-F101,20,5.026,500.0,True,propagation_buckling,0.3993,0.3307,0.0181,0.3993,0.0412
"8""",219.1,0.2191,15.1,0.0151,X65,DNV-ST-F101,25,5.026,500.0,True,pressure_containment,0.4411,0.4411,0.0181,0.3993,0.0549
"8""",219.1,0.2191,15.1,0.0151,X65,API RP 1111,10,5.026,500.0,True,propagation,0.3586,,0.1101,,
"8""",219.1,0.2191,15.1,0.0151,X65,API RP 1111,15,5.026,500.0,True,propagation,0.3586,,0.1101,,
"8""",219.1,0.2191,15.1,0.0151,X65,API RP 1111,20,5.026,500.0,True,propagation,0.3586,,0.1101,,
"8""",219.1,0.2191,15.1,0.0151,X65,API RP 1111,25,5.026,500.0,True,burst,0.4246,,0.1101,,
"8""",219.1,0.2191,15.1,0.0151,X65,PD 8010-2,10,5.026,500.0,True,propagation,0.4227,,0.0173,,
"8""",219.1,0.2191,15.1,0.0151,X65,PD 8010-2,15,5.026,500.0,True,propagation,0.4227,,0.0173,,
"8""",219.1,0.2191,15.1,0.0151,X65,PD 8010-2,20,5.026,500.0,True,propagation,0.4227,,0.0173,,
"8""",219.1,0.2191,15.1,0.0151,X65,PD 8010-2,25,5.026,500.0,True,hoop_stress,0.4811,,0.0173,,
"10""",273.1,0.2731,15.1,0.0151,X65,DNV-ST-F101,10,5.026,500.0,True,propagation_buckling,0.6926,0.1385,0.035,0.6926,0.0265
"10""",273.1,0.2731,15.1,0.0151,X65,DNV-ST-F101,15,5.026,500.0,True,propagation_buckling,0.6926,0.2778,0.035,0.6926,0.0531
"10""",273.1,0.2731,15.1,0.0151,X65,DNV-ST-F101,20,5.026,500.0,True,propagation_buckling,0.6926,0.417,0.035,0.6926,0.0797
"10""",273.1,0.2731,15.1,0.0151,X65,DNV-ST-F101,25,5.026,500.0,True,propagation_buckling,0.6926,0.5563,0.035,0.6926,0.1063
"10""",273.1,0.2731,15.1,0.0151,X65,API RP 1111,10,5.026,500.0,True,propagation,0.6085,,0.1508,,
"10""",273.1,0.2731,15.1,0.0151,X65,API RP 1111,15,5.026,500.0,True,propagation,0.6085,,0.1508,,
"10""",273.1,0.2731,15.1,0.0151,X65,API RP 1111,20,5.026,500.0,True,propagation,0.6085,,0.1508,,
"10""",273.1,0.2731,15.1,0.0151,X65,API RP 1111,25,5.026,500.0,True,propagation,0.6085,,0.1508,,
"10""",273.1,0.2731,15.1,0.0151,X65,PD 8010-2,10,5.026,500.0,True,propagation,0.7173,,0.0334,,
"10""",273.1,0.2731,15.1,0.0151,X65,PD 8010-2,15,5.026,500.0,True,propagation,0.7173,,0.0334,,
"10""",273.1,0.2731,15.1,0.0151,X65,PD 8010-2,20,5.026,500.0,True,propagation,0.7173,,0.0334,,
"10""",273.1,0.2731,15.1,0.0151,X65,PD 8010-2,25,5.026,500.0,True,propagation,0.7173,,0.0334,,
"12""",323.9,0.3239,17.5,0.0175,X65,DNV-ST-F101,10,5.026,500.0,True,propagation_buckling,0.7162,0.1405,0.0365,0.7162,0.0276
"12""",323.9,0.3239,17.5,0.0175,X65,DNV-ST-F101,15,5.026,500.0,True,propagation_buckling,0.7162,0.2817,0.0365,0.7162,0.0553
"12""",323.9,0.3239,17.5,0.0175,X65,DNV-ST-F101,20,5.026,500.0,True,propagation_buckling,0.7162,0.4229,0.0365,0.7162,0.083
"12""",323.9,0.3239,17.5,0.0175,X65,DNV-ST-F101,25,5.026,500.0,True,propagation_buckling,0.7162,0.5641,0.0365,0.7162,0.1107
"12""",323.9,0.3239,17.5,0.0175,X65,API RP 1111,10,5.026,500.0,True,propagation,0.6432,,0.1565,,
"12""",323.9,0.3239,17.5,0.0175,X65,API RP 1111,15,5.026,500.0,True,propagation,0.6432,,0.1565,,
"12""",323.9,0.3239,17.5,0.0175,X65,API RP 1111,20,5.026,500.0,True,propagation,0.6432,,0.1565,,
"12""",323.9,0.3239,17.5,0.0175,X65,API RP 1111,25,5.026,500.0,True,propagation,0.6432,,0.1565,,
"12""",323.9,0.3239,17.5,0.0175,X65,PD 8010-2,10,5.026,500.0,True,propagation,0.7407,,0.0348,,
"12""",323.9,0.3239,17.5,0.0175,X65,PD 8010-2,15,5.026,500.0,True,propagation,0.7407,,0.0348,,
"12""",323.9,0.3239,17.5,0.0175,X65,PD 8010-2,20,5.026,500.0,True,propagation,0.7407,,0.0348,,
"12""",323.9,0.3239,17.5,0.0175,X65,PD 8010-2,25,5.026,500.0,True,propagation,0.7407,,0.0348,,
"16""",406.4,0.4064,16.7,0.0167,X65,DNV-ST-F101,10,5.026,500.0,False,propagation_buckling,1.43,0.1873,0.0633,1.43,0.0479
"16""",406.4,0.4064,16.7,0.0167,X65,DNV-ST-F101,15,5.026,500.0,False,propagation_buckling,1.43,0.3756,0.0633,1.43,0.0961
"16""",406.4,0.4064,16.7,0.0167,X65,DNV-ST-F101,20,5.026,500.0,False,propagation_buckling,1.43,0.564,0.0633,1.43,0.1442
"16""",406.4,0.4064,16.7,0.0167,X65,DNV-ST-F101,25,5.026,500.0,False,propagation_buckling,1.43,0.7523,0.0633,1.43,0.1923
"16""",406.4,0.4064,16.7,0.0167,X65,API RP 1111,10,5.026,500.0,False,propagation,1.2405,,0.2621,,
"16""",406.4,0.4064,16.7,0.0167,X65,API RP 1111,15,5.026,500.0,False,propagation,1.2405,,0.2621,,
"16""",406.4,0.4064,16.7,0.0167,X65,API RP 1111,20,5.026,500.0,False,propagation,1.2405,,0.2621,,
"16""",406.4,0.4064,16.7,0.0167,X65,API RP 1111,25,5.026,500.0,False,propagation,1.2405,,0.2621,,
"16""",406.4,0.4064,16.7,0.0167,X65,PD 8010-2,10,5.026,500.0,False,propagation,1.4387,,0.0605,,
"16""",406.4,0.4064,16.7,0.0167,X65,PD 8010-2,15,5.026,500.0,False,propagation,1.4387,,0.0605,,
"16""",406.4,0.4064,16.7,0.0167,X65,PD 8010-2,20,5.026,500.0,False,propagation,1.4387,,0.0605,,
"16""",406.4,0.4064,16.7,0.0167,X65,PD 8010-2,25,5.026,500.0,False,propagation,1.4387,,0.0605,,
"20""",508.0,0.508,15.1,0.0151,X65,DNV-ST-F101,10,5.026,500.0,False,propagation_buckling,3.2683,0.2633,0.0882,3.2683,0.0667
