dof_covered,vessel_type,headings_deg,water_depth_m,n_gaps,name,scope,kind,primary_url
"surge, heave, pitch primarily reported (3-DOF); full 6-DOF measured in test, RAOs most often published for surge/heave/pitch",semisubmersible (floating platform),,,5,OC4 / DeepCwind semisubmersible (5 MW FOWT floater),floating,,https://www.researchgate.net/publication/371945949_Systematic_comparisons_among_OpenFAST_Charm3D-FAST_simulations_and_DeepCWind_model_test_for_5_MW_OC4_semisubmersible_offshore_wind_turbine
"surge, heave, pitch RAOs derived from regular-wave cases (focus on low-frequency surge/pitch resonant response)",semisubmersible (floating platform),,,5,OC5 DeepCwind semisubmersible (MARIN model 9697),floating,,https://www.sciencedirect.com/science/article/abs/pii/S0029801823020851
"surge, heave, pitch RAOs (and 'effective RAO' definition incl. turbine operation effects)",spar (floating platform),,,6,OC3-Hywind spar-buoy (5 MW FOWT spar),floating,,https://forums.nrel.gov/t/oc3-hywind-raos/1085
6-DOF global motions measured; surge/heave/pitch most analyzed; mooring tensions also recorded,FPSO,,,5,Turret-moored FPSO — OTRC model-test benchmark,floating,,https://www.sciencedirect.com/science/article/abs/pii/S002980180500051X
roll (primary); large yaw motions discussed in companion TAP 366,FPSO,,,8,FPSO roll motions — BSEE/TAP model-test study,floating,,https://www.bsee.gov/sites/bsee.gov/files/tap-technical-assessment-program/406ab.pdf
displacement RAOs all 6-DOF + load RAOs + wave-drift QTFs (Newman approx) + added mass/damping + hydrostatic stiffness,generic ship-shaped vessel (not a named real unit),,,5,OrcaFlex default vessel (OrcaWave L01 worked example),floating,,https://www.orcina.com/wp-content/uploads/examples/l/l01/L01%20Default%20vessel.pdf
heave and pitch RAOs in head seas (primary); other DOF in some studies,containership (monohull benchmark),,,3,S175 containership (ITTC standard seakeeping benchmark hull),floating,,https://www.researchgate.net/figure/Main-particulars-of-S175-containership_tbl1_317970756
"heave, pitch, and vertical bending moment in head regular waves","containership (monohull benchmark, hydroelastic)",,,4,6750-TEU containership (KRISO flexible model — ITTC-ISSC benchmark),floating,,https://www.sciencedirect.com/science/article/pii/S0029801816300804
heave and pitch RAOs (head regular waves; measured at LBP/2 on centerline),containership (monohull benchmark),,,3,KCS — KRISO Container Ship (open benchmark hull),floating,,https://doi.org/10.3390/jmse8120962
"full 6-DOF motions in regular waves (plus added resistance, drift forces/moments)",containership (monohull benchmark),,,4,DTC — Duisburg Test Case (14000-TEU post-Panamax containership),floating,,https://home.hvl.no/ansatte/gste/ftp/Info_alle_klasser/Rapportskriving/Example_reports/Example_paper3_DTChull.pdf
heave and pitch RAOs in head seas,mathematical monohull (benchmark),,,2,Wigley hull (analytical benchmark hull form),floating,,https://www.isomase.org/JOMAse/Vol.22%20Aug%202015/22-1.pdf
surge;sway;heave;roll;pitch;yaw,Semisubmersible — proxy for SSCV hull form (three-column ring-pontoon semi with heave-plate base columns; Thialf/Sleipnir/Saipem 7000 topology),"0-180 at 22.5 spacing (9 headings, per Orcina OrcaWave dataset)",200,2,OC4-DeepCwind semisubmersible (NREL 5MW reference),install,computed (BEM); platform also model-tested in DeepCwind 1:50 MARIN campaign,https://www.osti.gov/biblio/1155123
surge;sway;heave;roll;pitch;yaw,Semisubmersible — ready-to-run open OrcaWave RAO dataset for the OC4 SSCV proxy,0-180 at 22.5 (9 headings),200,1,OrcaWave L02 OC4 Semi-sub diffraction example (Orcina),install,computed (OrcaWave 3D panel; downloadable sample),https://www.orcina.com/wp-content/uploads/examples/l/l02/L02%20OC4%20Semi-sub.pdf
surge;sway;heave;roll;pitch;yaw,Deep-draft spar — proxy for spar-form / deep-draft cylindrical hulls; low-heave benchmark,gap,320,1,OC3-Hywind spar buoy (NREL 5MW reference),install,computed (BEM); Hywind concept also model-tested,https://docs.nrel.gov/docs/fy10osti/47535.pdf
surge;sway;heave;roll;pitch;yaw,Generic ship-form monohull — proxy for monohull construction/support/transport vessels,9 headings,400 (also re-run at 100),1,OrcaWave L01 Default vessel diffraction example (Orcina),install,computed (OrcaWave; recreates OrcaFlex default vessel; downloadable),https://www.orcina.com/wp-content/uploads/examples/l/l01/L01%20Default%20vessel.pdf
heave;pitch,Slender monohull — proxy for fast monohull construction/support vessels; head-sea RAO benchmark,180 (head seas),,2,DTMB 5512 / DTMB 5415 surface combatant (IIHR open EFD),install,model_test (towing-tank EFD with uncertainty; CFD validation benchmark),https://www2.iihr.uiowa.edu/shiphydro/efd-data/5512-pitch-and-heave/
heave;pitch;(roll/sway/yaw in oblique variants),Monohull containership — classic ITTC seakeeping reference,180 (head); oblique variants 30-150,,3,S175 containership (ITTC seakeeping benchmark),install,benchmark (ITTC; experimental + numerical RAOs),https://strathprints.strath.ac.uk/54293/1/Hizir_etal_NAV2016_effect_forward_speed_nonlinear_ship_motion_responses.pdf
heave;pitch,Monohull containership — open seakeeping/added-resistance benchmark,180 (head),,3,KCS — KRISO Container Ship (Tokyo CFD Workshop benchmark),install,benchmark (Tokyo 2015 / SIMMAN; heave/pitch + added resistance),https://dcwan.sjtu.edu.cn/userfiles/19DCW-25Yu%20Anzheng.pdf
heave;pitch,Full-form monohull tanker — large bluff-monohull motion proxy,180 (head),,2,KVLCC2 — KRISO VLCC (SIMMAN / CFD Workshop benchmark),install,"benchmark (SIMMAN 2008/2014/2020, Tokyo 2015, SHOPERA; heave/pitch + added resistance)",http://www.simman2008.dk/KVLCC/KVLCC2/kvlcc2_geometry.html
heave;pitch,Mathematical slender monohull — seakeeping METHOD-validation benchmark (not a barge-shape proxy),180 (head),,3,Wigley hull (Wigley I mathematical hull),install,benchmark (analytical hull; strip-theory + Journee 1992 model tests),https://www.isomase.org/JOMAse/Vol.22%20Aug%202015/22-1.pdf
surge;sway;heave;roll;pitch;yaw,Box-form pipelay/lay barge — closest open derrick/lift/pipelay-barge motion proxy found,"0 (head, main drive)",1000,2,Pipelay lay-barge (J-Lay/S-Lay) AQWA diffraction study,install,"computed (ANSYS AQWA 3D panel, ~12586 panels; validated 5-10% diffraction-dominated)",https://ijaem.net/issue_dcp/Dynamic%20Displacement%20Analysis%20of%20J%20Lay%20and%20S%20Lay%20Pipe%20Strings%20under%20Lay%20Barge%20Wave%20Diffraction%20in%201000m%20Water%20Depth.pdf
surge;sway;heave;roll;pitch;yaw,Canonical bodies (sphere/cylinder/cube) — generic computed hydrodynamic proxies + BEM tool-validation,,selectable incl. infinite + finite (Capytaine cookbook 2-100 m),2,Capytaine & NEMOH BEM example geometries,install,"computed (open-source BEM, frequency domain; freely runnable)",https://capytaine.org/stable/user_manual/tutorial.html
6 DOF displacement RAOs + load RAOs + Newman QTFs,tanker (generic),,400,6,OrcaWave/OrcaFlex L01 Default Vessel (103 m tanker),tanker,,https://www.orcina.com/wp-content/uploads/examples/l/l01/L01-Default-vessel.pdf
"heave, pitch, roll (full 6-DOF in ML/RC papers)",VLCC (benchmark hull),,,4,KVLCC2 (KRISO Very Large Crude Carrier 2),tanker,,https://researchgate.net/figure/Geometrical-properties-of-KVLCC2_tbl1_308694255
6 DOF absolute + relative motions + mooring forces; surge and heave RAOs published,FPSO tanker-based floating production (benchmark model-test),,,7,OTRC Turret-Moored FPSO (1:60 model),tanker,,https://www.academia.edu/36456073
6 DOF RAOs (optical sensors); roll and heave emphasized,"LNG carrier (membrane, benchmark model-test)",,,7,138000 m3 Membrane LNG Carrier (sloshing-coupled motion benchmark),tanker,,https://asmedigitalcollection.asme.org/OMAE/proceedings-abstract/OMAE2010/49095/75/349161
