Time (s),Effective Tension at FST Vessel End (kN),Effective Tension at FST Jacket End (kN),Effective Tension at Jacket End (kN),Dummy Column 1,Dummy Column 2
0.0,497.06249909511934,472.20937414036337,447.3562491856074,0.0,0.0
0.1,538.1587169993144,511.25078114934865,484.34284529938293,0.0,0.0
0.2,553.467788757726,525.7943993198397,498.1210098819534,0.0,0.0
0.30000000000000004,545.38007603406,518.1110722323571,490.842068430654,0.0,0.0
0.4,531.4060290918812,504.83572763728716,478.26542618269315,0.0,0.0
0.5,524.6444653023566,498.41224203723874,472.18001877212095,0.0,0.0
0.6000000000000001,541.1201828520266,514.0641737094252,487.00816456682395,0.0,0.0
0.7000000000000001,546.7824672744629,519.4433439107397,492.1042205470166,0.0,0.0
0.8,548.292669448072,520.8780359756685,493.46340250326483,0.0,0.0
0.9,530.8611420979047,504.31808499300945,477.7750278881142,0.0,0.0
1.0,503.52527519367345,478.34901143398974,453.1727476743061,0.0,0.0
1.1,470.80452088207795,447.26429483797403,423.7240687938702,0.0,0.0
1.2000000000000002,448.32712388615806,425.91076769185014,403.4944114975423,0.0,0.0
1.3,456.02694818753895,433.225600778162,410.42425336878506,0.0,0.0
1.4000000000000001,462.5967613952447,439.46692332548247,416.33708525572024,0.0,0.0
1.5,466.8804522163336,443.5364296055169,420.19240699470026,0.0,0.0
1.6,459.398836168988,436.42889436053855,413.4589525520892,0.0,0.0
1.7000000000000002,441.27577680957995,419.21198796910096,397.14819912862197,0.0,0.0
1.8,457.3798879435825,434.51089354640334,411.6418991492243,0.0,0.0
1.9000000000000001,461.65588311976455,438.5730889637763,415.49029480778813,0.0,0.0
2.0,497.3507359193025,472.4831991233374,447.61566232737226,0.0,0.0
2.1,529.762716381011,503.2745805619605,476.78644474290996,0.0,0.0
2.2,549.3655360710951,521.8972592675403,494.4289824639856,0.0,0.0
2.3000000000000003,546.7878070728913,519.4484167192467,492.1090263656022,0.0,0.0
2.4000000000000004,543.5883143511255,516.4088986335693,489.22948291601296,0.0,0.0
2.5,529.4648579750773,502.9916150763234,476.5183721775696,0.0,0.0
2.6,537.0405360150841,510.1885092143298,483.33648241357565,0.0,0.0
2.7,544.483333999492,517.2591672995173,490.03500059954274,0.0,0.0
2.8000000000000003,550.6111387695756,523.0805818310969,495.55002489261807,0.0,0.0
2.9000000000000004,529.3090706021358,502.84361707202896,476.3781635419222,0.0,0.0
3.0,506.80655475909793,481.466227021143,456.1258992831882,0.0,0.0
3.1,468.085386394646,444.6811170749137,421.2768477551814,0.0,0.0
3.2,453.9170259461277,431.22117464882126,408.52532335151494,0.0,0.0
3.3000000000000003,454.937830171157,432.1909386625991,409.4440471540413,0.0,0.0
3.4000000000000004,457.3619684542045,434.4938700314942,411.625771608784,0.0,0.0
3.5,480.6150486638837,456.5842962306895,432.55354379749537,0.0,0.0
3.6,468.5149362430149,445.08918943086417,421.6634426187134,0.0,0.0
3.7,455.57884155312394,432.7998994754677,410.02095739781157,0.0,0.0
3.8000000000000003,458.1054580697985,435.20018516630853,412.2949122628186,0.0,0.0
3.9000000000000004,470.24817025720296,446.73576174434277,423.2233532314827,0.0,0.0
