case_id,submerged_weight_kn,od_mm,design_pressure_mpa,smys_mpa,mud_weight_pcf,water_depth_ft
wd2500_wt0750_mw064pcf,4268.037700,533.4,7.660841,552.0,64,2500
wd2500_wt0750_mw120pcf,4268.037700,533.4,14.364078,552.0,120,2500
wd2500_wt1000_mw064pcf,5011.932937,533.4,7.660841,552.0,64,2500
wd2500_wt1000_mw120pcf,5011.932937,533.4,14.364078,552.0,120,2500
wd5000_wt1000_mw064pcf,5279.855586,533.4,15.321683,552.0,64,5000
wd5000_wt1000_mw120pcf,5279.855586,533.4,28.728155,552.0,120,5000
wd8000_wt1000_mw064pcf,6597.233445,533.4,24.514693,552.0,64,8000
wd8000_wt1000_mw120pcf,6597.233445,533.4,45.965049,552.0,120,8000
wd10000_wt1000_mw064pcf,7937.524579,533.4,30.643366,552.0,64,10000
wd10000_wt1000_mw120pcf,7937.524579,533.4,57.456311,552.0,120,10000
