# provenance: previous project reference
# extraction_date: 2026-07-29
# schema: source_catalog,source_identifier,source_row,manufacturer_key,model_key,geometry_code,gearbox_rating_raw,beam_rating_raw,max_stroke_length_raw,dimensional_a_raw,dimensional_c_raw,dimensional_i_raw,dimensional_k_raw,dimensional_p_raw,stroke_length_pin_1_raw,stroke_length_pin_2_raw,stroke_length_pin_3_raw,stroke_length_pin_4_raw,stroke_length_pin_5_raw,stroke_length_pin_6_raw,stroke_length_pin_7_raw,stroke_length_pin_8_raw,radius_pin_1_raw,radius_pin_2_raw,radius_pin_3_raw,radius_pin_4_raw,radius_pin_5_raw,radius_pin_6_raw,radius_pin_7_raw,radius_pin_8_raw,structural_imbalance_raw,phase_angle_raw,counterbalance_effect_raw,air_balance_raw,air_balance_dimensional_d_raw,air_balance_dimensional_f_raw,air_balance_dimensional_h_raw
# units: explicit in unit-suffixed fields; surface values unverified_source_unit
source_catalog,source_identifier,source_row,manufacturer_key,model_key,geometry_code,gearbox_rating_raw,beam_rating_raw,max_stroke_length_raw,dimensional_a_raw,dimensional_c_raw,dimensional_i_raw,dimensional_k_raw,dimensional_p_raw,stroke_length_pin_1_raw,stroke_length_pin_2_raw,stroke_length_pin_3_raw,stroke_length_pin_4_raw,stroke_length_pin_5_raw,stroke_length_pin_6_raw,stroke_length_pin_7_raw,stroke_length_pin_8_raw,radius_pin_1_raw,radius_pin_2_raw,radius_pin_3_raw,radius_pin_4_raw,radius_pin_5_raw,radius_pin_6_raw,radius_pin_7_raw,radius_pin_8_raw,structural_imbalance_raw,phase_angle_raw,counterbalance_effect_raw,air_balance_raw,air_balance_dimensional_d_raw,air_balance_dimensional_f_raw,air_balance_dimensional_h_raw
surface_unit_catalog,,2,A,T5F30-5B-D16B,C,16,50,30,45,45,45,61,60,30,,,,,,,,12,0,0,0,0,0,0,0,240,0,0,0,0,0,0
surface_unit_catalog,,3,A,AMERICAN C-40-76-42 (CO36),C,40,76,42,63,54,54,76.9,56.87,41.89,,,,,,,,17.62,12.62,0,0,0,0,0,0,180,0,0,0,0,0,0
surface_unit_catalog,,4,A,AMER C-40-76-48  (C42/CO42/CO36),C,40,76,48,63,72,63,90.52,66.5,47.7,,,,,,,,20.5,15.5,10.5,0,0,0,0,0,160,0,0,0,0,0,0
surface_unit_catalog,,5,A,AMERICAN C-40-89-36 (CO36),C,40,89,36,54,54,54,76.9,56.87,35.91,,,,,,,,17.62,12.62,0,0,0,0,0,0,230,0,0,0,0,0,0
surface_unit_catalog,,6,A,AMERICAN C-40-89-42 (CO36),C,40,89,42,63,54,54,76.9,56.87,41.9,,,,,,,,17.62,12.62,0,0,0,0,0,0,180,0,0,0,0,0,0
surface_unit_catalog,,7,A,AMERICAN C-52-100-44,C,52,100,44,57.78,63.51,51,94.03,99,44,,,,,,,,22,17,12,0,0,0,0,0,565,0,0,0,0,0,0
surface_unit_catalog,,8,A,AMERICAN C-57-76-42 (CO36),C,57,76,42,63,54,54,76.9,56.87,41.9,,,,,,,,17.62,12.62,0,0,0,0,0,0,180,0,0,0,0,0,0
surface_unit_catalog,,9,A,AMERICAN C-57-76-48 (C42&CO42),C,57,76,48,63,72,63,90.52,66.5,47.7,,,,,,,,20.5,15.5,10.5,0,0,0,0,0,160,0,0,0,0,0,0
surface_unit_catalog,,10,A,AMERICAN C-57-76-54 (C48&C49),C,57,76,54,81,72,72,103.51,75.87,53.9,,,,,,,,23.5,18.5,13.5,0,0,0,0,0,160,0,0,0,0,0,0
surface_unit_catalog,,11,A,AMERICAN C-57-89-36 (CO36),C,57,89,36,54,54,54,77.44,56.88,35.91,,,,,,,,17.62,12.62,0,0,0,0,0,0,230,0,0,0,0,0,0
