# provenance: previous project reference
# extraction_date: 2026-07-29
# schema: source_row,rod_diameter_in,manufacturer,size,coupling_type,coupling_diameter_in,coupling_length_in,tensile_strength_psi,friction_coefficient
# units: explicit in unit-suffixed fields; surface values unverified_source_unit
source_row,rod_diameter_in,manufacturer,size,coupling_type,coupling_diameter_in,coupling_length_in,tensile_strength_psi,friction_coefficient
2,0.625,Generic,Full Size,Spray Metal,1.5,4,90000,0.2
3,0.75,Generic,Full Size,Spray Metal,1.625,4,90000,0.2
4,0.875,Generic,Full Size,Spray Metal,1.8125,4,90000,0.2
5,1,Generic,Full Size,Spray Metal,2.1875,4,90000,0.2
6,1.125,Generic,Full Size,Spray Metal,2.375,4,90000,0.2
7,0.625,Generic,Full Size,T Coupling,1.5,4,90000,0.3
8,0.75,Generic,Full Size,T Coupling,1.625,4,90000,0.3
9,0.875,Generic,Full Size,T Coupling,1.8125,4,90000,0.3
10,1,Generic,Full Size,T Coupling,2.1875,4,90000,0.3
11,1.125,Generic,Full Size,T Coupling,2.375,4,90000,0.3
12,0.625,Generic,Slimhole,Spray Metal,1.25,4,90000,0.2
13,0.75,Generic,Slimhole,Spray Metal,1.5,4,90000,0.2
14,0.875,Generic,Slimhole,Spray Metal,1.625,4,90000,0.2
15,1,Generic,Slimhole,Spray Metal,2,4,90000,0.2
16,0.625,Generic,Slimhole,T Coupling,1.25,4,90000,0.3
17,0.75,Generic,Slimhole,T Coupling,1.5,4,90000,0.3
18,0.875,Generic,Slimhole,T Coupling,1.625,4,90000,0.3
19,1,Generic,Slimhole,T Coupling,2,4,90000,0.3
20,0.625,Materion,Full Size,ToughMet 3,1.5,4,106000,0.2
21,0.75,Materion,Full Size,ToughMet 3,1.625,4,106000,0.2
22,0.875,Materion,Full Size,ToughMet 3,1.8125,4,106000,0.2
23,1,Materion,Full Size,ToughMet 3,2.1875,4,106000,0.2
24,1.125,Materion,Full Size,ToughMet 3,2.375,4,106000,0.2
25,0.625,Materion,Slimhole,ToughMet 3,1.25,4,106000,0.2
26,0.75,Materion,Slimhole,ToughMet 3,1.5,4,106000,0.2
27,0.875,Materion,Slimhole,ToughMet 3,1.625,4,106000,0.2
28,1,Materion,Slimhole,ToughMet 3,2,4,106000,0.2
29,0.75,N/A,N/A,Continuous Rod,0.75,,,
30,0.8125,N/A,N/A,Continuous Rod,0.8125,,,
31,0.875,N/A,N/A,Continuous Rod,0.875,,,
32,0.9375,N/A,N/A,Continuous Rod,0.9375,,,
33,1,N/A,N/A,Continuous Rod,1,,,
34,1.0625,N/A,N/A,Continuous Rod,1.0625,,,
35,1.125,N/A,N/A,Continuous Rod,1.125,,,
36,1.15625,N/A,N/A,Continuous Rod,1.15625,,,
37,0.625,Tenaris,Full Size,AlphaRod CS,1.5,4,90000,0.3
38,0.75,Tenaris,Full Size,AlphaRod CS,1.625,4,90000,0.3
39,0.875,Tenaris,Full Size,AlphaRod CS,1.8125,4,90000,0.3
40,1,Tenaris,Full Size,AlphaRod CS,2.1875,4,90000,0.3
41,1.125,Tenaris,Full Size,AlphaRod CS,2.375,4,90000,0.3
42,0.625,Tenaris,Full Size,AlpharRod HS,1.5,4,130000,0.3
43,0.75,Tenaris,Full Size,AlpharRod HS,1.625,4,130000,0.3
44,0.875,Tenaris,Full Size,AlpharRod HS,1.8125,4,130000,0.3
45,1,Tenaris,Full Size,AlpharRod HS,2.1875,4,130000,0.3
46,1.125,Tenaris,Full Size,AlpharRod HS,2.375,4,130000,0.3
47,0.625,Tenaris,Full Size,Spray Metal,1.5,4,90000,0.2
48,0.75,Tenaris,Full Size,Spray Metal,1.625,4,90000,0.2
49,0.875,Tenaris,Full Size,Spray Metal,1.8125,4,90000,0.2
50,1,Tenaris,Full Size,Spray Metal,2.1875,4,90000,0.2
51,1.125,Tenaris,Full Size,Spray Metal,2.375,4,90000,0.2
52,0.625,Tenaris,Full Size,T Coupling,1.5,4,90000,0.3
53,0.75,Tenaris,Full Size,T Coupling,1.625,4,90000,0.3
54,0.875,Tenaris,Full Size,T Coupling,1.8125,4,90000,0.3
55,1,Tenaris,Full Size,T Coupling,2.1875,4,90000,0.3
56,1.125,Tenaris,Full Size,T Coupling,2.375,4,90000,0.3
57,0.625,Tenaris,Full Size,UHS,1.5,4,130000,0.3
58,0.75,Tenaris,Full Size,UHS,1.625,4,130000,0.3
59,0.875,Tenaris,Full Size,UHS,1.8125,4,130000,0.3
60,1,Tenaris,Full Size,UHS,2.1875,4,130000,0.3
61,1.125,Tenaris,Full Size,UHS,2.375,4,130000,0.3
62,0.625,Tenaris,Slimhole,AlphaRod CS,1.25,4,90000,0.3
63,0.75,Tenaris,Slimhole,AlphaRod CS,1.5,4,90000,0.3
64,0.875,Tenaris,Slimhole,AlphaRod CS,1.625,4,90000,0.3
65,1,Tenaris,Slimhole,AlphaRod CS,2,4,90000,0.3
66,0.625,Tenaris,Slimhole,AlpharRod HS,1.25,4,130000,0.3
67,0.75,Tenaris,Slimhole,AlpharRod HS,1.5,4,130000,0.3
68,0.875,Tenaris,Slimhole,AlpharRod HS,1.625,4,130000,0.3
69,1,Tenaris,Slimhole,AlpharRod HS,2,4,130000,0.3
70,0.625,Tenaris,Slimhole,Spray Metal,1.25,4,90000,0.2
71,0.75,Tenaris,Slimhole,Spray Metal,1.5,4,90000,0.2
72,0.875,Tenaris,Slimhole,Spray Metal,1.625,4,90000,0.2
73,1,Tenaris,Slimhole,Spray Metal,2,4,90000,0.2
74,0.625,Tenaris,Slimhole,T Coupling,1.25,4,90000,0.3
75,0.75,Tenaris,Slimhole,T Coupling,1.5,4,90000,0.3
76,0.875,Tenaris,Slimhole,T Coupling,1.625,4,90000,0.3
77,1,Tenaris,Slimhole,T Coupling,2,4,90000,0.3
78,0.625,Tenaris,Slimhole,UHS,1.25,4,130000,0.3
79,0.75,Tenaris,Slimhole,UHS,1.5,4,130000,0.3
80,0.875,Tenaris,Slimhole,UHS,1.625,4,130000,0.3
81,1,Tenaris,Slimhole,UHS,2,4,130000,0.3
82,0.625,Weatherford,Full Size,Hi-T,1.5,4,130000,0.3
83,0.75,Weatherford,Full Size,Hi-T,1.625,4,130000,0.3
84,0.875,Weatherford,Full Size,Hi-T,1.8125,4,130000,0.3
85,1,Weatherford,Full Size,Hi-T,2.1875,4,130000,0.3
86,1.125,Weatherford,Full Size,Hi-T,2.375,4,130000,0.3
87,0.625,Weatherford,Full Size,Hi-T Spray Metal,1.5,4,130000,0.2
88,0.75,Weatherford,Full Size,Hi-T Spray Metal,1.625,4,130000,0.2
89,0.875,Weatherford,Full Size,Hi-T Spray Metal,1.8125,4,130000,0.2
90,1,Weatherford,Full Size,Hi-T Spray Metal,2.1875,4,130000,0.2
91,1.125,Weatherford,Full Size,Hi-T Spray Metal,2.375,4,130000,0.2
92,0.625,Weatherford,Full Size,Spray Metal,1.5,4,90000,0.2
93,0.75,Weatherford,Full Size,Spray Metal,1.625,4,90000,0.2
94,0.875,Weatherford,Full Size,Spray Metal,1.8125,4,90000,0.2
95,1,Weatherford,Full Size,Spray Metal,2.1875,4,90000,0.2
96,1.125,Weatherford,Full Size,Spray Metal,2.375,4,90000,0.2
97,0.625,Weatherford,Full Size,T Coupling,1.5,4,90000,0.3
98,0.75,Weatherford,Full Size,T Coupling,1.625,4,90000,0.3
99,0.875,Weatherford,Full Size,T Coupling,1.8125,4,90000,0.3
100,1,Weatherford,Full Size,T Coupling,2.1875,4,90000,0.3
101,1.125,Weatherford,Full Size,T Coupling,2.375,4,90000,0.3
102,0.625,Weatherford,Slimhole,Hi-T,1.25,4,130000,0.3
103,0.75,Weatherford,Slimhole,Hi-T,1.5,4,130000,0.3
104,0.875,Weatherford,Slimhole,Hi-T,1.625,4,130000,0.3
105,1,Weatherford,Slimhole,Hi-T,2,4,130000,0.3
106,0.625,Weatherford,Slimhole,Hi-T Spray Metal,1.25,4,130000,0.2
107,0.75,Weatherford,Slimhole,Hi-T Spray Metal,1.5,4,130000,0.2
108,0.875,Weatherford,Slimhole,Hi-T Spray Metal,1.625,4,130000,0.2
109,1,Weatherford,Slimhole,Hi-T Spray Metal,2,4,130000,0.2
110,0.625,Weatherford,Slimhole,Spray Metal,1.25,4,90000,0.2
111,0.75,Weatherford,Slimhole,Spray Metal,1.5,4,90000,0.2
112,0.875,Weatherford,Slimhole,Spray Metal,1.625,4,90000,0.2
113,1,Weatherford,Slimhole,Spray Metal,2,4,90000,0.2
114,0.625,Weatherford,Slimhole,T Coupling,1.25,4,90000,0.3
115,0.75,Weatherford,Slimhole,T Coupling,1.5,4,90000,0.3
116,0.875,Weatherford,Slimhole,T Coupling,1.625,4,90000,0.3
117,1,Weatherford,Slimhole,T Coupling,2,4,90000,0.3
