calculation_mode,speed_kn,speed_m_s,rudder_angle_deg,rotation_case,prop_rotation_factor,base_force_N,transverse_force_N,normal_force_N,workbook_force_for_yaw_moment,yaw_moment_mt_m,yaw_moment_kN_m,lever_arm_m,lever_mapping
workbook_regression,0.0,0.0,-5.0,port,1.065,0.0,-0.0,-0.0,Fn,-0.0,-0.0,135.3,legacy_barrass_0_6_lbp
workbook_regression,0.0,0.0,-5.0,stbd,0.935,0.0,-0.0,-0.0,Fn,-0.0,-0.0,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,0.0,0.0,-5.0,not_applicable,,,-0.0,-0.0,not_applicable,0.0,0.0,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,0.0,0.0,-2.0,port,1.065,0.0,-0.0,-0.0,Fn,-0.0,-0.0,135.3,legacy_barrass_0_6_lbp
workbook_regression,0.0,0.0,-2.0,stbd,0.935,0.0,-0.0,-0.0,Fn,-0.0,-0.0,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,0.0,0.0,-2.0,not_applicable,,,-0.0,-0.0,not_applicable,0.0,0.0,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,0.0,0.0,-1.0,port,1.065,0.0,-0.0,-0.0,Fn,-0.0,-0.0,135.3,legacy_barrass_0_6_lbp
workbook_regression,0.0,0.0,-1.0,stbd,0.935,0.0,-0.0,-0.0,Fn,-0.0,-0.0,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,0.0,0.0,-1.0,not_applicable,,,-0.0,-0.0,not_applicable,0.0,0.0,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,0.0,0.0,0.0,port,1.065,0.0,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
workbook_regression,0.0,0.0,0.0,stbd,0.935,0.0,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,0.0,0.0,0.0,not_applicable,,,0.0,0.0,not_applicable,-0.0,-0.0,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
workbook_regression,0.0,0.0,1.0,port,1.065,0.0,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
workbook_regression,0.0,0.0,1.0,stbd,0.935,0.0,0.0,0.0,Fn,0.0,0.0,135.3,legacy_barrass_0_6_lbp
digitalmodel_static_yaw,0.0,0.0,1.0,not_applicable,,,0.0,0.0,not_applicable,-0.0,-0.0,-135.3,legacy_0_6_lbp_mapped_for_comparison_only
