Drilling Company,Name,Conventional Mooring,Dynamically Positioned,Vessel Type,VESSEL DESIGN,CONSTRUCTION DATE,UPGRADE DATE,CLASSIFICATION,Maximum Water Depth Equipped,Maximum Water Depth Rating,MAXIMUM DRILLING DEPTH,CURRENT CONTRACT,AREA OF OPERATION,TOTAL VESSEL POWER,MAX. VESSEL SPEED,QUARTERS CAPACITY,LENGTH,Width,TRANSIT DRAFT,OPERATING DRAFT,MAX. VARIABLE LOAD,MOONPOOL SIZE,D.P. RATING (if applicable),THRUSTERS
ATWOOD,ATWOOD EAGLE,Yes,No,SS,Korkut New Era,1982,2002,ABS,5000,5000,25000,3Q/16,Australia,7800,-,120,325,200,24,55,4500,20x40,,
ATWOOD,ATWOOD FALCON,Yes,No,SS,Korkut New Era,1983,2011,ABS,5000,5000,25000,3Q/16,Australia,7800,-,122,325,226,24,55,4400,20x40,,
ATWOOD,ATWOOD HUNTER,Yes,No,SS,Korkut New Era,1981,2001,ABS,5000,5000,25000,-,West,8050,-,120,290,246.7,24,55,3630,20x40,,
ATWOOD,ATWOOD OSPREY,Yes,No,SS,F&G ExD Millennium,2011,-,ABS,8200,8200,32000,2Q/17,Australia,-,-,200,354,244,27.4,55.7,7000,-,,
OCEAN,OCEAN AMERICA,Yes,No,SS,Odyssey,1988,2004,ABS,5500,5500,30000,2Q/15,Australia,18120,-,123,401,259,27,80,7835,21x44,-,
OCEAN,OCEAN APEX,Yes,No,SS,Enhanced Victory/Crucifix Form,2014,-,ABS,5000,6000,30000,1Q/15,Vietnam,12000,4.5,140,328,320,46,74,7000,41x81,,
OCEAN,OCEAN BARONESS,Yes,No,SS,Victory,1973,2001,ABS,7000,8000,35000,3Q/15,Brazil,12940,4,138,324,327,42,74.5,5500,91x25,-,
OCEAN,OCEAN ENDEAVOR,Yes,No,SS,Victory,1975,2007,ABS,8000,10000,35000,4Q/15,Italy,12940,4,140,324,327,42,74.5,6000,91x25,-,-
OCEAN,OCEAN MONARCH,Yes,No,SS,Victory,1974,2008,ABS,8000,10000,35000,1Q/15,SEAsia,12940,4,150,324,327,42,74.5,6000,91x25,-,-
OCEAN,OCEAN ONYX,Yes,No,SS,Victory,2013,-,ABS,6000,-,30000,1Q/15,GoM,10750,4,140,327,315,42,74.5,5600,41x81,-,
