stress_range_mpa,cycles_annual,stress_corrected_mpa,cycles_to_failure,damage_per_bin,damage_rate_per_year
2.836507658,11406980.0,3.2619838066999995,inf,0.0,0.0
8.509522975,0.0,9.78595142125,inf,0.0,0.0
14.18253829,0.0,16.309919033499998,inf,0.0,0.0
19.85555361,0.0,22.8338866515,inf,0.0,0.0
25.52856892,0.0,29.357854258,inf,0.0,0.0
31.20158424,0.0,35.881821876,inf,0.0,0.0
36.87459956,0.0,42.405789494,inf,0.0,0.0
42.54761487,0.0,48.92975710049999,7636919.077626498,0.0,0.0
48.22063019,0.0,55.4537247185,5246204.331482849,0.0,0.0
53.89364551,0.0,61.97769233649999,3757778.375202132,0.0,0.0
59.56666082,0.0,68.50165994299999,2783133.77436489,0.0,0.0
65.23967614,0.0,75.025627561,2118402.3900614837,0.0,0.0
70.91269146,0.0,81.549595179,1649574.5200694625,0.0,0.0
76.58570677,0.0,88.0735627855,1309485.4383453184,0.0,0.0
82.25872209,0.0,94.5975304035,1056812.5744995428,0.0,0.0
87.93173741,0.0,101.12149802149999,865180.8222764276,0.0,0.0
93.60475272,0.0,107.64546562799998,717216.2919006341,0.0,0.0
99.27776804,0.0,114.16943324599998,601156.8951417097,0.0,0.0
104.9507834,0.0,120.69340091,508846.50163276057,0.0,0.0
110.6237987,0.0,127.21736850499998,434508.3676465918,0.0,0.0
116.2968139,0.0,133.741335985,373973.12776730367,0.0,0.0
121.9698291,0.0,140.265303465,324180.28613804356,0.0,0.0
127.64284430000002,0.0,146.78927094500003,282848.8567877312,0.0,0.0
133.31585950000004,0.0,153.31323842500004,248255.22412251,0.0,0.0
138.98887470000005,0.0,159.83720590500005,219080.50377411413,0.0,0.0
144.66188990000006,0.0,166.36117338500006,194303.86682874325,0.0,0.0
150.33490510000007,0.0,172.88514086500007,173126.82472840918,0.0,0.0
156.00792030000008,0.0,179.40910834500008,154918.7217316859,0.0,0.0
161.6809355000001,0.0,185.9330758250001,139176.97951924888,0.0,0.0
167.3539507000001,0.0,192.4570433050001,125497.75003966088,0.0,0.0
173.0269659000001,0.0,198.9810107850001,113554.0086625652,0.0,0.0
178.69998110000012,0.0,205.50497826500012,103079.0310336362,0.0,0.0
184.37299630000007,0.0,212.02894574500007,93853.8097532623,0.0,0.0
190.04601150000013,0.0,218.55291322500014,85697.38475904091,0.0,0.0
195.71902670000011,0.0,225.07688070500012,78459.34984858266,0.0,0.0
201.39204190000012,0.0,231.60084818500013,72013.99952782787,0.0,0.0
207.06505710000016,0.0,238.12481566500017,66255.72303832072,0.0,0.0
212.73807230000017,0.0,244.64878314500018,61095.35438720461,0.0,0.0
218.41108750000015,0.0,251.17275062500016,56457.26081973409,0.0,0.0
224.0841027000002,0.0,257.6967181050002,52277.005823940985,0.0,0.0
229.7571179000002,0.0,264.2206855850002,48499.46220563787,0.0,0.0
235.4301331000002,0.0,270.7446530650002,45077.28002329241,0.0,0.0
241.1031483000002,0.0,277.2686205450002,41969.63603574591,0.0,0.0
246.77616350000025,0.0,283.79258802500027,39141.20778099644,0.0,0.0
252.44917870000023,0.0,290.3165555050002,36561.32789328939,0.0,0.0
258.12219390000024,0.0,296.84052298500023,34203.28380350013,0.0,0.0
263.79520910000025,0.0,303.36449046500024,32043.73529900837,0.0,0.0
269.46822430000026,0.0,309.88845794500025,30062.228089339704,0.0,0.0
275.14123950000027,0.0,316.41242542500027,28240.785935056276,0.0,0.0
280.8142547000003,0.0,322.9363929050003,26563.56734858405,0.0,0.0
TOTAL,11406980.0,-,-,0.0,0.0
