feature,config_registry,database_manager,validation_pipeline,data_catalog,data_provenance,excel_migration
Auto-Discovery,Yes,No,No,Yes,No,Yes
Caching,Yes,No,Yes,No,No,No
Parallel Execution,No,Yes,Yes,No,No,No
Environment Overrides,Yes,Yes,No,No,No,No
Connection Pooling,No,Yes,No,No,No,No
HA Failover,No,Yes,No,No,No,No
Retry Logic,No,Yes,No,No,No,No
Schema Validation,Yes,No,Yes,Yes,No,Yes
Provenance Tracking,No,No,No,No,Yes,No
Version Tracking,No,No,No,Yes,Yes,No
HTML Reporting,No,No,Yes,No,No,No
JSON/YAML Export,Yes,No,No,Yes,Yes,Yes
Hot Reload,Yes,No,No,No,No,No
Metrics Tracking,No,Yes,Yes,No,No,No
Rollback Support,No,No,No,No,No,Yes
