component,metric,value,unit,benchmark
Config Registry,Config Load Time,0.025,seconds,< 0.1s
Config Registry,Cache Hit Rate,92.5,percent,> 90%
Database Manager,Connection Pool Size,20,connections,15-20
Database Manager,Avg Connection Time,0.045,seconds,< 0.1s
Database Manager,Retry Success Rate,98.2,percent,> 95%
Validation Pipeline,Validation Throughput,125000,records/sec,> 100k/sec
Validation Pipeline,Parallel Speedup,3.2,x,2-4x
Validation Pipeline,Cache Latency,0.002,seconds,< 0.01s
Data Catalog,Discovery Time,0.350,seconds,< 1s
Data Catalog,Load Time (10k rows),0.420,seconds,< 1s
Data Provenance,Hash Calculation (1MB),0.008,seconds,< 0.1s
Data Provenance,Graph Depth,5,levels,< 10
Excel to Parquet,Conversion Speed,8.5,MB/sec,> 5 MB/sec
Excel to Parquet,Compression Ratio,2.98,x,2-5x
Excel to Parquet,Validation Time,0.150,seconds,< 1s
