configuration,strut,location,total_damage_rate,fatigue_life_years,critical_fc,critical_fc_contribution
fsts_l015,1,loc02,9.535810612465889e-06,104867.85451597885,FC075,94.39242095499229
fsts_l015,1,loc03,1.2497392768587603e-07,8001668.976216512,FC075,100.0
fsts_l015,1,loc05,0.000222955357573498,4485.202826625714,FC075,51.463453852409
fsts_l015,1,loc06,0.00039032289788235974,2561.981388807459,FC075,40.90959820407464
fsts_l015,1,loc07,0.0002504237574548734,3993.2313537792074,FC075,51.46345385287401
fsts_l015,1,loc09,0.0011317073392700912,883.6206723241386,FC063,34.92251444470537
fsts_l015,1,loc10,0.0005326355564041381,1877.4563357186923,FC075,40.909598205154055
fsts_l015,2,loc02,5.0370082828393025e-06,198530.54508703563,FC075,100.0
fsts_l015,2,loc03,5.803034515474801e-08,17232363.47006598,FC075,100.0
fsts_l015,2,loc05,0.00010727996129930584,9321.4053014994,FC075,79.18531664687144
fsts_l015,2,loc06,0.00018313446406342343,5460.468651349417,FC075,66.16276009683946
fsts_l015,2,loc07,0.00012049699679655471,8298.962020508981,FC075,79.18531664726162
fsts_l015,2,loc09,0.0005173708019986657,1932.8497010980898,FC075,52.68419712731153
fsts_l015,2,loc10,0.00024990572597166226,4001.508953473894,FC075,66.16276009678495
fsts_l015,3,loc02,2.739217815093312e-06,365067.7191459252,FC075,100.0
fsts_l015,3,loc03,0.0,inf,FC001,0.0
fsts_l015,3,loc05,8.124585197795441e-05,12308.32067920642,FC075,71.45898286003397
fsts_l015,3,loc06,0.00014920077873237567,6702.3778863360985,FC075,58.95032434422617
fsts_l015,3,loc07,9.12554501976202e-05,10958.249593141325,FC075,71.45898286064144
fsts_l015,3,loc09,0.0004595733770131622,2175.931091785937,FC075,44.19607503361664
fsts_l015,3,loc10,0.0002035997381196966,4911.597673136978,FC075,58.95032434306391
fsts_l015,4,loc02,3.212068616430252e-06,311325.85240702453,FC075,100.0
fsts_l015,4,loc03,0.0,inf,FC001,0.0
fsts_l015,4,loc05,7.37680713291149e-05,13556.000339747508,FC075,89.20309654774165
fsts_l015,4,loc06,0.00012095715588646169,8267.3901570459,FC075,79.66821807546502
fsts_l015,4,loc07,8.285639691851067e-05,12069.07417158751,FC075,89.20309654744602
fsts_l015,4,loc09,0.0003280287668448707,3048.5131216339746,FC075,66.77191719152061
fsts_l015,4,loc10,0.00016505842310255862,6058.460884353975,FC075,79.6682180759948
fsts_l015,5,loc02,4.5675106667059516e-05,21893.763867686623,FC075,84.57579356210525
fsts_l015,5,loc03,1.5063901625752802e-06,663838.6421021427,FC075,100.0
fsts_l015,5,loc05,0.0006477100177526831,1543.900777495513,FC075,45.360524350798975
fsts_l015,5,loc06,0.001041936251417892,959.7516149756532,FC075,37.604724329470415
fsts_l015,5,loc07,0.0007275087631263309,1374.553889499131,FC075,45.36052436454793
fsts_l015,5,loc09,0.0027847579044987937,359.0976430606387,FC063,31.419341464818935
fsts_l015,5,loc10,0.0014218286911855966,703.319609598078,FC075,37.604724333352905
fsts_l015,6,loc02,8.207969437294141e-07,1218328.1232217434,FC075,100.0
fsts_l015,6,loc03,0.0,inf,FC001,0.0
fsts_l015,6,loc05,3.246133308533807e-05,30805.882105059747,FC075,92.44490540363681
fsts_l015,6,loc06,6.125488653298664e-05,16325.228183411713,FC075,80.79866845088428
fsts_l015,6,loc07,3.6460612973208284e-05,27426.856502242914,FC075,92.4449054036859
fsts_l015,6,loc09,0.00017557911909600913,5695.43807457643,FC075,69.29692947498137
fsts_l015,6,loc10,8.358856410124233e-05,11963.358992371272,FC075,80.79866845236577
fsts_l015,7,loc02,4.868517660373956e-06,205401.32947226262,FC075,100.0
fsts_l015,7,loc03,5.803034515474801e-08,17232363.47006598,FC075,100.0
fsts_l015,7,loc05,0.00010781415452008215,9275.219978780557,FC075,73.16291968958264
fsts_l015,7,loc06,0.00018036354569525603,5544.357625845356,FC075,63.17769630511303
fsts_l015,7,loc07,0.00012109700333904364,8257.84265858529,FC075,73.16291969008127
fsts_l015,7,loc09,0.000535048904719298,1868.988033018456,FC075,47.89377160579861
fsts_l015,7,loc10,0.0002461245241673606,4062.9839849685873,FC075,63.17769630445359
fsts_l015,8,loc02,0.0,inf,FC001,0.0
fsts_l015,8,loc03,0.0,inf,FC001,0.0
fsts_l015,8,loc05,6.8823565453212e-08,14529906.920905244,FC075,100.0
fsts_l015,8,loc06,8.978407592512801e-08,11137832.513127513,FC075,100.0
fsts_l015,8,loc07,7.7302721274948e-08,12936155.202651016,FC075,100.0
fsts_l015,8,loc09,1.583034774081546e-06,631698.0627163958,FC075,59.59247816847469
fsts_l015,8,loc10,1.2251956395141598e-07,8161961.794089806,FC075,100.0
fsts_l015_125km3_l100_pb,1,loc02,0.0,inf,FC001,0.0
fsts_l015_125km3_l100_pb,1,loc03,0.0,inf,FC001,0.0
fsts_l015_125km3_l100_pb,1,loc05,1.263539485351486e-06,791427.5822744267,FC075,96.36874213265725
fsts_l015_125km3_l100_pb,1,loc06,6.609781003263498e-06,151290.94284761662,FC075,59.40203008022523
fsts_l015_125km3_l100_pb,1,loc07,1.419209249086188e-06,704617.730362093,FC075,96.36874213229551
fsts_l015_125km3_l100_pb,1,loc09,3.430833105933907e-05,29147.439386381633,FC075,43.18704807148793
fsts_l015_125km3_l100_pb,1,loc10,9.019722904012294e-06,110868.1509001972,FC075,59.40203008374504
fsts_l015_125km3_l100_pb,2,loc02,0.0,inf,FC001,0.0
fsts_l015_125km3_l100_pb,2,loc03,0.0,inf,FC001,0.0
fsts_l015_125km3_l100_pb,2,loc05,9.67206624305218e-06,103390.52430687587,FC075,78.34865054674435
fsts_l015_125km3_l100_pb,2,loc06,2.2446422459891744e-05,44550.5292340837,FC075,67.91008793629153
fsts_l015_125km3_l100_pb,2,loc07,1.0863677810818333e-05,92049.85801439859,FC075,78.34865054692555
fsts_l015_125km3_l100_pb,2,loc09,8.676366978856426e-05,11525.561360381776,FC075,51.82473736984191
fsts_l015_125km3_l100_pb,2,loc10,3.063044156739161e-05,32647.2603341303,FC075,67.91008793807028
fsts_l015_125km3_l100_pb,3,loc02,1.42298462778648e-07,7027482.802506077,FC075,76.34313210872492
fsts_l015_125km3_l100_pb,3,loc03,0.0,inf,FC001,0.0
fsts_l015_125km3_l100_pb,3,loc05,1.7395378785437737e-05,57486.532045920954,FC075,31.633957916523904
fsts_l015_125km3_l100_pb,3,loc06,3.936009743489388e-05,25406.44117190296,FC075,21.901452240091537
fsts_l015_125km3_l100_pb,3,loc07,1.9538512843978332e-05,51180.967967487595,FC075,31.633957916301675
fsts_l015_125km3_l100_pb,3,loc09,0.00014838134451930493,6739.391688622261,FC063,20.3787368194111
fsts_l015_125km3_l100_pb,3,loc10,5.37108827348041e-05,18618.20080182764,FC075,21.901452240263453
fsts_l015_125km3_l100_pb,4,loc02,4.267926792843599e-06,234305.7996394845,FC075,99.51606029424717
fsts_l015_125km3_l100_pb,4,loc03,0.0,inf,FC001,0.0
fsts_l015_125km3_l100_pb,4,loc05,7.384318701111901e-05,13542.210737050447,FC075,76.3658685354045
fsts_l015_125km3_l100_pb,4,loc06,0.00012228576364962026,8177.566792363939,FC075,66.69030014166565
fsts_l015_125km3_l100_pb,4,loc07,8.294076694967604e-05,12056.797118921577,FC075,76.36586853570503
fsts_l015_125km3_l100_pb,4,loc09,0.0003455731807594778,2893.743078679504,FC075,53.88049940010197
fsts_l015_125km3_l100_pb,4,loc10,0.00016687144441089371,5992.637047820255,FC075,66.69030013944123
fsts_l015_125km3_l100_pb,5,loc02,0.00013428404415052108,7446.9011290655235,FC075,80.17182237579914
fsts_l015_125km3_l100_pb,5,loc03,1.0387422796994874e-05,96270.27026273584,FC075,99.7994787700981
fsts_l015_125km3_l100_pb,5,loc05,0.00154143212130894,648.7473474672557,FC075,40.963009260637584
fsts_l015_125km3_l100_pb,5,loc06,0.0023574542849861884,424.1863803547133,FC075,35.23848834397174
fsts_l015_125km3_l100_pb,5,loc07,0.0017313386334680825,577.5877582058445,FC075,40.96300932795002
fsts_l015_125km3_l100_pb,5,loc09,0.005676554140091428,176.1632101660698,FC075,31.23494771774038
fsts_l015_125km3_l100_pb,5,loc10,0.0032169877352344702,310.8498018339865,FC075,35.2384883711889
fsts_l015_125km3_l100_pb,6,loc02,3.422326311836262e-06,292198.90474542335,FC075,98.03272065352525
fsts_l015_125km3_l100_pb,6,loc03,0.0,inf,FC001,0.0
fsts_l015_125km3_l100_pb,6,loc05,7.372264550819369e-05,13564.353165932684,FC075,78.59597521041894
fsts_l015_125km3_l100_pb,6,loc06,0.00011903411399328931,8400.953024746974,FC075,71.34234233240284
fsts_l015_125km3_l100_pb,6,loc07,8.280537457468139e-05,12076.51079578306,FC075,78.59597521053603
fsts_l015_125km3_l100_pb,6,loc09,0.00032983240492125935,3031.8427937325605,FC075,59.36046611340827
fsts_l015_125km3_l100_pb,6,loc10,0.00016243423555121347,6156.337650166812,FC075,71.34234233125389
fsts_l015_125km3_l100_pb,7,loc02,2.6787367230076215e-05,37331.02963837461,FC075,99.7872145402322
fsts_l015_125km3_l100_pb,7,loc03,8.59829345292774e-07,1163021.4826635134,FC075,100.0
fsts_l015_125km3_l100_pb,7,loc05,0.00030681932923961507,3259.247070509809,FC075,71.34394172213311
fsts_l015_125km3_l100_pb,7,loc06,0.000504812811402047,1980.932292947637,FC075,58.420545288391914
fsts_l015_125km3_l100_pb,7,loc07,0.00034461988328182903,2901.747834387731,FC075,71.34394172927585
fsts_l015_125km3_l100_pb,7,loc09,0.001372776481287697,728.4507082041325,FC075,46.543408267765884
fsts_l015_125km3_l100_pb,7,loc10,0.0006888687651708503,1451.6553087611458,FC075,58.42054528935385
fsts_l015_125km3_l100_pb,8,loc02,0.0,inf,FC001,0.0
fsts_l015_125km3_l100_pb,8,loc03,0.0,inf,FC001,0.0
fsts_l015_125km3_l100_pb,8,loc05,1.0721386007219881e-06,932715.2285409654,FC075,87.16144248386513
fsts_l015_125km3_l100_pb,8,loc06,4.652163003536908e-06,214953.77510197478,FC075,68.08227559664421
fsts_l015_125km3_l100_pb,8,loc07,1.2042275181312839e-06,830407.8630853716,FC075,87.16144248307728
fsts_l015_125km3_l100_pb,8,loc09,2.540666323367297e-05,39359.75341597161,FC075,50.191520385775654
fsts_l015_125km3_l100_pb,8,loc10,6.348352718007605e-06,157521.17823627233,FC075,68.08227559894266
fsts_l095,1,loc02,7.3152185084074445e-06,136701.31642010302,FC075,100.0
fsts_l095,1,loc03,2.65849930516626e-06,376152.06370627997,FC075,100.0
fsts_l095,1,loc05,4.522068670746443e-05,22113.772983348645,FC075,93.04338589055344
fsts_l095,1,loc06,2.2548380023779723e-05,44349.084011596,FC075,97.3889194073943
fsts_l095,1,loc07,2.2233211890717058e-05,44977.75692128072,FC075,97.38891940698853
fsts_l095,1,loc09,7.219832455908862e-05,13850.736926472291,FC075,88.89952629465944
fsts_l095,1,loc10,5.896553303500498e-05,16959.059785084086,FC075,88.89952629366627
fsts_l095,2,loc02,3.5735100084441663e-06,279836.9103869894,FC075,100.0
fsts_l095,2,loc03,1.162930158384114e-06,859896.8672284631,FC075,100.0
