Range (kN),Mean (kN),Cycles_TimeTrace,Cycles_Annual,Bin_Number,Damage_Contribution
2.801418864758517,188.07507437482792,1.0,315675.6756756757,1,0.0
4.267732175043818,203.5848729581343,1.0,315675.6756756757,1,0.0
38.40618128842641,191.7506289557308,0.5,157837.83783783784,2,0.0
16.839138887704223,211.45914408392952,1.0,315675.6756756757,1,0.0
12.647875358320618,211.95906407772154,1.0,315675.6756756757,1,0.0
14.424942012171016,206.5070883620227,1.0,315675.6756756757,1,0.0
2.3606513320704607,204.31736854488884,1.0,315675.6756756757,1,0.0
33.014085002624995,210.3590119611271,1.0,315675.6756756757,2,0.0
39.45038559216246,203.9231375524269,1.0,315675.6756756757,2,0.0
28.695173564119756,200.34016054779414,1.0,315675.6756756757,2,0.0
10.863114237355092,208.84516261219716,1.0,315675.6756756757,1,0.0
68.43896444484795,207.8278921500761,1.0,315675.6756756757,4,0.0
79.81386209873881,212.454469360887,0.5,157837.83783783784,4,0.0
15.341213368402919,173.91898464105418,1.0,315675.6756756757,1,0.0
7.2483272480626795,175.75096842274405,1.0,315675.6756756757,1,0.0
15.950623779869261,173.0291962645908,1.0,315675.6756756757,1,0.0
57.02819247541055,189.41604119127516,1.0,315675.6756756757,3,0.0
11.21429169459185,174.81091516987308,1.0,315675.6756756757,1,0.0
44.147221446071,182.7951332955968,1.0,315675.6756756757,3,0.0
3.6791744927419074,165.83514139287013,1.0,315675.6756756757,1,0.0
26.5244010848929,167.29301028326984,1.0,315675.6756756757,2,0.0
1.0562391484777436,153.40573852654435,1.0,315675.6756756757,1,0.0
4.616007749289196,156.3436268077287,1.0,315675.6756756757,1,0.0
21.60572942060128,163.66955647392655,1.0,315675.6756756757,2,0.0
22.180852325265505,175.14219154338662,1.0,315675.6756756757,2,0.0
7.837337538926732,187.97217201232974,1.0,315675.6756756757,1,0.0
2.771129537335071,153.10052671901192,1.0,315675.6756756757,1,0.0
9.758600958129335,183.41683185636037,1.0,315675.6756756757,1,0.0
13.506853457285956,183.21473926016301,1.0,315675.6756756757,1,0.0
12.64821616940435,189.4365050593695,1.0,315675.6756756757,1,0.0
55.93675300798171,175.7299222276759,1.0,315675.6756756757,3,0.0
14.630830880320104,199.48233319817984,1.0,315675.6756756757,1,0.0
10.279566585870185,222.5696155065208,1.0,315675.6756756757,1,0.0
20.451966303637818,202.46269281142753,1.0,315675.6756756757,2,0.0
30.975548789090595,184.1443028443868,1.0,315675.6756756757,2,0.0
35.55649562510402,214.4262891322188,1.0,315675.6756756757,2,0.0
7.677064875707146,228.3737208319518,1.0,315675.6756756757,1,0.0
80.14770973329809,198.72040200110547,1.0,315675.6756756757,5,0.0
11.769307182227635,233.38464341685594,1.0,315675.6756756757,1,0.0
28.72406207514763,203.0283918015085,1.0,315675.6756756757,2,0.0
1.8001879537156071,188.44088109578428,1.0,315675.6756756757,1,0.0
16.989821315676608,195.74326441181336,1.0,315675.6756756757,1,0.0
0.08530322615948194,198.786098886189,1.0,315675.6756756757,1,0.0
11.72403457631279,206.79801837553322,1.0,315675.6756756757,1,0.0
15.932099711454299,206.44488894294523,1.0,315675.6756756757,1,0.0
10.747405718627334,189.3966300022807,1.0,315675.6756756757,1,0.0
20.498106774240796,173.628304298333,1.0,315675.6756756757,2,0.0
67.42771531114403,193.68096940850734,1.0,315675.6756756757,4,0.0
29.720848870714093,167.55668561070468,1.0,315675.6756756757,2,0.0
20.963265359327664,174.9444948706767,1.0,315675.6756756757,2,0.0
44.3270704774894,174.04093869966488,1.0,315675.6756756757,3,0.0
100.74127229846027,194.61198883051262,1.0,315675.6756756757,6,0.0
4.4088884511460265,154.15824031219603,1.0,315675.6756756757,1,0.0
7.051941210389003,152.974722485354,1.0,315675.6756756757,1,0.0
29.489306795071997,158.1263273072683,1.0,315675.6756756757,2,0.0
14.617653711971627,169.1870169204049,1.0,315675.6756756757,1,0.0
31.325397219994386,167.9733633717863,1.0,315675.6756756757,2,0.0
0.6796974457691931,158.20653663218718,1.0,315675.6756756757,1,0.0
27.825103294690507,163.16315200541817,1.0,315675.6756756757,2,0.0
40.273042321609864,166.10090519354796,1.0,315675.6756756757,3,0.0
45.26369807208857,167.83149570069776,1.0,315675.6756756757,3,0.0
9.594943433981541,174.72610808760967,1.0,315675.6756756757,1,0.0
4.392970296729459,202.41690546632046,1.0,315675.6756756757,1,0.0
6.300315448939443,204.98296871639357,1.0,315675.6756756757,1,0.0
44.57410579217009,189.06840193251455,1.0,315675.6756756757,3,0.0
3.261232308299469,203.43203545511903,1.0,315675.6756756757,1,0.0
14.211968735605211,206.50764266960988,1.0,315675.6756756757,1,0.0
25.85665568449616,202.92119138215983,1.0,315675.6756756757,2,0.0
58.086199660300764,198.31858766992156,1.0,315675.6756756757,3,0.0
14.762025739765704,214.59930889512682,1.0,315675.6756756757,1,0.0
