Filename,Total_Cycles,Max_Range_kN,Mean_Range_kN,Scale_Factor,Dominant_Freq_Hz,Dominant_Period_s
fsts_l015_125km3_l100_pb_FC001_Strut1_scaled_tension,326.0,159.32935162870348,27.174911077584753,315675.6756756757,0.1002004008016032,9.98
fsts_l015_125km3_l100_pb_FC001_Strut2_scaled_tension,324.0,149.08862719380426,29.2994617118229,315675.6756756757,0.1002004008016032,9.98
fsts_l015_125km3_l100_pb_FC001_Strut3_scaled_tension,335.0,142.82689827610017,27.655762415094365,315675.6756756757,0.1002004008016032,9.98
fsts_l015_125km3_l100_pb_FC001_Strut4_scaled_tension,330.0,163.0056353611221,28.658487036739682,315675.6756756757,0.1002004008016032,9.98
fsts_l015_125km3_l100_pb_FC001_Strut5_scaled_tension,321.0,149.1811340117343,28.773339686928523,315675.6756756757,0.1002004008016032,9.98
fsts_l015_125km3_l100_pb_FC001_Strut6_scaled_tension,319.0,141.18988771343226,28.058290077856334,315675.6756756757,0.1002004008016032,9.98
fsts_l015_125km3_l100_pb_FC001_Strut7_scaled_tension,326.5,143.62356256872164,28.256411902782062,315675.6756756757,0.1002004008016032,9.98
fsts_l015_125km3_l100_pb_FC001_Strut8_scaled_tension,323.0,136.63298423531822,28.527130001226386,315675.6756756757,0.1002004008016032,9.98
fsts_l095_FC009_Strut8_scaled_tension,326.0,464.2628376331523,97.77233318958771,315675.6756756757,0.1002004008016032,9.98
fsts_l095_FC010_Strut1_scaled_tension,335.0,1229.8281146671202,196.86602028217573,315675.6756756757,0.1002004008016032,9.98
fsts_l095_FC010_Strut2_scaled_tension,338.0,1214.6805569801927,204.70707437012106,315675.6756756757,0.1002004008016032,9.98
fsts_l095_FC010_Strut3_scaled_tension,338.0,1132.5019988450654,201.33512107869845,315675.6756756757,0.1002004008016032,9.98
fsts_l095_FC010_Strut4_scaled_tension,333.0,1130.9675737759344,207.33809645440135,315675.6756756757,0.1002004008016032,9.98
fsts_l095_FC010_Strut5_scaled_tension,325.0,1179.2257906756035,211.2956780434023,315675.6756756757,0.1002004008016032,9.98
fsts_l095_FC010_Strut6_scaled_tension,334.0,1023.5660849456801,197.12646927607472,315675.6756756757,0.1002004008016032,9.98
fsts_l095_FC010_Strut7_scaled_tension,326.5,998.4361156493682,206.99408343215399,315675.6756756757,0.1002004008016032,9.98
fsts_l095_FC010_Strut8_scaled_tension,324.0,1051.3468374134345,213.2979254872851,315675.6756756757,0.1002004008016032,9.98
