Range (kN),Mean (kN),Cycles_TimeTrace,Cycles_Annual,Bin_Number,Damage_Contribution
10.0,184.00091796507334,161.5,50981621.62162162,1,0.0
30.0,183.50044619158652,108.0,34092972.972972974,2,0.0
50.0,183.97694407219606,39.5,12469189.18918919,3,0.0
70.0,180.71735504072637,13.5,4261621.621621622,4,0.0
90.0,182.10527097446388,3.0,947027.027027027,5,0.0
110.0,186.45040930583025,5.0,1578378.3783783785,6,0.0
130.0,180.6813876360097,3.5,1104864.8648648649,7,0.0
150.0,182.36825464065035,1.0,315675.6756756757,8,0.0
170.0,0.0,0.0,0.0,9,0.0
190.0,0.0,0.0,0.0,10,0.0
210.0,0.0,0.0,0.0,11,0.0
230.0,0.0,0.0,0.0,12,0.0
250.0,0.0,0.0,0.0,13,0.0
270.0,0.0,0.0,0.0,14,0.0
290.0,0.0,0.0,0.0,15,0.0
310.0,0.0,0.0,0.0,16,0.0
330.0,0.0,0.0,0.0,17,0.0
350.0,0.0,0.0,0.0,18,0.0
370.0,0.0,0.0,0.0,19,0.0
390.0,0.0,0.0,0.0,20,0.0
410.0,0.0,0.0,0.0,21,0.0
430.0,0.0,0.0,0.0,22,0.0
450.0,0.0,0.0,0.0,23,0.0
470.0,0.0,0.0,0.0,24,0.0
490.0,0.0,0.0,0.0,25,0.0
510.0,0.0,0.0,0.0,26,0.0
530.0,0.0,0.0,0.0,27,0.0
550.0,0.0,0.0,0.0,28,0.0
570.0,0.0,0.0,0.0,29,0.0
590.0,0.0,0.0,0.0,30,0.0
610.0,0.0,0.0,0.0,31,0.0
630.0,0.0,0.0,0.0,32,0.0
650.0,0.0,0.0,0.0,33,0.0
670.0,0.0,0.0,0.0,34,0.0
690.0,0.0,0.0,0.0,35,0.0
710.0,0.0,0.0,0.0,36,0.0
730.0,0.0,0.0,0.0,37,0.0
750.0,0.0,0.0,0.0,38,0.0
770.0,0.0,0.0,0.0,39,0.0
790.0,0.0,0.0,0.0,40,0.0
810.0,0.0,0.0,0.0,41,0.0
830.0,0.0,0.0,0.0,42,0.0
850.0,0.0,0.0,0.0,43,0.0
870.0,0.0,0.0,0.0,44,0.0
890.0,0.0,0.0,0.0,45,0.0
910.0,0.0,0.0,0.0,46,0.0
930.0,0.0,0.0,0.0,47,0.0
950.0,0.0,0.0,0.0,48,0.0
970.0,0.0,0.0,0.0,49,0.0
990.0,0.0,0.0,0.0,50,0.0
