# Region      : all region0
# Cells       : 12800
# Volume      : 1.200000e+03
# Time        	volIntegrate(alpha.water)
0.01          	5.999037e+02
0.02          	5.997353e+02
0.03          	5.995008e+02
0.04          	5.992052e+02
0.05          	5.988525e+02
0.06          	5.984462e+02
0.07          	5.979892e+02
0.08          	5.974841e+02
0.09          	5.969338e+02
0.1           	5.963413e+02
0.11          	5.957107e+02
0.12          	5.950447e+02
0.13          	5.943453e+02
0.14          	5.936152e+02
0.15          	5.928570e+02
0.16          	5.920726e+02
0.17          	5.912636e+02
0.18          	5.904326e+02
0.19          	5.895807e+02
0.2           	5.887103e+02
0.21          	5.878226e+02
0.22          	5.869191e+02
0.23          	5.860010e+02
0.24          	5.850699e+02
0.25          	5.841270e+02
0.26          	5.831733e+02
0.27          	5.822098e+02
0.28          	5.812377e+02
0.29          	5.802579e+02
0.3           	5.792712e+02
0.31          	5.782782e+02
0.32          	5.772802e+02
0.33          	5.762778e+02
0.34          	5.752722e+02
0.35          	5.742634e+02
0.36          	5.732525e+02
0.37          	5.722402e+02
0.38          	5.712271e+02
0.39          	5.702136e+02
0.4           	5.692002e+02
0.41          	5.681872e+02
0.42          	5.671752e+02
0.43          	5.661644e+02
0.44          	5.651556e+02
0.45          	5.641490e+02
0.46          	5.631449e+02
0.47          	5.621435e+02
0.48          	5.611452e+02
0.49          	5.601504e+02
0.5           	5.591592e+02
0.51          	5.581721e+02
0.52          	5.571892e+02
0.53          	5.562107e+02
0.54          	5.552367e+02
0.55          	5.542675e+02
0.56          	5.533032e+02
0.57          	5.523441e+02
0.58          	5.513904e+02
0.59          	5.504422e+02
0.6           	5.494996e+02
0.61          	5.485627e+02
0.62          	5.476316e+02
0.63          	5.467065e+02
0.64          	5.457873e+02
0.65          	5.448744e+02
0.66          	5.439677e+02
0.67          	5.430674e+02
0.68          	5.421735e+02
0.69          	5.412861e+02
0.7           	5.404051e+02
0.71          	5.395305e+02
0.72          	5.386624e+02
0.73          	5.378006e+02
0.74          	5.369452e+02
0.75          	5.360961e+02
0.76          	5.352533e+02
0.77          	5.344168e+02
0.78          	5.335865e+02
0.79          	5.327626e+02
0.8           	5.319448e+02
0.81          	5.311330e+02
0.82          	5.303273e+02
0.83          	5.295273e+02
0.84          	5.287330e+02
0.85          	5.279441e+02
0.86          	5.271606e+02
0.87          	5.263822e+02
0.88          	5.256089e+02
0.89          	5.248404e+02
0.9           	5.240767e+02
0.91          	5.233177e+02
0.92          	5.225631e+02
0.93          	5.218130e+02
0.94          	5.210672e+02
0.95          	5.203255e+02
0.96          	5.195879e+02
0.97          	5.188542e+02
0.98          	5.181242e+02
0.99          	5.173979e+02
1             	5.166750e+02
1.01          	5.159555e+02
1.02          	5.152392e+02
1.03          	5.145259e+02
1.04          	5.138154e+02
1.05          	5.131076e+02
1.06          	5.124023e+02
1.07          	5.116994e+02
1.08          	5.109987e+02
1.09          	5.103002e+02
1.1           	5.096036e+02
1.11          	5.089089e+02
1.12          	5.082159e+02
1.13          	5.075246e+02
1.14          	5.068348e+02
1.15          	5.061466e+02
1.16          	5.054599e+02
1.17          	5.047745e+02
1.18          	5.040905e+02
1.19          	5.034079e+02
1.2           	5.027265e+02
1.21          	5.020464e+02
1.22          	5.013675e+02
1.23          	5.006898e+02
1.24          	5.000132e+02
1.25          	4.993378e+02
1.26          	4.986634e+02
1.27          	4.979900e+02
1.28          	4.973176e+02
1.29          	4.966462e+02
1.3           	4.959756e+02
1.31          	4.953060e+02
1.32          	4.946373e+02
1.33          	4.939694e+02
1.34          	4.933023e+02
1.35          	4.926359e+02
1.36          	4.919704e+02
1.37          	4.913055e+02
1.38          	4.906414e+02
1.39          	4.899779e+02
1.4           	4.893151e+02
1.41          	4.886530e+02
1.42          	4.879915e+02
1.43          	4.873306e+02
1.44          	4.866703e+02
1.45          	4.860106e+02
1.46          	4.853515e+02
1.47          	4.846929e+02
1.48          	4.840349e+02
1.49          	4.833773e+02
1.5           	4.827203e+02
1.51          	4.820637e+02
1.52          	4.814076e+02
1.53          	4.807519e+02
1.54          	4.800967e+02
1.55          	4.794417e+02
1.56          	4.787872e+02
1.57          	4.781329e+02
1.58          	4.774790e+02
1.59          	4.768253e+02
1.6           	4.761718e+02
1.61          	4.755185e+02
1.62          	4.748654e+02
1.63          	4.742125e+02
1.64          	4.735597e+02
1.65          	4.729069e+02
1.66          	4.722543e+02
1.67          	4.716017e+02
1.68          	4.709491e+02
1.69          	4.702966e+02
1.7           	4.696441e+02
1.71          	4.689916e+02
1.72          	4.683391e+02
1.73          	4.676866e+02
1.74          	4.670342e+02
1.75          	4.663817e+02
1.76          	4.657293e+02
1.77          	4.650769e+02
1.78          	4.644246e+02
1.79          	4.637723e+02
1.8           	4.631202e+02
1.81          	4.624681e+02
1.82          	4.618161e+02
1.83          	4.611643e+02
1.84          	4.605126e+02
1.85          	4.598611e+02
1.86          	4.592098e+02
1.87          	4.585586e+02
1.88          	4.579076e+02
1.89          	4.572568e+02
1.9           	4.566061e+02
1.91          	4.559556e+02
1.92          	4.553053e+02
1.93          	4.546551e+02
1.94          	4.540050e+02
1.95          	4.533551e+02
1.96          	4.527052e+02
1.97          	4.520555e+02
1.98          	4.514058e+02
1.99          	4.507561e+02
2             	4.501066e+02
2.01          	4.494570e+02
2.02          	4.488074e+02
2.03          	4.481579e+02
2.04          	4.475084e+02
2.05          	4.468588e+02
2.06          	4.462093e+02
2.07          	4.455597e+02
2.08          	4.449101e+02
2.09          	4.442605e+02
2.1           	4.436109e+02
2.11          	4.429613e+02
2.12          	4.423116e+02
2.13          	4.416620e+02
2.14          	4.410123e+02
2.15          	4.403626e+02
2.16          	4.397128e+02
2.17          	4.390631e+02
2.18          	4.384134e+02
2.19          	4.377637e+02
2.2           	4.371140e+02
2.21          	4.364644e+02
2.22          	4.358148e+02
2.23          	4.351653e+02
2.24          	4.345159e+02
2.25          	4.338666e+02
2.26          	4.332173e+02
2.27          	4.325682e+02
2.28          	4.319191e+02
2.29          	4.312702e+02
2.3           	4.306214e+02
2.31          	4.299728e+02
2.32          	4.293243e+02
2.33          	4.286759e+02
2.34          	4.280278e+02
2.35          	4.273798e+02
2.36          	4.267320e+02
2.37          	4.260844e+02
2.38          	4.254370e+02
2.39          	4.247898e+02
2.4           	4.241428e+02
2.41          	4.234960e+02
2.42          	4.228494e+02
2.43          	4.222030e+02
2.44          	4.215568e+02
2.45          	4.209108e+02
2.46          	4.202650e+02
2.47          	4.196193e+02
2.48          	4.189739e+02
2.49          	4.183286e+02
2.5           	4.176834e+02
2.51          	4.170385e+02
2.52          	4.163937e+02
2.53          	4.157491e+02
2.54          	4.151046e+02
2.55          	4.144603e+02
2.56          	4.138161e+02
2.57          	4.131721e+02
2.58          	4.125283e+02
2.59          	4.118846e+02
2.6           	4.112410e+02
2.61          	4.105976e+02
2.62          	4.099544e+02
2.63          	4.093113e+02
2.64          	4.086683e+02
2.65          	4.080255e+02
2.66          	4.073828e+02
2.67          	4.067403e+02
2.68          	4.060979e+02
2.69          	4.054556e+02
2.7           	4.048135e+02
2.71          	4.041716e+02
2.72          	4.035297e+02
2.73          	4.028880e+02
2.74          	4.022465e+02
2.75          	4.016051e+02
2.76          	4.009638e+02
2.77          	4.003227e+02
2.78          	3.996817e+02
2.79          	3.990409e+02
2.8           	3.984002e+02
2.81          	3.977596e+02
2.82          	3.971192e+02
2.83          	3.964790e+02
2.84          	3.958389e+02
2.85          	3.951990e+02
2.86          	3.945592e+02
2.87          	3.939196e+02
2.88          	3.932802e+02
2.89          	3.926410e+02
2.9           	3.920019e+02
2.91          	3.913629e+02
2.92          	3.907242e+02
2.93          	3.900856e+02
2.94          	3.894472e+02
2.95          	3.888089e+02
2.96          	3.881708e+02
2.97          	3.875329e+02
2.98          	3.868951e+02
2.99          	3.862575e+02
3             	3.856201e+02
3.01          	3.849829e+02
3.02          	3.843458e+02
3.03          	3.837089e+02
3.04          	3.830722e+02
3.05          	3.824356e+02
3.06          	3.817992e+02
3.07          	3.811630e+02
3.08          	3.805270e+02
3.09          	3.798912e+02
3.1           	3.792556e+02
3.11          	3.786201e+02
3.12          	3.779849e+02
3.13          	3.773498e+02
3.14          	3.767150e+02
3.15          	3.760804e+02
3.16          	3.754460e+02
3.17          	3.748118e+02
3.18          	3.741779e+02
3.19          	3.735442e+02
3.2           	3.729107e+02
3.21          	3.722775e+02
3.22          	3.716446e+02
3.23          	3.710118e+02
3.24          	3.703794e+02
3.25          	3.697472e+02
3.26          	3.691153e+02
3.27          	3.684836e+02
3.28          	3.678523e+02
3.29          	3.672212e+02
3.3           	3.665903e+02
3.31          	3.659598e+02
3.32          	3.653295e+02
3.33          	3.646996e+02
3.34          	3.640699e+02
3.35          	3.634404e+02
3.36          	3.628113e+02
