Load Case ,environment_config_basename,FST1 ,FST2 ,LNGC-Partner (Small) ,LNCG-Excalibur (Large) ,Mooring Status ,Environment Condition ,Water Level ,Headings ,Mooring - Location ,Mooring - Component ,Wind Dir [deg],Vw [m/s],Wave Dir [deg],Hs [m],Tp [s],Hs [m],Tp [s],Wave Dir (fr. TN) [deg],Wave Dir (ship) [deg],Vw [m/s],Wind Dir (ship) [deg],Vc [m/s],Curr Dir (ship) [deg],env reference,config reference
F001,fsts_l015_mwl_wave01,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,2.5,-,-,-,-,-,-,-,-,wave01,fsts_l015_mwl_
F002,fsts_l015_mwl_wave02,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,3.5,-,-,-,-,-,-,-,-,wave02,fsts_l015_mwl_
F003,fsts_l015_mwl_wave03,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,4.5,-,-,-,-,-,-,-,-,wave03,fsts_l015_mwl_
F004,fsts_l015_mwl_wave04,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,2.5,-,-,-,-,-,-,-,-,wave04,fsts_l015_mwl_
F005,fsts_l015_mwl_wave05,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,3.5,-,-,-,-,-,-,-,-,wave05,fsts_l015_mwl_
F006,fsts_l015_mwl_wave06,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,4.5,-,-,-,-,-,-,-,-,wave06,fsts_l015_mwl_
F007,fsts_l015_mwl_wave07,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,2.5,-,-,-,-,-,-,-,-,wave07,fsts_l015_mwl_
F008,fsts_l015_mwl_wave08,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,3.5,-,-,-,-,-,-,-,-,wave08,fsts_l015_mwl_
F009,fsts_l015_mwl_wave09,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,4.5,-,-,-,-,-,-,-,-,wave09,fsts_l015_mwl_
F010,fsts_l015_mwl_wave10,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,2.5,-,-,-,-,-,-,-,-,wave10,fsts_l015_mwl_
F011,fsts_l015_mwl_wave11,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,3.5,-,-,-,-,-,-,-,-,wave11,fsts_l015_mwl_
F012,fsts_l015_mwl_wave12,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,4.5,-,-,-,-,-,-,-,-,wave12,fsts_l015_mwl_
F013,fsts_l015_mwl_wave13,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,2.5,-,-,-,-,-,-,-,-,wave13,fsts_l015_mwl_
F014,fsts_l015_mwl_wave14,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,3.5,-,-,-,-,-,-,-,-,wave14,fsts_l015_mwl_
F015,fsts_l015_mwl_wave15,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,4.5,-,-,-,-,-,-,-,-,wave15,fsts_l015_mwl_
F016,fsts_l015_mwl_wave16,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,2.5,-,-,-,-,-,-,-,-,wave16,fsts_l015_mwl_
F017,fsts_l015_mwl_wave17,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,3.5,-,-,-,-,-,-,-,-,wave17,fsts_l015_mwl_
F018,fsts_l015_mwl_wave18,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,4.5,-,-,-,-,-,-,-,-,wave18,fsts_l015_mwl_
F019,fsts_l095_mwl_wave01,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,2.5,-,-,-,-,-,-,-,-,wave01,fsts_l095_mwl_
F020,fsts_l095_mwl_wave02,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,3.5,-,-,-,-,-,-,-,-,wave02,fsts_l095_mwl_
F021,fsts_l095_mwl_wave03,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,4.5,-,-,-,-,-,-,-,-,wave03,fsts_l095_mwl_
F022,fsts_l095_mwl_wave04,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,2.5,-,-,-,-,-,-,-,-,wave04,fsts_l095_mwl_
F023,fsts_l095_mwl_wave05,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,3.5,-,-,-,-,-,-,-,-,wave05,fsts_l095_mwl_
F024,fsts_l095_mwl_wave06,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,4.5,-,-,-,-,-,-,-,-,wave06,fsts_l095_mwl_
F025,fsts_l095_mwl_wave07,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,2.5,-,-,-,-,-,-,-,-,wave07,fsts_l095_mwl_
F026,fsts_l095_mwl_wave08,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,3.5,-,-,-,-,-,-,-,-,wave08,fsts_l095_mwl_
F027,fsts_l095_mwl_wave09,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,4.5,-,-,-,-,-,-,-,-,wave09,fsts_l095_mwl_
F028,fsts_l095_mwl_wave10,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,2.5,-,-,-,-,-,-,-,-,wave10,fsts_l095_mwl_
F029,fsts_l095_mwl_wave11,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,3.5,-,-,-,-,-,-,-,-,wave11,fsts_l095_mwl_
F030,fsts_l095_mwl_wave12,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,4.5,-,-,-,-,-,-,-,-,wave12,fsts_l095_mwl_
F031,fsts_l095_mwl_wave13,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,2.5,-,-,-,-,-,-,-,-,wave13,fsts_l095_mwl_
F032,fsts_l095_mwl_wave14,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,3.5,-,-,-,-,-,-,-,-,wave14,fsts_l095_mwl_
F033,fsts_l095_mwl_wave15,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,4.5,-,-,-,-,-,-,-,-,wave15,fsts_l095_mwl_
F034,fsts_l095_mwl_wave16,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,2.5,-,-,-,-,-,-,-,-,wave16,fsts_l095_mwl_
F035,fsts_l095_mwl_wave17,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,3.5,-,-,-,-,-,-,-,-,wave17,fsts_l095_mwl_
F036,fsts_l095_mwl_wave18,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,310,0.5,4.5,-,-,-,-,-,-,-,-,wave18,fsts_l095_mwl_
F037,fsts_l015_mwl_wind01,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,0,10,-,-,-,-,-,-,-,-,-,-,-,wind01,fsts_l015_mwl_
F038,fsts_l015_mwl_wind02,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,23,10,-,-,-,-,-,-,-,-,-,-,-,wind02,fsts_l015_mwl_
F039,fsts_l015_mwl_wind03,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,45,10,-,-,-,-,-,-,-,-,-,-,-,wind03,fsts_l015_mwl_
F040,fsts_l015_mwl_wind04,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,70,10,-,-,-,-,-,-,-,-,-,-,-,wind04,fsts_l015_mwl_
F041,fsts_l015_mwl_wind05,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,90,10,-,-,-,-,-,-,-,-,-,-,-,wind05,fsts_l015_mwl_
F042,fsts_l015_mwl_wind06,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,110,10,-,-,-,-,-,-,-,-,-,-,-,wind06,fsts_l015_mwl_
F043,fsts_l015_mwl_wind07,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,125,10,-,-,-,-,-,-,-,-,-,-,-,wind07,fsts_l015_mwl_
F044,fsts_l015_mwl_wind08,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,150,10,-,-,-,-,-,-,-,-,-,-,-,wind08,fsts_l015_mwl_
F045,fsts_l015_mwl_wind09,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,180,10,-,-,-,-,-,-,-,-,-,-,-,wind09,fsts_l015_mwl_
F046,fsts_l015_mwl_wind10,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,200,10,-,-,-,-,-,-,-,-,-,-,-,wind10,fsts_l015_mwl_
F047,fsts_l015_mwl_wind11,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,222,10,-,-,-,-,-,-,-,-,-,-,-,wind11,fsts_l015_mwl_
F048,fsts_l015_mwl_wind12,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,245,10,-,-,-,-,-,-,-,-,-,-,-,wind12,fsts_l015_mwl_
F049,fsts_l015_mwl_wind13,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,270,10,-,-,-,-,-,-,-,-,-,-,-,wind13,fsts_l015_mwl_
F050,fsts_l015_mwl_wind14,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,290,10,-,-,-,-,-,-,-,-,-,-,-,wind14,fsts_l015_mwl_
F051,fsts_l015_mwl_wind15,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,310,10,-,-,-,-,-,-,-,-,-,-,-,wind15,fsts_l015_mwl_
F052,fsts_l015_mwl_wind16,Light,Light,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,335,10,-,-,-,-,-,-,-,-,-,-,-,wind16,fsts_l015_mwl_
F053,fsts_l015_mwl_wind01,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,0,10,-,-,-,-,-,-,-,-,-,-,-,wind01,fsts_l015_mwl_
F054,fsts_l015_mwl_wind02,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,23,10,-,-,-,-,-,-,-,-,-,-,-,wind02,fsts_l015_mwl_
F055,fsts_l095_mwl_wind03,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,45,10,-,-,-,-,-,-,-,-,-,-,-,wind03,fsts_l095_mwl_
F056,fsts_l095_mwl_wind04,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,70,10,-,-,-,-,-,-,-,-,-,-,-,wind04,fsts_l095_mwl_
F057,fsts_l095_mwl_wind05,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,90,10,-,-,-,-,-,-,-,-,-,-,-,wind05,fsts_l095_mwl_
F058,fsts_l095_mwl_wind06,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,110,10,-,-,-,-,-,-,-,-,-,-,-,wind06,fsts_l095_mwl_
F059,fsts_l095_mwl_wind07,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,125,10,-,-,-,-,-,-,-,-,-,-,-,wind07,fsts_l095_mwl_
F060,fsts_l095_mwl_wind08,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,150,10,-,-,-,-,-,-,-,-,-,-,-,wind08,fsts_l095_mwl_
F061,fsts_l095_mwl_wind09,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,180,10,-,-,-,-,-,-,-,-,-,-,-,wind09,fsts_l095_mwl_
F062,fsts_l095_mwl_wind10,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,200,10,-,-,-,-,-,-,-,-,-,-,-,wind10,fsts_l095_mwl_
F063,fsts_l095_mwl_wind11,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,222,10,-,-,-,-,-,-,-,-,-,-,-,wind11,fsts_l095_mwl_
F064,fsts_l095_mwl_wind12,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,245,10,-,-,-,-,-,-,-,-,-,-,-,wind12,fsts_l095_mwl_
F065,fsts_l095_mwl_wind13,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,270,10,-,-,-,-,-,-,-,-,-,-,-,wind13,fsts_l095_mwl_
F066,fsts_l095_mwl_wind14,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,290,10,-,-,-,-,-,-,-,-,-,-,-,wind14,fsts_l095_mwl_
F067,fsts_l095_mwl_wind15,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,310,10,-,-,-,-,-,-,-,-,-,-,-,wind15,fsts_l095_mwl_
F068,fsts_l095_mwl_wind16,Full,Full,-,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,335,10,-,-,-,-,-,-,-,-,-,-,-,wind16,fsts_l095_mwl_
F069,fsts_l015_125km3_l100_pb_mwl_wave01,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,2.5,-,-,-,-,-,-,-,-,wave01,fsts_l015_125km3_l100_pb_mwl_
F070,fsts_l015_125km3_l100_pb_mwl_wave02,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,3.5,-,-,-,-,-,-,-,-,wave02,fsts_l015_125km3_l100_pb_mwl_
F071,fsts_l015_125km3_l100_pb_mwl_wave03,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,45,0.5,4.5,-,-,-,-,-,-,-,-,wave03,fsts_l015_125km3_l100_pb_mwl_
F072,fsts_l015_125km3_l100_pb_mwl_wave04,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,2.5,-,-,-,-,-,-,-,-,wave04,fsts_l015_125km3_l100_pb_mwl_
F073,fsts_l015_125km3_l100_pb_mwl_wave05,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,3.5,-,-,-,-,-,-,-,-,wave05,fsts_l015_125km3_l100_pb_mwl_
F074,fsts_l015_125km3_l100_pb_mwl_wave06,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,70,0.5,4.5,-,-,-,-,-,-,-,-,wave06,fsts_l015_125km3_l100_pb_mwl_
F075,fsts_l015_125km3_l100_pb_mwl_wave07,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,2.5,-,-,-,-,-,-,-,-,wave07,fsts_l015_125km3_l100_pb_mwl_
F076,fsts_l015_125km3_l100_pb_mwl_wave08,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,3.5,-,-,-,-,-,-,-,-,wave08,fsts_l015_125km3_l100_pb_mwl_
F077,fsts_l015_125km3_l100_pb_mwl_wave09,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,90,0.5,4.5,-,-,-,-,-,-,-,-,wave09,fsts_l015_125km3_l100_pb_mwl_
F078,fsts_l015_125km3_l100_pb_mwl_wave10,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,2.5,-,-,-,-,-,-,-,-,wave10,fsts_l015_125km3_l100_pb_mwl_
F079,fsts_l015_125km3_l100_pb_mwl_wave11,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,3.5,-,-,-,-,-,-,-,-,wave11,fsts_l015_125km3_l100_pb_mwl_
F080,fsts_l015_125km3_l100_pb_mwl_wave12,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,125,0.5,4.5,-,-,-,-,-,-,-,-,wave12,fsts_l015_125km3_l100_pb_mwl_
F081,fsts_l015_125km3_l100_pb_mwl_wave13,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,2.5,-,-,-,-,-,-,-,-,wave13,fsts_l015_125km3_l100_pb_mwl_
F082,fsts_l015_125km3_l100_pb_mwl_wave14,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,3.5,-,-,-,-,-,-,-,-,wave14,fsts_l015_125km3_l100_pb_mwl_
F083,fsts_l015_125km3_l100_pb_mwl_wave15,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,-,-,150,0.5,4.5,-,-,-,-,-,-,-,-,wave15,fsts_l015_125km3_l100_pb_mwl_
