Code,Year,Curve,Material,Curve Label,# of Slopes,Environment,a1,Log a1~,m1,Transfer Cycles 1,Transfer Stress 1 (Mpa),Log a2~,m2,Transfer Cycles 2,Transfer Stress 2 (Mpa),Log a3~,m3,Transfer Cycles 3,CAFL (Mpa),Log a4~,m4,Cycles at Fatigue Limit,S0 (Mpa),High Stress Range (Mpa),N - High Stress Range,Low Stress Range(Mpa),N - Low Stress Range,Reference
DnV,2005,B1,Carbon Steel,DnV 2005 B1 Seawater CP,2,Seawater CP,8.26038E+14,14.917,4,1000000,169.5118252,1.39959E+17,100000,0,0,0,0,0,0,0,0,10000000,106.97,1000,826.0379496,1,1.39959E+17,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,B2,Carbon Steel,DnV 2005 B2 Seawater CP,2,Seawater CP,4.84172E+14,14.685,4,1000000,148.3200967,7.17794E+16,100000,0,0,0,0,0,0,0,0,10000000,93.59,1000,484.1723676,1,7.17794E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,C,Carbon Steel,DnV 2005 C Seawater CP,2,Seawater CP,1.55597E+12,12.192,3,1000000,115.8777356,2.0893E+16,100000,0,0,0,0,0,0,0,0,10000000,73.1,1000,1555.965632,1,2.0893E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,C1,Carbon Steel,DnV 2005 C1 Seawater CP,2,Seawater CP,1.11944E+12,12.049,3,1000000,103.8006325,1.20504E+16,100000,0,0,0,0,0,0,0,0,10000000,65.5,1000,1119.437883,1,1.20504E+16,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,C2,Carbon Steel,DnV 2005 C2 Seawater CP,2,Seawater CP,7.96159E+11,11.901,3,1000000,92.68298234,6.83912E+15,100000,0,0,0,0,0,0,0,0,10000000,58.48,1000,796.1593504,1,6.83912E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,D,Carbon Steel,DnV 2005 D Seawater CP,2,Seawater CP,5.80764E+11,11.764,3,1000000,83.40651974,4.03645E+15,100000,0,0,0,0,0,0,0,0,10000000,52.63,1000,580.7644175,1,4.03645E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,E,Carbon Steel,DnV 2005 E Seawater CP,2,Seawater CP,4.0738E+11,11.61,3,1000000,74.13102413,2.23872E+15,100000,0,0,0,0,0,0,0,0,10000000,46.78,1000,407.3802778,1,2.23872E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,F,Carbon Steel,DnV 2005 F Seawater CP,2,Seawater CP,2.85102E+11,11.455,3,1000000,65.79607697,1.2331E+15,100000,0,0,0,0,0,0,0,0,10000000,41.52,1000,285.1018268,1,1.2331E+15,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,F1,Carbon Steel,DnV 2005 F1 Seawater CP,2,Seawater CP,1.99067E+11,11.299,3,1000000,58.39827246,6.79204E+14,100000,0,0,0,0,0,0,0,0,10000000,36.84,1000,199.0673339,1,6.79204E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,F3,Carbon Steel,DnV 2005 F3 Seawater CP,2,Seawater CP,1.39959E+11,11.146,3,1000000,51.90390102,3.76704E+14,100000,0,0,0,0,0,0,0,0,10000000,32.75,1000,139.9587323,1,3.76704E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
DnV,2005,G,Carbon Steel,DnV 2005 G Seawater CP,2,Seawater CP,99540541735,10.998,3,1000000,46.34469197,2.13796E+14,100000,0,0,0,0,0,0,0,0,10000000,29.24,1000,99.54054174,1,2.13796E+14,"Det Norske Veritas (DnV) - ""Fatigue Design of Offshore Steel Structures""  (DnV-RP-C203), Aug 2005."
