config_id,riser_type,source_path,water_depth_m,od_mm,wt_mm,material_grade,analysis_kind,notes
pipe_py_06OD_1000in_10000ft_lower_riser,pipe_section,config/pipe/pipe_py_06OD_1000in_10000ft_lower_riser.yml,3048,165.1,25.4,API 5L X80,pipe_design:lower,seeded from the pipe capacity configs
pipe_py_06OD_1000in_10000ft_upper_riser,pipe_section,config/pipe/pipe_py_06OD_1000in_10000ft_upper_riser.yml,3048,165.1,25.4,API 5L X80,pipe_design:upper,seeded from the pipe capacity configs
pipe_py_06OD_1000in_2500ft_lower_riser,pipe_section,config/pipe/pipe_py_06OD_1000in_2500ft_lower_riser.yml,762,165.1,25.4,API 5L X80,pipe_design:lower,seeded from the pipe capacity configs
pipe_py_06OD_1000in_2500ft_upper_riser,pipe_section,config/pipe/pipe_py_06OD_1000in_2500ft_upper_riser.yml,762,165.1,25.4,API 5L X80,pipe_design:upper,seeded from the pipe capacity configs
pipe_py_06OD_1000in_5000ft_lower_riser,pipe_section,config/pipe/pipe_py_06OD_1000in_5000ft_lower_riser.yml,1524,165.1,25.4,API 5L X80,pipe_design:lower,seeded from the pipe capacity configs
pipe_py_06OD_1000in_5000ft_upper_riser,pipe_section,config/pipe/pipe_py_06OD_1000in_5000ft_upper_riser.yml,1524,165.1,25.4,API 5L X80,pipe_design:upper,seeded from the pipe capacity configs
pipe_py_06OD_1000in_8000ft_lower_riser,pipe_section,config/pipe/pipe_py_06OD_1000in_8000ft_lower_riser.yml,2438.4,165.1,25.4,API 5L X80,pipe_design:lower,seeded from the pipe capacity configs
pipe_py_06OD_1000in_8000ft_upper_riser,pipe_section,config/pipe/pipe_py_06OD_1000in_8000ft_upper_riser.yml,2438.4,165.1,25.4,API 5L X80,pipe_design:upper,seeded from the pipe capacity configs
pipe_py_21OD_0875in_10000ft_lower_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_10000ft_lower_riser.yml,3048,533.4,22.225,API 5L X80,pipe_design:lower,seeded from the pipe capacity configs
pipe_py_21OD_0875in_10000ft_mid_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_10000ft_mid_riser.yml,3048,533.4,22.225,API 5L X80,pipe_design:mid,seeded from the pipe capacity configs
pipe_py_21OD_0875in_10000ft_upper_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_10000ft_upper_riser.yml,3048,533.4,22.225,API 5L X80,pipe_design:upper,seeded from the pipe capacity configs
pipe_py_21OD_0875in_2500ft_lower_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_2500ft_lower_riser.yml,762,533.4,22.225,API 5L X80,pipe_design:lower,seeded from the pipe capacity configs
pipe_py_21OD_0875in_2500ft_mid_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_2500ft_mid_riser.yml,762,533.4,22.225,API 5L X80,pipe_design:mid,seeded from the pipe capacity configs
pipe_py_21OD_0875in_2500ft_upper_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_2500ft_upper_riser.yml,762,533.4,22.225,API 5L X80,pipe_design:upper,seeded from the pipe capacity configs
pipe_py_21OD_0875in_5000ft_lower_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_5000ft_lower_riser.yml,1524,533.4,22.225,API 5L X80,pipe_design:lower,seeded from the pipe capacity configs
pipe_py_21OD_0875in_5000ft_mid_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_5000ft_mid_riser.yml,1524,533.4,22.225,API 5L X80,pipe_design:mid,seeded from the pipe capacity configs
pipe_py_21OD_0875in_5000ft_upper_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_5000ft_upper_riser.yml,1524,533.4,22.225,API 5L X80,pipe_design:upper,seeded from the pipe capacity configs
pipe_py_21OD_0875in_8000ft_lower_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_8000ft_lower_riser.yml,2438.4,533.4,22.225,API 5L X80,pipe_design:lower,seeded from the pipe capacity configs
pipe_py_21OD_0875in_8000ft_mid_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_8000ft_mid_riser.yml,2438.4,533.4,22.225,API 5L X80,pipe_design:mid,seeded from the pipe capacity configs
pipe_py_21OD_0875in_8000ft_upper_riser,pipe_section,config/pipe/pipe_py_21OD_0875in_8000ft_upper_riser.yml,2438.4,533.4,22.225,API 5L X80,pipe_design:upper,seeded from the pipe capacity configs
pipe_py_21OD_0875in_Drilling_Riser,drilling,config/pipe/pipe_py_21OD_0875in_Drilling_Riser.yml,,533.4,22.225,API 5L X80,pipe_design:drilling,seeded from the pipe capacity configs
pipe_py_21OD_1in_Drilling_Riser,drilling,config/pipe/pipe_py_21OD_1in_Drilling_Riser.yml,,533.4,25.4,API 5L X80,pipe_design:drilling,seeded from the pipe capacity configs
riser_drilling,drilling,examples/riser_input/riser_drilling.yml,2500,533.4,22.2,X80,statics,seeded from the unified riser input schema examples
riser_flexible,flexible,examples/riser_input/riser_flexible.yml,1200,300,20,X65,statics,seeded from the unified riser input schema examples
riser_scr,SCR,examples/riser_input/riser_scr.yml,1500,273.1,25.4,X65,statics,seeded from the unified riser input schema examples
riser_slwr,SLWR,examples/riser_input/riser_slwr.yml,1500,273.1,25.4,X65,statics,seeded from the unified riser input schema examples
riser_ttr,TTR,examples/riser_input/riser_ttr.yml,1500,273.1,25.4,X70,statics,seeded from the unified riser input schema examples
