rsu_id,topology_class,stackup_type,operation,riser_od_in,water_depth_band,rig_ref,wiki_path,note
RSU-0001,conventional-bop-on-wellhead,as-planned-stackup,drilling,21,2000-3000m,drillship-6g-16x3600k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0002,completion-bop-on-ths,as-planned-stackup,completion,21,2000-3000m,drillship-6g-16x3600k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0003,intervention-bop-on-tree,as-planned-stackup,intervention,21,2000-3000m,drillship-6g-16x3600k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0004,mpd-surface-stack,as-planned-stackup,mpd,21,1000-1500m,drillship-16w-wireline,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0005,mpd-surface-stack,as-run-tally,mpd,21,1000-1500m,drillship-16w-wireline,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0006,none,weight-table,drilling,21,1000-1500m,drillship-16w-wireline,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0007,none,joint-library,drilling,21,1000-1500m,drillship-16w-wireline,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0008,production-scr-hangoff,component-library,,12.75,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0009,conventional-bop-on-wellhead,as-planned-stackup,drilling,21,2000-3000m,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0010,completion-bop-on-ths,as-planned-stackup,drilling,21,500-1000m,drillship-6g-16x3600k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0011,completion-bop-on-ths,joint-library,drilling,21,500-1000m,drillship-6g-16x3600k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0012,intervention-bop-on-tree,as-planned-stackup,drilling,21,500-1000m,drillship-6g-16x3600k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0013,landing-string,stack-up-drawing,completion,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0014,conventional-bop-on-wellhead,as-planned-stackup,drilling,21,1500-2000m,semisub-6x833k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0015,conventional-bop-on-wellhead,joint-library,drilling,21,1500-2000m,semisub-6x833k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0016,conventional-bop-on-wellhead,joint-library,drilling,21,1500-2000m,semisub-6x833k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0017,conventional-bop-on-wellhead,component-library,drilling,18.75,3000-4000m,semisub-6x833k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0018,conventional-bop-on-wellhead,component-library,drilling,18.75,,semisub-6x833k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0019,conventional-bop-on-wellhead,as-planned-stackup,drilling,21,1500-2000m,semisub-6x833k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0020,conventional-bop-on-wellhead,joint-library,drilling,21,1500-2000m,semisub-6x833k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
RSU-0021,conventional-bop-on-wellhead,as-planned-stackup,drilling,21,1500-2000m,semisub-6x833k-dat,wikis/riser-projects/wiki/datasets/stackup-registry.md,
