,OD,ID,t,Pd,Pa,Pt,Pb
0,10.75,8.75,1.0,6437.1534402954285,7241.797620332358,9241.216102806537,10728.589067159048
1,10.75,8.55,1.1,7245.515514273634,8151.204953557838,10279.239536828238,12075.859190456056
2,10.75,8.35,1.2,8072.49220273992,9081.55372808241,11341.833840497638,13454.1536712332
3,10.75,8.15,1.3,8918.961051823411,10033.83118330134,12430.190499684846,14864.935086372354
4,10.75,7.95,1.4,9785.86316382484,11009.096059302947,13545.589824291292,16309.77193970807
5,10.75,7.75,1.5,10674.209486766573,12008.485672612394,14689.410002712899,17790.349144610955
6,10.75,7.55,1.6,11585.087901743429,13033.22388946136,15863.137340273666,19308.47983623905
7,10.75,7.35,1.7,12519.671232678793,14084.630136763644,17068.377872410627,20866.118721131323
8,10.75,7.15,1.8,13479.226326404141,15164.12961720466,18306.87058024871,22465.37721067357
9,10.75,6.95,1.9,14465.124379415442,16273.264926842372,19580.502481431213,24108.54063235907
10,10.75,6.75,2.0,15478.852722519232,17413.709312834137,20891.32592486827,25798.087870865387
