,OD,ID,t,Pd,Pa,Pt,Pb
0,11.75,9.75,1.0,5003.216038456846,5628.618043263952,8376.312512078384,8338.693397428076
1,11.75,9.55,1.1,5712.861943259062,6426.969686166445,9306.760604151832,9521.436572098437
2,11.75,9.35,1.2,6436.813300402606,7241.414962952932,10256.902174304938,10728.022167337676
3,11.75,9.15,1.3,7175.6587515626725,8072.616095508007,11227.588929865102,11959.431252604454
4,11.75,8.95,1.4,7930.0240351786615,8921.277039575996,12219.729053847657,13216.70672529777
5,11.75,8.75,1.5,8700.575170628517,9788.147066957084,13234.292311143134,14500.958617714197
6,11.75,8.55,1.6,9488.021991548305,10674.024740491845,14272.31574516484,15813.369985913841
7,11.75,8.35,1.7,10293.122075269233,11579.76233467789,15334.910048834245,17155.203458782056
8,11.75,8.15,1.8,11116.68512288712,12506.27076324801,16423.26670802145,18527.8085381452
9,11.75,7.95,1.9,11959.577853437799,13454.525085117524,17538.666032627898,19932.629755729664
10,11.75,7.75,2.0,12822.729486333783,14425.570672125508,18682.4862110495,21371.215810556307
