,OD,ID,t,Pd,Pa,Pt,Pb
0,11.75,9.75,1.0,5842.100825834737,6572.36342906408,8376.312512078384,9736.834709724562
1,11.75,9.55,1.1,6568.6886409567005,7389.774721076289,9306.760604151832,10947.814401594502
2,11.75,9.35,1.2,7310.280357136152,8224.06540177817,10256.902174304938,12183.80059522692
3,11.75,9.15,1.3,8067.508718824436,9075.94730867749,11227.588929865102,13445.847864707393
4,11.75,8.95,1.4,8841.047360368888,9946.178280415,12219.729053847657,14735.078933948147
5,11.75,8.75,1.5,9631.61440696471,10835.5662078353,13234.292311143134,16052.690678274517
6,11.75,8.55,1.6,10439.97648094292,11744.973541060786,14272.31574516484,17399.960801571535
7,11.75,8.35,1.7,11266.953169409197,12675.322315585348,15334.910048834245,18778.255282348662
8,11.75,8.15,1.8,12113.422018492694,13627.599770804281,16423.26670802145,20189.036697487823
9,11.75,7.95,1.9,12980.324130494122,14602.864646805889,17538.666032627898,21633.873550823537
10,11.75,7.75,2.0,13868.670453435858,15602.254260115342,18682.4862110495,23114.45075572643
